"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.168,0.182,0.155,0.162,0.188,0.148,0.149,0.222,0.173,0.125,0.196,0.114,0.105,0.291,0.062,0.269,0.154,0.183,6
"Buena",0.153,0.142,0.163,0.148,0.159,0.127,0.182,0.171,0.165,0.124,0.143,0.211,0.129,0.167,0.067,0.228,0.13,0.174,6
"Ni buena ni mala",0.268,0.328,0.209,0.287,0.24,0.276,0.325,0.265,0.286,0.247,0.293,0.264,0.169,0.26,0.177,0.347,0.273,0.263,6
"Mala",0.145,0.133,0.157,0.097,0.162,0.166,0.102,0.147,0.151,0.135,0.175,0.17,0.104,0.097,0.216,0.069,0.149,0.141,6
"Muy mala",0.244,0.191,0.296,0.282,0.244,0.261,0.167,0.167,0.214,0.337,0.177,0.226,0.489,0.185,0.457,0.07,0.273,0.216,6
"No sabe",0.022,0.024,0.02,0.024,0.007,0.022,0.075,0.028,0.011,0.032,0.016,0.015,0.004,0,0.021,0.017,0.021,0.023,6
"Positiva",0.321,0.324,0.318,0.31,0.347,0.275,0.331,0.393,0.338,0.249,0.339,0.325,0.234,0.458,0.129,0.497,0.284,0.357,4
"Neutra",0.268,0.328,0.209,0.287,0.24,0.276,0.325,0.265,0.286,0.247,0.293,0.264,0.169,0.26,0.177,0.347,0.273,0.263,4
"Negativa",0.389,0.324,0.453,0.379,0.406,0.427,0.269,0.314,0.365,0.472,0.352,0.396,0.593,0.282,0.673,0.139,0.422,0.357,4
"No sabe",0.022,0.024,0.02,0.024,0.007,0.022,0.075,0.028,0.011,0.032,0.016,0.015,0.004,0,0.021,0.017,0.021,0.023,4
