"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.205,0.187,0.224,0.225,0.222,0.185,0.141,0.269,0.223,0.12,0.33,0.136,0.065,0.02,0.215,0.225,0.195,0.215,6
"Buena",0.257,0.286,0.228,0.205,0.262,0.277,0.303,0.24,0.276,0.244,0.309,0.271,0.222,0.181,0.267,0.267,0.227,0.286,6
"Ni buena ni mala",0.295,0.311,0.28,0.309,0.271,0.321,0.312,0.226,0.29,0.368,0.225,0.388,0.348,0.423,0.299,0.299,0.342,0.251,6
"Mala",0.147,0.135,0.158,0.143,0.154,0.147,0.128,0.155,0.133,0.16,0.091,0.143,0.216,0.277,0.131,0.13,0.133,0.16,6
"Muy mala",0.065,0.06,0.07,0.074,0.068,0.047,0.069,0.058,0.052,0.09,0.033,0.028,0.103,0.099,0.053,0.055,0.073,0.057,6
"No sabe",0.031,0.021,0.04,0.044,0.023,0.023,0.047,0.052,0.026,0.018,0.012,0.034,0.046,0,0.035,0.024,0.03,0.031,6
"Positiva",0.462,0.473,0.452,0.43,0.484,0.462,0.444,0.509,0.499,0.364,0.639,0.407,0.287,0.201,0.482,0.492,0.422,0.501,4
"Neutra",0.295,0.311,0.28,0.309,0.271,0.321,0.312,0.226,0.29,0.368,0.225,0.388,0.348,0.423,0.299,0.299,0.342,0.251,4
"Negativa",0.212,0.195,0.228,0.217,0.222,0.194,0.197,0.213,0.185,0.25,0.124,0.171,0.319,0.376,0.184,0.185,0.206,0.217,4
"No sabe",0.031,0.021,0.04,0.044,0.023,0.023,0.047,0.052,0.026,0.018,0.012,0.034,0.046,0,0.035,0.024,0.03,0.031,4
