"var","categoria","El gobierno anterior de Omar Gutierrez","El actual gobierno de Rolo Figueroa","No sabe"
"P08","Siempre",0.148,0.1,0.156
"P08","Casi siempre",0.358,0.393,0.339
"P08","Casi nunca",0.417,0.375,0.358
"P08","Nunca, pero esta es una excepción",0.077,0.132,0.147
"P09","Muy buena",0.074,0.096,0.115
"P09","Buena",0.238,0.19,0.135
"P09","Ni buena ni mala",0.366,0.316,0.412
"P09","Mala",0.214,0.259,0.236
"P09","Muy mala",0.107,0.123,0.095
"P09","No sabe",0.001,0.016,0.007
"P10","Muy buena",0.113,0.071,0.203
"P10","Buena",0.293,0.269,0.225
"P10","Ni buena ni mala",0.313,0.217,0.377
"P10","Mala",0.181,0.268,0.131
"P10","Muy mala",0.094,0.137,0.036
"P10","No sabe",0.006,0.038,0.028
"P13","Si",0.481,0.259,0.403
"P13","No",0.346,0.59,0.271
"P13","No sabe",0.173,0.151,0.326
"P18","Muy buena",0.04,0.077,0.063
"P18","Buena",0.185,0.224,0.136
"P18","Ni buena ni mala",0.228,0.248,0.408
"P18","Mala",0.419,0.307,0.254
"P18","Muy mala",0.124,0.134,0.106
"P18","No sabe",0.004,0.01,0.033
"P19","Muy buena",0.025,0.053,0.064
"P19","Buena",0.088,0.129,0.086
"P19","Ni buena ni mala",0.163,0.19,0.254
"P19","Mala",0.468,0.337,0.396
"P19","Muy mala",0.256,0.261,0.197
"P19","No sabe",0,0.03,0.003
"P20","Muy buena",0.03,0.021,0.06
"P20","Buena",0.174,0.158,0.153
"P20","Ni buena ni mala",0.273,0.281,0.318
"P20","Mala",0.381,0.327,0.297
"P20","Muy mala",0.14,0.188,0.168
"P20","No sabe",0.002,0.025,0.004
"P21","Muy de acuerdo",0.262,0.242,0.344
"P21","De acuerdo",0.181,0.236,0.195
"P21","Ni de acuerdo ni en desacuerdo",0.305,0.21,0.304
"P21","En desacuerdo",0.156,0.22,0.105
"P21","Muy en desacuerdo",0.082,0.092,0.039
"P21","No sabe",0.014,0,0.013
"P22","El estado nacional",0.129,0.181,0.094
"P22","El estado provincial",0.414,0.545,0.493
"P22","Ambos de forma coordinada",0.397,0.217,0.363
"P22","No sabe",0.06,0.057,0.05
"P23","Si",0.545,0.466,0.617
"P23","No",0.35,0.451,0.339
"P23","No sabe",0.105,0.083,0.044
"P24","Excesiva",0.148,0.176,0.067
"P24","Adecuada",0.477,0.322,0.467
"P24","Insuficiente",0.246,0.294,0.294
"P24","Inaceptable",0.085,0.152,0.082
"P24","No sabe",0.044,0.056,0.09
"P26","Si",0.684,0.608,0.735
"P26","No",0.236,0.309,0.143
"P26","No sabe",0.08,0.083,0.122
"P27","Correcta",0.169,0.304,0.323
"P27","Incorrecta",0.707,0.581,0.529
"P27","No sabe",0.124,0.115,0.148
"P28","Si",0.622,0.5,0.695
"P28","No",0.315,0.417,0.214
"P28","No sabe",0.063,0.083,0.091
"P29","Correcta",0.59,0.404,0.53
"P29","Incorrecta",0.26,0.503,0.298
"P29","No sabe",0.15,0.093,0.172
"P30","Si",0.747,0.657,0.68
"P30","No",0.19,0.316,0.264
"P30","No sabe",0.063,0.027,0.056
"P31","Adecuada",0.118,0.267,0.258
"P31","Insuficiente",0.094,0.112,0.08
"P31","Excesiva",0.288,0.16,0.191
"P31","Inaceptable",0.474,0.444,0.437
"P31","No sabe",0.026,0.017,0.034
"P33","Si",0.356,0.475,0.56
"P33","No",0.515,0.436,0.389
"P33","No sabe",0.129,0.089,0.051
"P34","Si",0.693,0.396,0.675
"P34","No",0.225,0.507,0.29
"P34","No sabe",0.082,0.097,0.035
"P35","Inseguridad y narcotráfico",0.561,0.434,0.572
"P35","Altos impuestos y tarifas",0.273,0.355,0.188
"P35","Educación y estado de las escuelas",0.08,0.109,0.102
"P35","Inflación",0.027,0.02,0.028
"P35","Estado de la salud",0.009,0.042,0.046
"P35","Corrupción",0.049,0.034,0.061
"P35","Pobreza",0.001,0.004,0.003
"P35","Medio ambiente, incendios y contaminación",0,0,0
"P35","Falta de trabajo",0,0,0
"P35","No sabe",0,0.002,0
"P39","Muy buena",0.07,0.128,0.062
"P39","Buena",0.217,0.226,0.244
"P39","Ni buena ni mala",0.379,0.286,0.386
"P39","Mala",0.265,0.27,0.204
"P39","Muy mala",0.067,0.084,0.074
"P39","No sabe",0.002,0.006,0.03
"P40","Peor",0.259,0.412,0.372
"P40","Igual",0.504,0.378,0.476
"P40","Mejor",0.127,0.096,0.091
"P40","No sabe",0.11,0.114,0.061
"P41","Peor",0.293,0.373,0.341
"P41","Igual",0.329,0.421,0.272
"P41","Mejor",0.263,0.101,0.317
"P41","No sabe",0.115,0.105,0.07
"P42","El gobierno de Javier Milei",0.167,0.312,0.242
"P42","El gobierno de Alberto Fernández",0.72,0.564,0.571
"P42","Ambos",0.104,0.113,0.137
"P42","No sabe",0.009,0.011,0.05
"P43","Javier Milei",0.673,0.415,0.449
"P43","Los gobernadores",0.275,0.52,0.499
"P43","No sabe",0.052,0.065,0.052
"P44","Muy buena",0.085,0.12,0.318
"P44","Buena",0.306,0.236,0.215
"P44","Ni buena ni mala",0.386,0.243,0.338
"P44","Mala",0.161,0.273,0.069
"P44","Muy mala",0.058,0.128,0.058
"P44","No sabe",0.004,0,0.002
"P45","Muy buena",0.043,0.141,0.071
"P45","Buena",0.143,0.236,0.232
"P45","Ni buena ni mala",0.32,0.304,0.35
"P45","Mala",0.264,0.189,0.186
"P45","Muy mala",0.211,0.128,0.136
"P45","No sabe",0.019,0.002,0.025
"P46","Muy buena",0.025,0.162,0.027
"P46","Buena",0.055,0.151,0.158
"P46","Ni buena ni mala",0.164,0.237,0.236
"P46","Mala",0.412,0.265,0.356
"P46","Muy mala",0.333,0.182,0.223
"P46","No sabe",0.011,0.003,0
"P47","Muy buena",0.009,0.12,0.076
"P47","Buena",0.103,0.174,0.159
"P47","Ni buena ni mala",0.33,0.352,0.412
"P47","Mala",0.25,0.155,0.162
