codigo	bloque	paleta	texto	label	aclaracion
P05	Control	muchopoco	Usted diría que la política le importa…	Opinión sobre la importancia de la política
P28	Preferencias electorales	politica	Y si los candidatos a presidente y vicepresidente en la primera vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto a Presidente y Vicepresidente en primera vuelta (escenario 2)
P29	Preferencias electorales	politica	Si los candidatos a Jefe de Gobierno en la primera vuelta electoral fueran los siguientes, usted a cual votaría 	Intención de voto a Jefe de Gobierno en primera vuelta (escenario 1)
P30	Preferencias electorales	politica	Y si los candidatos a Jefe de Gobierno en la primera vuelta electoral fueran los siguientes, usted a cual votaría 	Intención de voto a Jefe de Gobierno en primera vuelta (escenario 2)
P31	Preferencias electorales	politica	Si los candidatos en las elecciones de primera vuelta a Presidente y Vicepresidente y generales a Gobernador y Vicegobernador fueran los siguientes ¿A cúal preferiría votar?	Intención de voto a Presidente y Vicepresidente, Gobernador y Vicegobernador en primera vuelta (escenario 1)
P32	Preferencias electorales	politica	En cambio si los candidatos en las elecciones de primera vuelta a Presidente y Vicepresidente y generales a Gobernador y vicegobernador fueran los siguientes ¿A cúal preferiría votar? 	Intención de voto a Presidente y Vicepresidente, Gobernador y Vicegobernador en primera vuelta (escenario 2)
P33	Preferencias electorales	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto a Presidente y Vicepresidente en segunda vuelta (escenario 1)
P34	Preferencias electorales	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto a Presidente y Vicepresidente en primera vuelta (escenario 2)
P35	Preferencias electorales	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto a Presidente y Vicepresidente en segunda vuelta (escenario 3)
P36	Preferencias electorales	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de a Presidente y Vicepresidente voto en segunda vuelta (escenario 4)
P37	Preferencias electorales	politica	Si los candidatos a presidente y vicepresidente en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de a Presidente y Vicepresidente voto en segunda vuelta (escenario 5)
P38	Preferencias electorales	politica	Si los candidatos a Jefe de Gobierno en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto a Jefe de Gobierno en segunda vuelta (escenario 1)
P39	Preferencias electorales	politica	Si los candidatos a Jefe de Gobierno en la segunda vuelta electoral fueran los siguientes, usted a cual votaría	Intención de voto a Jefe de Gobierno en segunda vuelta (escenario 2)
P40	Reach Candidatos	votaria	Si Sergio Massa fuese candidato a Presidente y Agustin Rossi a Vicepresidente ud...	Intención de voto fórmula Massa – Rossi
P41	Reach Candidatos	votaria	Si Juan Grabois fuese candidato a Presidente y Paula Abal Medina a Vicepresidente ud...	Intención de voto fórmula Grabois – Abal Medina
P42	Reach Candidatos	votaria	Si Patricia Bullrich fuese candidato a Presidente y Luis Petri a Vicepresidente ud...	Intención de voto fórmula Bullrich – Petri
P43	Reach Candidatos	votaria	Si Horacio Rodríguez Larreta fuese candidato a Presidente y Gerardo Morales a Vicepresidente ud...	Intención de voto fórmula Rodríguez Larreta – Morales
P44	Reach Candidatos	votaria	Si Javier Milei fuese candidato a Presidente y Victoria Villaruel a Vicepresidente ud...	Intención de voto fórmula Milei – Villaruel
P45	Reach Candidatos	votaria	Si Myriam Bregman fuese candidato a Presidente y Nicolás del Caño a Vicepresidente ud...	Intención de voto fórmula Bregman – Del Caño
P46	Reach Candidatos	votaria	Si Juan Schiaretti fuese candidato a Presidente y Florencio Randazzo a Vicepresidente ud...	Intención de voto fórmula Schiaretti – Randazzo
P47	Reach Candidatos	votaria	Si Sergio Massa fuese candidato a Presidente, Agustin Rossi a Vicepresidente, Axel Kicillof a gobernador y Veronica Magario a vicegobernadora ud...	Intención de voto fórmula Massa – Rossi; Kicillof – Magario
P48	Reach Candidatos	votaria	Si Juan Grabois fuese candidato a Presidente , Paula Abal Medina a Vicepresidente, Axel Kicillof a gobernador y Veronica Magario a vicegobernadora  ud...	Intención de voto fórmula Grabois – Abal Medina; Kicillof – Magario
P49	Reach Candidatos	votaria	Si Patricia Bullrich fuese candidato a Presidente, Luis Petri a Vicepresidente, Nestor Grindetti a gobernador y Miguel Fernández a vicegobernador ud...	Intención de voto fórmula Bullrich – Petri; Grindetti – Fernández
P50	Reach Candidatos	votaria	Si Horacio Rodríguez Larreta fuese candidato a Presidente , Gerardo Morales a Vicepresidente, Diego Santilli a gobernador y Gustavo Posse a vicegobernador ud...	Intención de voto fórmula Rodríguez Larreta – Morales; Santilli – Posse
P51	Reach Candidatos	votaria	Si Javier Milei fuese candidato a Presidente, Victoria Villaruel a Vicepresidente, Carolina Piraro a gobernadora y Francisco Oneto a vicegobernador ud...	Intención de voto fórmula Milei – Villaruel; Piraro – Oneto
P52	Reach Candidatos	votaria	Si Myriam Bregman fuese candidato a Presidente, Nicolás del Caño a Vicepresidente, Alejandro Bodart y Jimena Letieri a vicegobernadora ud...	Intención de voto fórmula Bregman – Del Caño; Bodart – Letieri
P53	Reach Candidatos	votaria	Si Juan Schiaretti fuese candidato a Presidente y Florencio Randazzo a Vicepresidente ud...	Intención de voto fórmula Schiaretti – Randazzo
P54	Reach Candidatos	votaria	Si Leandro Santoro fuese candidato a Jefe de gobierno ud...	Intención de voto por Leandro Santoro para Jefe de Gobierno
P55	Reach Candidatos	votaria	Si Jorge Macri fuese candidato a Jefe de gobierno ud...	Intención de voto por Jorge Macri para Jefe de Gobierno
P56	Reach Candidatos	votaria	Si Martin Lousteau fuese candidato a Jefe de gobierno ud...	Intención de voto por Martín Lousteau para Jefe de Gobierno
P57	Control	sino	Nos gustaría volver a contactarlo para otras encuestas que se realizan de manera online. La misma se la enviaremos a través de un enlace por mensaje de texto a su celular ¿Está interesado en realizarla?  	Interés en próximas encuestas
