"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.366,0.36,0.37,0.367,0.387,0.384,0.309,0.196,0.35,0.433,0.467,0.317,0.53,0.363,0.509,0.344,0.407,0.344
"Desempleo",0.079,0.101,0.062,0.137,0.068,0.047,0.077,0.25,0.057,0.036,0.094,0.073,0.106,0.13,0.08,0.045,0.06,0.123
"Corrupción",0.299,0.317,0.284,0.22,0.259,0.349,0.385,0.264,0.334,0.287,0.132,0.385,0.156,0.109,0.058,0.428,0.33,0.373
"Inseguridad",0.11,0.092,0.125,0.135,0.125,0.097,0.077,0.161,0.142,0.072,0.078,0.131,0.125,0.142,0.047,0.103,0.089,0.106
"Precio del dólar",0.011,0.003,0.018,0.014,0.012,0.011,0.008,0.034,0.007,0.006,0.03,0.003,0,0.044,0.006,0.002,0,0.003
"Pobreza",0.061,0.046,0.073,0.069,0.076,0.05,0.041,0.038,0.045,0.08,0.106,0.038,0.012,0.104,0.149,0.031,0.046,0.025
"Narcotráfico",0.004,0.007,0.002,0,0.002,0.008,0.007,0.004,0.003,0.005,0.002,0.006,0,0.003,0,0.012,0,0
"Tarifas",0.004,0.004,0.003,0,0,0.007,0.01,0,0.005,0.004,0.005,0.003,0.013,0.01,0,0.005,0,0
"Otro",0.055,0.066,0.046,0.041,0.067,0.03,0.073,0.042,0.037,0.071,0.068,0.035,0.058,0.067,0.125,0.029,0.052,0.026
"No sabe",0.011,0.004,0.017,0.017,0.004,0.017,0.013,0.011,0.02,0.006,0.018,0.009,0,0.028,0.026,0.001,0.016,0
