"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P05","Mucho",0.481,0.528,0.414,0.133,0.36,0.516
"P05","Bastante",0.311,0.294,0.292,0.146,0.126,0.025
"P05","Poco",0.152,0.144,0.233,0.481,0.514,0.337
"P05","Nada",0.034,0.018,0.05,0.24,0,0.101
"P05","No sabe",0.022,0.016,0.011,0,0,0.021
"P06","Siempre",0.272,0.268,0.248,0.04,0.037,0.532
"P06","Casi siempre",0.346,0.385,0.335,0.064,0.437,0.217
"P06","Casi nunca",0.265,0.273,0.282,0.721,0.369,0.159
"P06","Nunca, pero esta es una excepción",0.117,0.074,0.135,0.175,0.157,0.092
"P09","Frente chaqueño",0.561,0.064,0.151,0.831,0.037,0.229
"P09","Juntos por el cambio",0.266,0.76,0.342,0,0.513,0.063
"P09","Corriente de expresión renovada",0.038,0.074,0.035,0.068,0,0.04
"P09","Partido Integrador",0.009,0.025,0.024,0.023,0,0
"P09","La libertad avanza",0.013,0.008,0.347,0,0.367,0
"P09","Libertarios en acción",0.003,0.03,0.009,0,0,0
"P09","Frente unidos por la gente",0.006,0.008,0.001,0.078,0.037,0
"P09","En blanco",0.031,0.005,0.034,0,0,0.092
"P09","No sabe",0.073,0.026,0.057,0,0.046,0.576
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.327,0.584,0.613,0.267,0.39,0.322
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.266,0.206,0.158,0.28,0.037,0.075
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.252,0.122,0.068,0.271,0.037,0.04
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.089,0.049,0.063,0.065,0.446,0
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.015,0.002,0.037,0.078,0.044,0.229
"P13","No sabe",0.051,0.037,0.061,0.039,0.046,0.334
"P14","Totalmente seguro.",0.698,0.721,0.696,0.708,0.865,0.654
"P14","Bastante seguro",0.191,0.159,0.163,0.226,0.045,0.217
"P14","Algo seguro",0.06,0.093,0.078,0.027,0.044,0
"P14","Para nada seguro",0.051,0.027,0.063,0.039,0.046,0.129
"P15","Tiene Decidido que va a ir a votar.",0.834,0.855,0.925,0.544,0.556,0.29
"P15","Tiene dudas sobre si va a ir a  votar",0.144,0.124,0.055,0.456,0.4,0.71
"P15","Tiene Decidido que no va a ir a votar",0.022,0.021,0.02,0,0.044,0
"P19","Si",0.646,0.464,0.443,0.496,0.761,0.307
"P19","No",0.354,0.536,0.557,0.504,0.239,0.693
"P11_imputada","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.772,0.173,0.198,0.882,0.76,0.516
"P11_imputada","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.153,0.723,0.473,0.04,0.067,0.175
"P11_imputada","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.041,0.035,0.046,0.055,0,0.04
"P11_imputada","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.018,0.03,0.038,0.023,0.083,0
"P11_imputada","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.003,0.032,0.179,0,0.046,0.032
"P11_imputada","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.005,0.004,0.007,0,0,0
"P11_imputada","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0,0,0.005,0,0.044,0
"P11_imputada","En blanco",0.008,0.003,0.054,0,0,0.237
