clave	texto
encuesta_especial	Preferencias electorales: Elecciones a Intendente y PASO - La Matanza, Julio 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	29/07/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Municipio de La Matanza
ficha_Estratificación	Cuatro estratos geográficos: Región Sudoeste (González Catan, Virrey del Pino y 20 de Junio), Región Central (Rafael Castillo, Gregorio de Laferrere e Isidro Casanova), Región Norte (San Justo, Ramos Mejía, Lomas del Mirador, Villa Luzuriaga y Manzanares) y Región Este (La Tablada, Ciudad Evita, Aldo Bonzi, Villa Madero, Villa Celina y Tapiales)
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Muestreo aleatorio estratificado por localidad. La probabilidad de selección hacia el interior de cada estrato se definió de manera proporcional al tamaño de la localidad.
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 27/07/2023 al 29/07/2023 abarcando 1980 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 2.19 %
