"var","categoria","Que continúe el intendente Ariel Sujarchuk","Que continúe Ariel Sujarchuk  pero con mejoras","Que cambie Ariel Sujarchuk pero que se mantengan los avances","Que cambie el intendente Ariel Sujarchuk"
"P07","Al candidato del Frente de Todos",0.87,0.478,0.377,0.015
"P07","Al candidato de Juntos por el Cambio",0.024,0.188,0.453,0.468
"P07","Al candidato de los liberales - libertarios",0.045,0.164,0.09,0.341
"P07","Al candidato de Consenso Federal",0,0.003,0,0
"P07","Al candidato de la Izquierda",0,0.003,0,0.021
"P07","A otro candidato",0.015,0.027,0.029,0.139
"P07","No sabe",0.046,0.137,0.051,0.016
"P08","A Ariel Sujarchuk por el Frente de Todos",0.948,0.639,0.452,0.032
"P08","A Roberto Costa por Juntos por el cambio",0.003,0.155,0.313,0.282
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.013,0.057,0.066,0.175
"P08","A Jesica Avejera por Juntos por el Cambio",0.032,0.033,0.028,0.048
"P08","A Ricardo Choffi por  Consenso Federal",0,0.003,0,0.02
"P08","A Griselda Romariz por los liberales libertarios",0.001,0.028,0.038,0.274
"P08","A Sandro Salazar por el Frente de Izquierda",0,0.012,0,0.019
"P08","No sabe",0.003,0.073,0.103,0.15
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.682,0.404,0.35,0.002
"P09","A Roberto Costa por Juntos por el cambio",0.061,0.22,0.275,0.293
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.022,0.062,0.13,0.196
"P09","A Jesica Avejera por Juntos por el Cambio",0,0.033,0.031,0.044
"P09","A Ricardo Choffi por Consenso Federal",0,0.007,0.01,0.028
"P09","A Griselda Romariz por los liberales libertarios",0.102,0.032,0.08,0.288
"P09","A Sandro Salazar por el Frente de Izquierda",0.005,0.019,0,0.034
"P09","No sabe",0.128,0.223,0.124,0.115
"P10","A Ariel Sujarchuk por el Frente de Todos",0.917,0.659,0.411,0.002
"P10","A Roberto Costa por Juntos por el Cambio",0.032,0.166,0.312,0.461
"P10","A Ricardo Choffi por Consenso Federal",0.012,0.022,0.058,0.023
"P10","A Griselda Romariz por los liberales libertarios",0.001,0.017,0.069,0.224
"P10","A Sandro Salazar por el Frente de Izquierda",0.004,0.014,0,0.028
"P10","No sabe",0.034,0.122,0.15,0.262
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.803,0.418,0.406,0.008
"P12","A Roberto Costa por Juntos por el Cambio",0.022,0.248,0.325,0.415
"P12","A Ricardo Choffi por Consenso Federal",0,0.028,0.035,0.014
"P12","A Griselda Romariz por los liberales libertarios",0.078,0.023,0.088,0.305
"P12","A Sandro Salazar por el Frente de Izquierda",0.009,0.003,0.01,0.025
"P12","No sabe",0.088,0.28,0.136,0.233
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.728,0.369,0.387,0
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.065,0.241,0.396,0.407
"P13","A Ricardo Choffi por Consenso Federal",0,0.032,0.016,0.035
"P13","A Griselda Romariz por los liberales libertarios",0.068,0.027,0.096,0.287
"P13","A Sandro Salazar por el Frente de Izquierda",0.009,0.029,0,0.018
"P13","No sabe",0.13,0.302,0.105,0.253
"P14","Lo votaria",0.886,0.601,0.419,0.008
"P14","Puede que lo vote",0.096,0.218,0.164,0.045
"P14","Nunca lo votaría",0.015,0.095,0.326,0.873
"P14","No sabe",0.003,0.086,0.091,0.074
"P15","Lo votaria",0.177,0.188,0.287,0.296
"P15","Puede que lo vote",0.123,0.202,0.082,0.214
"P15","Nunca lo votaría",0.642,0.417,0.436,0.367
"P15","No sabe",0.058,0.193,0.195,0.123
"P16","Lo votaria",0.192,0.123,0.118,0.192
"P16","Puede que lo vote",0.208,0.201,0.267,0.182
"P16","Nunca lo votaría",0.357,0.411,0.518,0.397
"P16","No sabe",0.243,0.265,0.097,0.229
"P17","Lo votaria",0.475,0.262,0.149,0.011
"P17","Puede que lo vote",0.181,0.234,0.113,0.107
"P17","Nunca lo votaría",0.221,0.274,0.591,0.727
"P17","No sabe",0.123,0.23,0.147,0.155
"P18","Lo votaria",0.146,0.064,0.015,0.027
"P18","Puede que lo vote",0.126,0.116,0.074,0.116
"P18","Nunca lo votaría",0.524,0.45,0.602,0.671
"P18","No sabe",0.204,0.37,0.309,0.186
"P19","Lo votaria",0.142,0.069,0.068,0.19
"P19","Puede que lo vote",0.095,0.082,0.062,0.242
"P19","Nunca lo votaría",0.506,0.44,0.564,0.385
"P19","No sabe",0.257,0.409,0.306,0.183
"P20","Lo votaria",0.081,0.065,0.105,0.116
"P20","Puede que lo vote",0.181,0.137,0.03,0.193
"P20","Nunca lo votaría",0.497,0.395,0.54,0.478
"P20","No sabe",0.241,0.403,0.325,0.213
"P21","Muy buena",0.783,0.233,0.055,0.005
"P21","Buena",0.126,0.461,0.173,0.032
"P21","Ni buena ni mala",0.079,0.207,0.675,0.316
"P21","Mala",0.012,0.009,0.041,0.335
"P21","Muy mala",0,0.067,0.046,0.287
"P21","No sabe",0,0.023,0.01,0.025
"P23","La seguridad",0.192,0.037,0.028,0.004
"P23","El tránsito",0.012,0.213,0.026,0
"P23","El arreglo de las calles",0.401,0.11,0.437,0.142
"P23","Los parques y los espacios públicos",0.104,0.203,0.087,0.221
"P23","El sistema de salud",0.132,0.153,0.036,0.025
"P23","La limpieza de las calles",0.013,0.028,0.01,0.064
"P23","El deporte y la cultura",0.079,0.146,0.221,0.056
"P23","La luminaria",0.014,0.028,0.031,0.107
"P23","No sabe",0.053,0.082,0.124,0.381
"P24","La seguridad",0.301,0.257,0.409,0.461
"P24","El tránsito",0.179,0.31,0.047,0.117
"P24","El arreglo de las calles",0.195,0.089,0.229,0.098
"P24","Los parques y los espacios públicos",0.071,0.041,0.021,0.033
"P24","El sistema de salud",0.081,0.131,0.115,0.143
"P24","La limpieza de las calles",0.02,0.043,0.027,0.041
"P24","El deporte y la cultura",0.012,0.046,0.06,0.016
"P24","La luminaria",0.038,0.036,0.019,0.009
"P24","No sabe",0.103,0.047,0.073,0.082
"P25","Agua corriente y cloacas",0.516,0.536,0.459,0.614
"P25","Energía eléctrica",0.155,0.161,0.292,0.125
"P25","Red de gas natural",0.066,0.086,0.031,0.088
"P25","Recolección de residuos",0.128,0.104,0.102,0.122
"P25","Ninguno",0.135,0.113,0.116,0.051
"P26","Los robos",0.557,0.495,0.418,0.454
"P26","El narcotráfico",0.073,0.122,0.252,0.198
"P26","La ausencia de patrulleros y personal policial",0.239,0.186,0.2,0.218
"P26","Otro",0.097,0.183,0.083,0.093
