"var","categoria","A Ariel Sujarchuk por el Frente de Todos","A Roberto Costa por Juntos por el Cambio","A Ricardo Choffi por Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.72,0.069,0.343,0.005,0.079,0.08
"P07","Al candidato de Juntos por el Cambio",0.06,0.743,0.411,0.19,0,0.195
"P07","Al candidato de los liberales - libertarios",0.06,0.095,0.087,0.779,0.099,0.304
"P07","Al candidato de Consenso Federal",0.016,0.002,0.008,0,0.317,0.003
"P07","Al candidato de la Izquierda",0.003,0.006,0.061,0,0.083,0.027
"P07","A otro candidato",0.033,0.039,0.027,0.026,0.422,0.177
"P07","No sabe",0.108,0.046,0.063,0,0,0.214
"P08","A Ariel Sujarchuk por el Frente de Todos",0.965,0.047,0.14,0.031,0.352,0.048
"P08","A Roberto Costa por Juntos por el cambio",0.004,0.697,0.174,0.02,0.317,0.018
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.003,0.07,0.488,0.304,0.13,0.179
"P08","A Jesica Avejera por Juntos por el Cambio",0.002,0.071,0.06,0.03,0.038,0.05
"P08","A Ricardo Choffi por  Consenso Federal",0,0,0.069,0.01,0.029,0.04
"P08","A Griselda Romariz por los liberales libertarios",0,0.026,0,0.551,0,0.266
"P08","A Sandro Salazar por el Frente de Izquierda",0.001,0.004,0.007,0,0.134,0.017
"P08","No sabe",0.025,0.085,0.062,0.054,0,0.382
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.653,0.004,0,0,0,0.031
"P09","A Roberto Costa por Juntos por el cambio",0.074,0.745,0.028,0,0.352,0.01
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.007,0.144,0.848,0.225,0,0.159
"P09","A Jesica Avejera por Juntos por el Cambio",0.021,0.047,0.043,0.064,0.038,0.043
"P09","A Ricardo Choffi por Consenso Federal",0.005,0,0.032,0.01,0.419,0.024
"P09","A Griselda Romariz por los liberales libertarios",0.032,0.027,0,0.645,0.032,0.311
"P09","A Sandro Salazar por el Frente de Izquierda",0.011,0,0.042,0,0.159,0.008
"P09","No sabe",0.197,0.033,0.007,0.056,0,0.414
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.76,0.059,0.08,0.012,0.387,0.02
"P12","A Roberto Costa por Juntos por el Cambio",0.058,0.825,0.252,0.048,0.357,0.079
"P12","A Ricardo Choffi por Consenso Federal",0.015,0.002,0.337,0.003,0.024,0.011
"P12","A Griselda Romariz por los liberales libertarios",0.032,0.058,0.188,0.937,0.022,0.112
"P12","A Sandro Salazar por el Frente de Izquierda",0.012,0,0.007,0,0.159,0.009
"P12","No sabe",0.123,0.056,0.136,0,0.051,0.769
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.734,0.061,0,0.007,0.335,0.028
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.055,0.693,0.568,0.102,0.055,0.201
"P13","A Ricardo Choffi por Consenso Federal",0.026,0.036,0.178,0.023,0.047,0.06
"P13","A Griselda Romariz por los liberales libertarios",0.031,0.076,0.217,0.858,0.041,0.121
"P13","A Sandro Salazar por el Frente de Izquierda",0.014,0.002,0,0,0.082,0.012
"P13","No sabe",0.14,0.132,0.037,0.01,0.44,0.578
"P14","Lo votaria",0.859,0.101,0.224,0.006,0.701,0.076
"P14","Puede que lo vote",0.077,0.249,0.155,0.05,0.057,0.137
"P14","Nunca lo votaría",0.033,0.633,0.375,0.842,0.162,0.506
"P14","No sabe",0.031,0.017,0.246,0.102,0.08,0.281
"P15","Lo votaria",0.184,0.543,0.039,0.019,0.623,0.088
"P15","Puede que lo vote",0.132,0.305,0.349,0.172,0.049,0.168
"P15","Nunca lo votaría",0.544,0.084,0.383,0.687,0.249,0.554
"P15","No sabe",0.14,0.068,0.229,0.122,0.079,0.19
"P16","Lo votaria",0.173,0.266,0.169,0.081,0.774,0.133
"P16","Puede que lo vote",0.198,0.329,0.384,0.126,0,0.1
"P16","Nunca lo votaría",0.403,0.218,0.154,0.634,0.226,0.46
"P16","No sabe",0.226,0.187,0.293,0.159,0,0.307
"P17","Lo votaria",0.439,0.086,0,0,0.183,0.025
"P17","Puede que lo vote",0.186,0.143,0.372,0.17,0,0.043
"P17","Nunca lo votaría",0.213,0.579,0.283,0.759,0.724,0.651
"P17","No sabe",0.162,0.192,0.345,0.071,0.093,0.281
"P18","Lo votaria",0.171,0.015,0,0.052,0.343,0.005
"P18","Puede que lo vote",0.125,0.12,0.3,0.1,0.058,0.057
