"var","categoria","A Carlos “Beto” Ramil por el Frente de Todos","A Mariano Castagnaro por Juntos por el Cambio","A Ricardo Choffi por Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.869,0.106,0.409,0.197,0.717,0.21
"P07","Al candidato de Juntos por el Cambio",0.04,0.722,0.317,0.063,0.045,0.167
"P07","Al candidato de los liberales - libertarios",0.029,0.1,0.265,0.673,0,0.108
"P07","Al candidato de Consenso Federal",0.025,0,0.009,0,0,0.003
"P07","Al candidato de la Izquierda",0.005,0,0,0.006,0.117,0.009
"P07","A otro candidato",0.003,0.019,0,0.048,0.121,0.256
"P07","No sabe",0.029,0.053,0,0.013,0,0.247
"P08","A Ariel Sujarchuk por el Frente de Todos",0.955,0.156,0.391,0.168,0.585,0.386
"P08","A Roberto Costa por Juntos por el cambio",0.012,0.575,0.241,0.083,0.045,0.157
"P08","A Mariano Castagnaro por Juntos por el Cambio",0,0.18,0.111,0.139,0,0.037
"P08","A Jesica Avejera por Juntos por el Cambio",0.025,0.05,0.032,0.004,0,0.045
"P08","A Ricardo Choffi por  Consenso Federal",0,0,0.133,0,0.013,0.016
"P08","A Griselda Romariz por los liberales libertarios",0.001,0.005,0.049,0.52,0,0.069
"P08","A Sandro Salazar por el Frente de Izquierda",0,0.008,0,0,0.204,0.028
"P08","No sabe",0.007,0.026,0.043,0.086,0.153,0.262
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.821,0.043,0.306,0.012,0.16,0.052
"P09","A Roberto Costa por Juntos por el cambio",0.055,0.615,0.026,0.086,0.045,0.189
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.006,0.25,0.196,0.089,0,0.049
"P09","A Jesica Avejera por Juntos por el Cambio",0.025,0.046,0.207,0.021,0,0.035
"P09","A Ricardo Choffi por Consenso Federal",0.027,0,0.207,0.014,0.143,0
"P09","A Griselda Romariz por los liberales libertarios",0.025,0.011,0.049,0.711,0,0.073
"P09","A Sandro Salazar por el Frente de Izquierda",0.001,0.007,0,0.001,0.244,0.017
"P09","No sabe",0.04,0.028,0.009,0.066,0.408,0.585
"P10","A Ariel Sujarchuk por el Frente de Todos",0.931,0.119,0.36,0.138,0.617,0.391
