"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Al candidato del Frente de Todos",0.331,0.368,0.598,0.401
"P07","Al candidato de Juntos por el Cambio",0.479,0.445,0.098,0.079
"P07","Al candidato de los liberales - libertarios",0.107,0.131,0.175,0.158
"P07","Al candidato de Consenso Federal",0.032,0,0.002,0
"P07","Al candidato de la Izquierda",0.009,0,0.006,0
"P07","A otro candidato",0.005,0.037,0.073,0.097
"P07","No sabe",0.037,0.019,0.048,0.265
"P08","A Ariel Sujarchuk por el Frente de Todos",0.44,0.382,0.652,0.559
"P08","A Roberto Costa por Juntos por el cambio",0.421,0.294,0.044,0.072
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.047,0.165,0.049,0.101
"P08","A Jesica Avejera por Juntos por el Cambio",0.073,0.032,0.017,0
"P08","A Ricardo Choffi por  Consenso Federal",0,0.004,0.014,0
"P08","A Griselda Romariz por los liberales libertarios",0.003,0.078,0.117,0.105
"P08","A Sandro Salazar por el Frente de Izquierda",0.005,0.012,0.004,0.016
"P08","No sabe",0.011,0.033,0.103,0.147
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.277,0.242,0.505,0.33
"P09","A Roberto Costa por Juntos por el cambio",0.492,0.258,0.043,0.109
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.079,0.225,0.056,0.093
"P09","A Jesica Avejera por Juntos por el Cambio",0.049,0.063,0.016,0.003
"P09","A Ricardo Choffi por Consenso Federal",0.037,0.004,0.023,0
"P09","A Griselda Romariz por los liberales libertarios",0.044,0.08,0.16,0.146
"P09","A Sandro Salazar por el Frente de Izquierda",0,0.005,0.014,0
"P09","No sabe",0.022,0.123,0.183,0.319
"P10","A Ariel Sujarchuk por el Frente de Todos",0.382,0.367,0.646,0.559
"P10","A Roberto Costa por Juntos por el Cambio",0.525,0.392,0.047,0.127
"P10","A Ricardo Choffi por Consenso Federal",0.005,0.062,0.029,0.059
"P10","A Griselda Romariz por los liberales libertarios",0.006,0.068,0.117,0.07
"P10","A Sandro Salazar por el Frente de Izquierda",0.04,0.004,0.009,0.01
"P10","No sabe",0.042,0.107,0.152,0.175
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.407,0.271,0.539,0.39
"P12","A Roberto Costa por Juntos por el Cambio",0.537,0.458,0.043,0.065
"P12","A Ricardo Choffi por Consenso Federal",0.005,0.017,0.018,0.02
"P12","A Griselda Romariz por los liberales libertarios",0.015,0.115,0.182,0.167
"P12","A Sandro Salazar por el Frente de Izquierda",0.005,0.002,0.02,0
"P12","No sabe",0.031,0.137,0.198,0.358
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.387,0.237,0.503,0.321
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.449,0.488,0.088,0.069
"P13","A Ricardo Choffi por Consenso Federal",0.015,0.056,0.026,0.079
"P13","A Griselda Romariz por los liberales libertarios",0.037,0.119,0.168,0.151
"P13","A Sandro Salazar por el Frente de Izquierda",0.002,0.002,0.026,0
"P13","No sabe",0.11,0.098,0.189,0.38
"P14","Lo votaria",0.453,0.343,0.577,0.57
"P14","Puede que lo vote",0.182,0.225,0.078,0.031
"P14","Nunca lo votaría",0.335,0.398,0.295,0.202
"P14","No sabe",0.03,0.034,0.05,0.197
"P16","Lo votaria",0.383,0.234,0.108,0.067
"P16","Puede que lo vote",0.25,0.498,0.102,0.096
"P16","Nunca lo votaría",0.235,0.164,0.615,0.173
"P16","No sabe",0.132,0.104,0.175,0.664
"P17","Lo votaria",0.337,0.133,0.29,0.088
"P17","Puede que lo vote",0.119,0.253,0.158,0.116
"P17","Nunca lo votaría",0.426,0.439,0.462,0.17
"P17","No sabe",0.118,0.175,0.09,0.626
"P18","Lo votaria",0.247,0.054,0.055,0
"P18","Puede que lo vote",0.112,0.244,0.083,0.093
"P18","Nunca lo votaría",0.365,0.566,0.716,0.227
"P18","No sabe",0.276,0.136,0.146,0.68
"P19","Lo votaria",0.243,0.129,0.115,0.059
"P19","Puede que lo vote",0.147,0.316,0.091,0.032
"P19","Nunca lo votaría",0.381,0.416,0.599,0.211
"P19","No sabe",0.229,0.139,0.195,0.698
"P20","Lo votaria",0.162,0.147,0.05,0.08
"P20","Puede que lo vote",0.136,0.376,0.126,0.015
"P20","Nunca lo votaría",0.432,0.358,0.609,0.224
"P20","No sabe",0.27,0.119,0.215,0.681
"P21","Muy buena",0.268,0.274,0.427,0.185
"P21","Buena",0.134,0.201,0.136,0.279
"P21","Ni buena ni mala",0.285,0.276,0.253,0.16
"P21","Mala",0.166,0.056,0.085,0.242
"P21","Muy mala",0.147,0.191,0.085,0.074
"P21","No sabe",0,0.002,0.014,0.06
"P22","Que continúe el intendente Ariel Sujarchuk",0.272,0.269,0.472,0.169
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.158,0.242,0.168,0.305
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.157,0.063,0.114,0.201
"P22","Que cambie el intendente Ariel Sujarchuk",0.413,0.426,0.246,0.325
"P23","La seguridad",0.154,0.066,0.072,0
"P23","El tránsito",0.109,0.07,0.022,0.01
"P23","El arreglo de las calles",0.249,0.222,0.283,0.285
"P23","Los parques y los espacios públicos",0.121,0.069,0.199,0.191
"P23","El sistema de salud",0.04,0.036,0.123,0.12
"P23","La limpieza de las calles",0.052,0.03,0.031,0
"P23","El deporte y la cultura",0.05,0.148,0.112,0.101
"P23","La luminaria",0.02,0.127,0.022,0.108
"P23","No sabe",0.205,0.232,0.136,0.185
"P24","La seguridad",0.431,0.43,0.289,0.406
"P24","El tránsito",0.122,0.131,0.207,0.139
"P24","El arreglo de las calles",0.135,0.087,0.177,0.14
"P24","Los parques y los espacios públicos",0.088,0.041,0.032,0.031
"P24","El sistema de salud",0.103,0.178,0.087,0.164
"P24","La limpieza de las calles",0.027,0.041,0.039,0
"P24","El deporte y la cultura",0.033,0.033,0.026,0
"P24","La luminaria",0.002,0.021,0.039,0.025
"P24","No sabe",0.059,0.038,0.104,0.095
"P25","Agua corriente y cloacas",0.618,0.636,0.519,0.367
"P25","Energía eléctrica",0.18,0.082,0.172,0.213
"P25","Red de gas natural",0.068,0.032,0.081,0.1
"P25","Recolección de residuos",0.094,0.137,0.112,0.174
"P25","Ninguno",0.04,0.113,0.116,0.146
"P26","Los robos",0.668,0.505,0.462,0.244
"P26","El narcotráfico",0.105,0.178,0.111,0.357
"P26","La ausencia de patrulleros y personal policial",0.138,0.189,0.264,0.206
"P26","Otro",0.077,0.128,0.103,0.193
"P26","Ninguno",0.012,0,0.06,0
"P27","Muy buena",0.239,0.265,0.383,0.181
"P27","Buena",0.104,0.224,0.166,0.41
"P27","Ni buena ni mala",0.341,0.225,0.235,0.199
"P27","Mala",0.169,0.071,0.08,0.123
"P27","Muy mala",0.124,0.193,0.109,0.087
"P27","No sabe",0.023,0.022,0.027,0
"P28","Muy buena",0.253,0.029,0.009,0.005
"P28","Buena",0.184,0.443,0.043,0.041
"P28","Ni buena ni mala",0.397,0.431,0.34,0.404
"P28","Mala",0.068,0.049,0.245,0.183
"P28","Muy mala",0.08,0.011,0.25,0.043
"P28","No sabe",0.018,0.037,0.113,0.324
"P29","Muy buena",0.2,0.096,0.006,0.001
"P29","Buena",0.128,0.183,0.029,0.023
"P29","Ni buena ni mala",0.383,0.583,0.445,0.324
"P29","Mala",0.084,0.033,0.084,0.028
"P29","Muy mala",0.058,0,0.226,0.081
"P29","No sabe",0.147,0.105,0.21,0.543
"P30","Muy buena",0.077,0.025,0.007,0
"P30","Buena",0.056,0.041,0.019,0.069
"P30","Ni buena ni mala",0.374,0.687,0.426,0.301
"P30","Mala",0.037,0.022,0.117,0.01
"P30","Muy mala",0.054,0.017,0.155,0.084
"P30","No sabe",0.402,0.208,0.276,0.536
"P31","Muy buena",0.213,0.116,0.001,0.021
"P31","Buena",0.097,0.048,0.05,0.072
"P31","Ni buena ni mala",0.224,0.618,0.388,0.347
"P31","Mala",0.116,0.037,0.14,0.015
"P31","Muy mala",0.061,0.01,0.131,0.097
"P31","No sabe",0.289,0.171,0.29,0.448
"P32","Muy buena",0.08,0.085,0.111,0
"P32","Buena",0.105,0.177,0.079,0.079
"P32","Ni buena ni mala",0.347,0.341,0.35,0.314
"P32","Mala",0.093,0.077,0.106,0.01
"P32","Muy mala",0.105,0.114,0.096,0.1
"P32","No sabe",0.27,0.206,0.258,0.497
"P33","Muy buena",0.137,0.117,0.024,0.071
"P33","Buena",0.069,0.088,0.065,0.05
"P33","Ni buena ni mala",0.308,0.518,0.392,0.333
"P33","Mala",0.05,0.029,0.086,0.01
"P33","Muy mala",0.057,0.012,0.17,0.046
"P33","No sabe",0.379,0.236,0.263,0.49
"P34","Muy buena",0.252,0.121,0.018,0
"P34","Buena",0.238,0.26,0.006,0.093
"P34","Ni buena ni mala",0.211,0.512,0.401,0.573
"P34","Mala",0.063,0.052,0.185,0.017
"P34","Muy mala",0.061,0.009,0.226,0.098
"P34","No sabe",0.175,0.046,0.164,0.219
"P35","Frente de Todos y el peronismo",0.047,0.27,0.443,0.329
"P35","Cambiemos",0.589,0.524,0.085,0.128
"P35","Liberales Libertarios",0.252,0.124,0.269,0.279
"P35","Izquierda",0.064,0.006,0.051,0.016
"P35","No sabe",0.048,0.076,0.152,0.248
"P41","Muy buena",0.153,0.022,0.128,0.101
"P41","Buena",0.072,0.174,0.194,0.082
"P41","Ni buena ni mala",0.06,0.213,0.206,0.254
"P41","Mala",0.245,0.123,0.191,0.188
"P41","Muy mala",0.466,0.458,0.277,0.375
"P41","No sabe",0.004,0.01,0.004,0
"P42","Muy buena",0.331,0.236,0.044,0.024
"P42","Buena",0.291,0.201,0.08,0.103
"P42","Ni buena ni mala",0.145,0.303,0.199,0.355
"P42","Mala",0.04,0.159,0.225,0.287
"P42","Muy mala",0.193,0.095,0.415,0.226
"P42","No sabe",0,0.006,0.037,0.005
"P43","Muy buena",0.215,0.183,0.414,0.273
"P43","Buena",0.091,0.038,0.096,0.035
"P43","Ni buena ni mala",0.069,0.149,0.087,0.111
"P43","Mala",0.083,0.052,0.102,0.058
"P43","Muy mala",0.542,0.56,0.289,0.426
"P43","No sabe",0,0.018,0.012,0.097
"P44","Muy buena",0.282,0.161,0.055,0.263
"P44","Buena",0.245,0.275,0.048,0.067
"P44","Ni buena ni mala",0.136,0.191,0.292,0.155
"P44","Mala",0.097,0.164,0.229,0.16
"P44","Muy mala",0.24,0.189,0.323,0.163
"P44","No sabe",0,0.02,0.053,0.192
"P45","Muy buena",0.178,0,0.104,0.076
"P45","Buena",0.111,0.471,0.273,0.308
"P45","Ni buena ni mala",0.097,0.1,0.214,0.06
"P45","Mala",0.222,0.124,0.149,0.242
"P45","Muy mala",0.392,0.285,0.205,0.307
"P45","No sabe",0,0.02,0.055,0.007
"P46","Muy buena",0.436,0.362,0.11,0.117
"P46","Buena",0.245,0.109,0.121,0.11
"P46","Ni buena ni mala",0.195,0.298,0.207,0.198
"P46","Mala",0.02,0.164,0.186,0.142
"P46","Muy mala",0.104,0.057,0.323,0.238
"P46","No sabe",0,0.01,0.053,0.195
"P47","Muy buena",0.314,0.221,0.182,0.349
"P47","Buena",0.188,0.163,0.058,0.001
"P47","Ni buena ni mala",0.186,0.324,0.177,0.106
"P47","Mala",0.008,0.21,0.099,0.156
"P47","Muy mala",0.292,0.082,0.39,0.221
"P47","No sabe",0.012,0,0.094,0.167
