"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Al candidato del Frente de Todos",0.812,0.456,0.385,0.448
"P07","Al candidato de Juntos por el Cambio",0.031,0.333,0.301,0.228
"P07","Al candidato de los liberales - libertarios",0.109,0.122,0.192,0.133
"P07","Al candidato de Consenso Federal",0,0,0.001,0.002
"P07","Al candidato de la Izquierda",0.029,0,0.012,0.002
"P07","A otro candidato",0.019,0.011,0.082,0.044
"P07","No sabe",0,0.078,0.027,0.143
"P08","A Ariel Sujarchuk por el Frente de Todos",0.868,0.585,0.45,0.479
"P08","A Roberto Costa por Juntos por el cambio",0.038,0.205,0.192,0.177
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.036,0.016,0.095,0.12
"P08","A Jesica Avejera por Juntos por el Cambio",0,0.096,0.022,0.052
"P08","A Ricardo Choffi por  Consenso Federal",0.009,0,0.005,0.017
"P08","A Griselda Romariz por los liberales libertarios",0.049,0.077,0.129,0.058
"P08","A Sandro Salazar por el Frente de Izquierda",0,0.003,0.009,0.018
"P08","No sabe",0,0.018,0.098,0.079
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.661,0.322,0.328,0.305
"P09","A Roberto Costa por Juntos por el cambio",0.139,0.176,0.201,0.268
"P09","A Mariano Castagnaro por Juntos por el Cambio",0,0.112,0.122,0.117
"P09","A Jesica Avejera por Juntos por el Cambio",0,0.074,0.025,0.012
"P09","A Ricardo Choffi por Consenso Federal",0.026,0.023,0.004,0.017
"P09","A Griselda Romariz por los liberales libertarios",0.155,0.078,0.175,0.071
"P09","A Sandro Salazar por el Frente de Izquierda",0.019,0,0.023,0.004
"P09","No sabe",0,0.215,0.122,0.206
"P10","A Ariel Sujarchuk por el Frente de Todos",0.868,0.523,0.421,0.492
"P10","A Roberto Costa por Juntos por el Cambio",0.038,0.242,0.276,0.235
"P10","A Ricardo Choffi por Consenso Federal",0,0.093,0.021,0.058
"P10","A Griselda Romariz por los liberales libertarios",0.043,0.069,0.118,0.022
"P10","A Sandro Salazar por el Frente de Izquierda",0.045,0.006,0.013,0.002
"P10","No sabe",0.006,0.067,0.151,0.191
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.881,0.484,0.338,0.369
"P12","A Roberto Costa por Juntos por el Cambio",0.045,0.29,0.269,0.237
"P12","A Ricardo Choffi por Consenso Federal",0.009,0.067,0.006,0.011
"P12","A Griselda Romariz por los liberales libertarios",0.048,0.095,0.186,0.11
"P12","A Sandro Salazar por el Frente de Izquierda",0.017,0.02,0.015,0.002
"P12","No sabe",0,0.044,0.186,0.271
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.865,0.38,0.319,0.346
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.044,0.326,0.292,0.225
"P13","A Ricardo Choffi por Consenso Federal",0.009,0.059,0.006,0.039
"P13","A Griselda Romariz por los liberales libertarios",0.065,0.082,0.177,0.1
"P13","A Sandro Salazar por el Frente de Izquierda",0.008,0.014,0.015,0.017
"P13","No sabe",0.009,0.139,0.191,0.273
"P14","Lo votaria",0.775,0.429,0.441,0.444
"P14","Puede que lo vote",0.116,0.184,0.091,0.151
"P14","Nunca lo votaría",0.083,0.343,0.445,0.203
"P14","No sabe",0.026,0.044,0.023,0.202
"P15","Lo votaria",0.662,0.247,0.178,0.289
"P15","Puede que lo vote",0.09,0.334,0.171,0.087
"P15","Nunca lo votaría",0.248,0.314,0.594,0.26
"P15","No sabe",0,0.105,0.057,0.364
"P16","Lo votaria",0.607,0.072,0.152,0.123
"P16","Puede que lo vote",0.13,0.443,0.173,0.237
"P16","Nunca lo votaría",0.254,0.32,0.544,0.089
"P16","No sabe",0.009,0.165,0.131,0.551
"P17","Lo votaria",0.846,0.243,0.19,0.173
"P17","Puede que lo vote",0.089,0.467,0.109,0.116
"P17","Nunca lo votaría",0.065,0.19,0.653,0.179
"P17","No sabe",0,0.1,0.048,0.532
"P19","Lo votaria",0.567,0.054,0.144,0.028
"P19","Puede que lo vote",0.139,0.417,0.109,0.044
"P19","Nunca lo votaría",0.198,0.444,0.66,0.104
"P19","No sabe",0.096,0.085,0.087,0.824
"P20","Lo votaria",0.452,0.036,0.092,0.016
"P20","Puede que lo vote",0.157,0.491,0.138,0.043
"P20","Nunca lo votaría",0.309,0.337,0.672,0.144
"P20","No sabe",0.082,0.136,0.098,0.797
"P21","Muy buena",0.67,0.286,0.3,0.334
"P21","Buena",0.088,0.161,0.144,0.236
"P21","Ni buena ni mala",0.134,0.244,0.302,0.178
"P21","Mala",0.041,0.125,0.122,0.131
"P21","Muy mala",0.067,0.184,0.123,0.081
"P21","No sabe",0,0,0.009,0.04
"P22","Que continúe el intendente Ariel Sujarchuk",0.692,0.392,0.329,0.297
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.166,0.197,0.154,0.296
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.025,0.082,0.134,0.161
"P22","Que cambie el intendente Ariel Sujarchuk",0.117,0.329,0.383,0.246
"P23","La seguridad",0.402,0.022,0.053,0.077
"P23","El tránsito",0.053,0.051,0.026,0.1
"P23","El arreglo de las calles",0.186,0.189,0.283,0.284
"P23","Los parques y los espacios públicos",0.078,0.058,0.204,0.123
"P23","El sistema de salud",0.052,0.137,0.067,0.131
"P23","La limpieza de las calles",0.104,0.055,0.024,0.018
"P23","El deporte y la cultura",0.06,0.111,0.138,0.027
