clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,Fernandez,Macri,Lavagna,opciones
Muy buena,0.335,0.373,0.298,0.333,0.402,0.283,0.19,0.377,0.333,0.266,0.644,0.135,0.035,6
Buena,0.164,0.113,0.215,0.141,0.146,0.226,0.164,0.169,0.13,0.221,0.178,0.14,0.346,6
Ni buena ni mala,0.253,0.3,0.206,0.284,0.207,0.243,0.372,0.216,0.267,0.289,0.119,0.397,0.312,6
Mala,0.118,0.09,0.146,0.084,0.112,0.123,0.206,0.143,0.11,0.092,0.026,0.153,0.307,6
Muy mala,0.115,0.11,0.12,0.139,0.118,0.123,0.041,0.078,0.146,0.12,0.033,0.17,0,6
No sabe,0.015,0.014,0.015,0.019,0.015,0.002,0.027,0.017,0.014,0.012,0,0.005,0,6
Muy buena,0.335,0.373,0.298,0.333,0.402,0.283,0.19,0.377,0.333,0.266,0.644,0.135,0.035,4
Buena,0.164,0.113,0.215,0.141,0.146,0.226,0.164,0.169,0.13,0.221,0.178,0.14,0.346,4
Ni buena ni mala,0.253,0.3,0.206,0.284,0.207,0.243,0.372,0.216,0.267,0.289,0.119,0.397,0.312,4
Mala,0.118,0.09,0.146,0.084,0.112,0.123,0.206,0.143,0.11,0.092,0.026,0.153,0.307,4
Muy mala,0.115,0.11,0.12,0.139,0.118,0.123,0.041,0.078,0.146,0.12,0.033,0.17,0,4
No sabe,0.015,0.014,0.015,0.019,0.015,0.002,0.027,0.017,0.014,0.012,0,0.005,0,4
