"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","Al candidato del Frente de Todos",0.424,0.437,0.499,0.51,0.536
"P07","Al candidato de Juntos por el Cambio",0.276,0.251,0.338,0.136,0.223
"P07","Al candidato de los liberales - libertarios",0.178,0.25,0.045,0.199,0.095
"P07","Al candidato de Consenso Federal",0,0,0,0.005,0
"P07","Al candidato de la Izquierda",0.002,0.012,0.049,0.005,0
"P07","A otro candidato",0.067,0.005,0.019,0.115,0.041
"P07","No sabe",0.053,0.045,0.05,0.03,0.105
"P08","A Ariel Sujarchuk por el Frente de Todos",0.49,0.613,0.645,0.391,0.594
"P08","A Roberto Costa por Juntos por el cambio",0.173,0.187,0.19,0.1,0.155
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.112,0.039,0.042,0.075,0.026
"P08","A Jesica Avejera por Juntos por el Cambio",0.018,0.035,0.017,0.116,0.029
"P08","A Ricardo Choffi por  Consenso Federal",0.01,0,0,0,0
"P08","A Griselda Romariz por los liberales libertarios",0.085,0.108,0.032,0.259,0.075
"P08","A Sandro Salazar por el Frente de Izquierda",0.004,0.012,0.054,0.006,0
"P08","No sabe",0.108,0.006,0.02,0.053,0.121
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.337,0.451,0.492,0.251,0.385
"P09","A Roberto Costa por Juntos por el cambio",0.178,0.193,0.228,0.184,0.167
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.136,0.022,0.109,0.086,0.016
"P09","A Jesica Avejera por Juntos por el Cambio",0.021,0.035,0.017,0.025,0.04
"P09","A Ricardo Choffi por Consenso Federal",0.017,0.011,0,0,0
"P09","A Griselda Romariz por los liberales libertarios",0.143,0.21,0.037,0.277,0.069
"P09","A Sandro Salazar por el Frente de Izquierda",0.01,0.012,0.049,0.011,0.036
"P09","No sabe",0.158,0.066,0.068,0.166,0.287
"P10","A Ariel Sujarchuk por el Frente de Todos",0.482,0.521,0.564,0.389,0.594
"P10","A Roberto Costa por Juntos por el Cambio",0.208,0.207,0.304,0.298,0.156
"P10","A Ricardo Choffi por Consenso Federal",0.028,0,0.011,0.043,0.029
"P10","A Griselda Romariz por los liberales libertarios",0.111,0.14,0.017,0.054,0.015
"P10","A Sandro Salazar por el Frente de Izquierda",0.004,0.012,0.057,0.017,0.018
"P10","No sabe",0.167,0.12,0.047,0.199,0.188
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.386,0.465,0.347,0.503,0.458
"P12","A Roberto Costa por Juntos por el Cambio",0.262,0.229,0.349,0.115,0.169
"P12","A Ricardo Choffi por Consenso Federal",0.014,0,0.006,0.019,0.024
"P12","A Griselda Romariz por los liberales libertarios",0.15,0.223,0.044,0.185,0.04
"P12","A Sandro Salazar por el Frente de Izquierda",0.004,0.02,0.06,0.005,0.035
"P12","No sabe",0.184,0.063,0.194,0.173,0.274
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.35,0.458,0.332,0.39,0.394
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.286,0.241,0.371,0.1,0.183
"P13","A Ricardo Choffi por Consenso Federal",0.027,0.003,0.006,0.004,0.025
"P13","A Griselda Romariz por los liberales libertarios",0.142,0.223,0.044,0.181,0.052
"P13","A Sandro Salazar por el Frente de Izquierda",0,0.012,0.062,0.005,0.083
"P13","No sabe",0.195,0.063,0.185,0.32,0.263
"P14","Lo votaria",0.467,0.53,0.484,0.323,0.577
"P14","Puede que lo vote",0.085,0.129,0.09,0.28,0.085
"P14","Nunca lo votaría",0.387,0.335,0.414,0.299,0.199
"P14","No sabe",0.061,0.006,0.012,0.098,0.139
"P15","Lo votaria",0.263,0.255,0.219,0.185,0.092
"P15","Puede que lo vote",0.183,0.079,0.069,0.182,0.177
"P15","Nunca lo votaría",0.483,0.53,0.568,0.479,0.579
"P15","No sabe",0.071,0.136,0.144,0.154,0.152
"P16","Lo votaria",0.163,0.291,0.143,0.041,0.104
"P16","Puede que lo vote",0.22,0.196,0.117,0.211,0.226
"P16","Nunca lo votaría",0.441,0.361,0.523,0.271,0.367
"P16","No sabe",0.176,0.152,0.217,0.477,0.303
"P17","Lo votaria",0.222,0.298,0.296,0.219,0.248
"P17","Puede que lo vote",0.126,0.09,0.31,0.33,0.104
"P17","Nunca lo votaría",0.498,0.555,0.283,0.157,0.373
"P17","No sabe",0.154,0.057,0.111,0.294,0.275
"P18","Lo votaria",0.085,0.081,0.019,0.096,0.058
"P18","Puede que lo vote",0.072,0.082,0.176,0.178,0.247
"P18","Nunca lo votaría",0.632,0.622,0.541,0.32,0.367
"P18","No sabe",0.211,0.215,0.264,0.406,0.328
"P19","Lo votaria",0.15,0.092,0.098,0.197,0.054
"P19","Puede que lo vote",0.144,0.099,0.105,0.17,0.09
"P19","Nunca lo votaría",0.476,0.543,0.516,0.298,0.492
"P19","No sabe",0.23,0.266,0.281,0.335,0.364
"P20","Lo votaria",0.086,0.118,0.045,0.153,0.051
