"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Al candidato del Frente de Todos",0.912,0.565,0.207,0.299
"P07","Al candidato de Juntos por el Cambio",0.045,0.219,0.418,0.278
"P07","Al candidato de los liberales - libertarios",0.029,0.135,0.242,0.127
"P07","Al candidato de Consenso Federal",0,0,0.002,0
"P07","Al candidato de la Izquierda",0,0.017,0.018,0
"P07","A otro candidato",0.008,0.024,0.092,0.063
"P07","No sabe",0.006,0.04,0.021,0.233
"P08","A Ariel Sujarchuk por el Frente de Todos",0.893,0.651,0.291,0.428
"P08","A Roberto Costa por Juntos por el cambio",0.046,0.213,0.243,0.206
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.006,0.023,0.13,0.12
"P08","A Jesica Avejera por Juntos por el Cambio",0.041,0.003,0.052,0.01
"P08","A Ricardo Choffi por  Consenso Federal",0,0,0.018,0
"P08","A Griselda Romariz por los liberales libertarios",0.003,0.097,0.126,0.132
"P08","A Sandro Salazar por el Frente de Izquierda",0,0,0.014,0.02
"P08","No sabe",0.011,0.013,0.126,0.084
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.817,0.407,0.128,0.226
"P09","A Roberto Costa por Juntos por el cambio",0.125,0.179,0.277,0.153
"P09","A Mariano Castagnaro por Juntos por el Cambio",0,0.121,0.153,0.109
"P09","A Jesica Avejera por Juntos por el Cambio",0.003,0.02,0.046,0.065
"P09","A Ricardo Choffi por Consenso Federal",0.006,0.007,0.023,0
"P09","A Griselda Romariz por los liberales libertarios",0.038,0.098,0.185,0.141
"P09","A Sandro Salazar por el Frente de Izquierda",0,0.012,0.032,0
"P09","No sabe",0.011,0.156,0.156,0.306
"P10","A Ariel Sujarchuk por el Frente de Todos",0.893,0.586,0.262,0.445
"P10","A Roberto Costa por Juntos por el Cambio",0.084,0.215,0.339,0.251
"P10","A Ricardo Choffi por Consenso Federal",0,0.081,0.024,0.065
"P10","A Griselda Romariz por los liberales libertarios",0,0.082,0.142,0.03
"P10","A Sandro Salazar por el Frente de Izquierda",0.009,0,0.022,0.006
"P10","No sabe",0.014,0.036,0.211,0.203
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.901,0.498,0.162,0.277
"P12","A Roberto Costa por Juntos por el Cambio",0.058,0.23,0.374,0.218
"P12","A Ricardo Choffi por Consenso Federal",0,0.038,0.014,0.015
"P12","A Griselda Romariz por los liberales libertarios",0.002,0.099,0.207,0.169
"P12","A Sandro Salazar por el Frente de Izquierda",0.01,0.017,0.02,0
"P12","No sabe",0.029,0.118,0.223,0.321
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.902,0.423,0.127,0.265
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.045,0.259,0.407,0.156
"P13","A Ricardo Choffi por Consenso Federal",0.003,0.035,0.029,0.062
"P13","A Griselda Romariz por los liberales libertarios",0.008,0.11,0.197,0.142
"P13","A Sandro Salazar por el Frente de Izquierda",0.007,0.01,0.021,0.019
"P13","No sabe",0.035,0.163,0.219,0.356
"P14","Lo votaria",0.815,0.545,0.281,0.434
"P14","Puede que lo vote",0.116,0.196,0.1,0.128
"P14","Nunca lo votaría",0.027,0.231,0.579,0.23
"P14","No sabe",0.042,0.028,0.04,0.208
"P15","Lo votaria",0.35,0.191,0.266,0.165
"P15","Puede que lo vote",0.098,0.29,0.195,0.175
"P15","Nunca lo votaría",0.505,0.423,0.484,0.21
"P15","No sabe",0.047,0.096,0.055,0.45
"P16","Lo votaria",0.279,0.046,0.202,0.13
"P16","Puede que lo vote",0.201,0.358,0.21,0.122
"P16","Nunca lo votaría",0.404,0.422,0.452,0.15
"P16","No sabe",0.116,0.174,0.136,0.598
"P18","Lo votaria",0.322,0.057,0.015,0
"P18","Puede que lo vote",0.112,0.365,0.053,0.069
"P18","Nunca lo votaría",0.397,0.387,0.826,0.152
