"var","categoria","A  Carlos “Beto” Ramil por el Frente de Todos","A Roberto Costa por Juntos por el Cambio","A Ricardo Choffi por Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.86,0.07,0.099,0.159,0.424,0.176
"P07","Al candidato de Juntos por el Cambio",0.04,0.724,0.229,0.205,0,0.132
"P07","Al candidato de los liberales - libertarios",0.029,0.096,0.587,0.562,0.28,0.174
"P07","Al candidato de Consenso Federal",0.02,0.002,0.013,0,0,0.005
"P07","Al candidato de la Izquierda",0.002,0.008,0,0.004,0.179,0.019
"P07","A otro candidato",0.024,0.047,0,0.04,0.117,0.199
"P07","No sabe",0.025,0.053,0.072,0.03,0,0.295
"P08","A Ariel Sujarchuk por el Frente de Todos",0.946,0.155,0.392,0.156,0.525,0.324
"P08","A Roberto Costa por Juntos por el cambio",0.017,0.669,0.101,0.028,0,0.012
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.008,0.104,0.235,0.229,0.097,0.091
"P08","A Jesica Avejera por Juntos por el Cambio",0.021,0.044,0.011,0.029,0,0.046
"P08","A Ricardo Choffi por  Consenso Federal",0,0,0.043,0.017,0.012,0.026
"P08","A Griselda Romariz por los liberales libertarios",0.002,0.002,0.053,0.437,0,0.142
"P08","A Sandro Salazar por el Frente de Izquierda",0,0.003,0,0.005,0.267,0.022
"P08","No sabe",0.006,0.023,0.165,0.099,0.099,0.337
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.8,0.018,0.293,0.021,0.082,0.06
"P09","A Roberto Costa por Juntos por el cambio",0.049,0.686,0.039,0.051,0,0.061
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.018,0.182,0.338,0.172,0,0.09
"P09","A Jesica Avejera por Juntos por el Cambio",0.02,0.065,0.011,0.02,0.184,0.04
"P09","A Ricardo Choffi por Consenso Federal",0.02,0,0.134,0.006,0.298,0.019
"P09","A Griselda Romariz por los liberales libertarios",0.027,0.008,0.053,0.648,0,0.142
"P09","A Sandro Salazar por el Frente de Izquierda",0.008,0,0.072,0.008,0.283,0.014
"P09","No sabe",0.058,0.041,0.06,0.074,0.153,0.574
"P10","A Ariel Sujarchuk por el Frente de Todos",0.931,0.119,0.392,0.137,0.525,0.345
"P10","A Roberto Costa por Juntos por el Cambio",0.032,0.759,0.017,0.111,0,0.071
"P10","A Ricardo Choffi por Consenso Federal",0.005,0.029,0.477,0.045,0.018,0.021
"P10","A Griselda Romariz por los liberales libertarios",0.002,0.014,0.011,0.577,0,0
"P10","A Sandro Salazar por el Frente de Izquierda",0.024,0.037,0.03,0.005,0.358,0.007
"P10","No sabe",0.006,0.042,0.073,0.125,0.099,0.556
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.89,0.015,0,0.027,0.098,0.021
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.031,0.79,0.281,0.073,0,0.114
"P13","A Ricardo Choffi por Consenso Federal",0.027,0.04,0.719,0.008,0,0.031
"P13","A Griselda Romariz por los liberales libertarios",0.01,0.022,0,0.867,0.105,0.01
"P13","A Sandro Salazar por el Frente de Izquierda",0.007,0.002,0,0,0.641,0.002
"P13","No sabe",0.035,0.131,0,0.025,0.156,0.822
"P14","Lo votaria",0.85,0.155,0.272,0.166,0.261,0.338
"P14","Puede que lo vote",0.072,0.224,0.129,0.05,0.163,0.175
"P14","Nunca lo votaría",0.043,0.604,0.389,0.646,0.306,0.311
"P14","No sabe",0.035,0.017,0.21,0.138,0.27,0.176
"P15","Lo votaria",0.232,0.542,0.087,0.029,0.124,0.047
"P15","Puede que lo vote",0.116,0.347,0.216,0.171,0.041,0.154
"P15","Nunca lo votaría",0.537,0.077,0.523,0.628,0.835,0.52
"P15","No sabe",0.115,0.034,0.174,0.172,0,0.279
"P16","Lo votaria",0.22,0.305,0.097,0.051,0.177,0.075
"P16","Puede que lo vote",0.172,0.375,0.312,0.133,0.237,0.149
"P16","Nunca lo votaría",0.395,0.192,0.331,0.504,0.586,0.466
"P16","No sabe",0.213,0.128,0.26,0.312,0,0.31
"P17","Lo votaria",0.531,0.059,0,0.003,0.185,0.04
"P17","Puede que lo vote",0.189,0.15,0.413,0.12,0.208,0.106
"P17","Nunca lo votaría",0.159,0.627,0.399,0.642,0.607,0.519
"P17","No sabe",0.121,0.164,0.188,0.235,0,0.335
"P18","Lo votaria",0.206,0.018,0.058,0.032,0.134,0
"P18","Puede que lo vote",0.137,0.142,0.534,0.079,0.191,0.03
"P18","Nunca lo votaría",0.435,0.595,0.219,0.697,0.628,0.578
"P18","No sabe",0.222,0.245,0.189,0.192,0.047,0.392
"P19","Lo votaria",0.111,0.118,0,0.376,0.14,0.065
"P19","Puede que lo vote",0.084,0.203,0.548,0.202,0,0.081
"P19","Nunca lo votaría",0.547,0.462,0.165,0.249,0.813,0.452
"P19","No sabe",0.258,0.217,0.287,0.173,0.047,0.402
"P20","Lo votaria",0.091,0.024,0.172,0.319,0,0.026
"P20","Puede que lo vote",0.137,0.145,0.252,0.335,0,0.079
"P20","Nunca lo votaría",0.522,0.559,0.32,0.188,0.953,0.486
"P20","No sabe",0.25,0.272,0.256,0.158,0.047,0.409
"P21","Muy buena",0.675,0.018,0,0.151,0.171,0.126
"P21","Buena",0.154,0.151,0.399,0.069,0.027,0.271
"P21","Ni buena ni mala",0.151,0.419,0.292,0.299,0.329,0.231
