"var","categoria","Positiva","Negativa","No sabe"
"P07","Inflación",0.123,0.3,0
"P07","Inseguridad",0.172,0.09,0.096
"P07","Pandemia",0.169,0.217,0
"P07","Educación",0.193,0.029,0.157
"P07","Transporte público",0.06,0,0
"P07","Desempleo",0.072,0.237,0.132
"P07","Corrupción",0.086,0.091,0
"P07","Vivienda",0.066,0.021,0
"P07","Otros",0.059,0.009,0.06
"P07","No sabe",0,0.006,0.555
"P08","Gerardo Zamora",0.582,0.534,0.347
"P08","Pablo Mirolo",0.131,0.145,0.096
"P08","Rodrigo Posse",0.004,0,0
"P08","Natalia Neme",0,0.045,0
"P08","Emilio Rached",0.095,0.008,0
"P08","Marcelo Lugones",0,0.121,0
"P08","No sabe",0.188,0.147,0.557
"P09","Gerardo Zamora",0.468,0.34,0.443
"P09","Pablo Mirolo",0.234,0.382,0
"P09","Rodrigo Posse",0,0.071,0
"P09","Natalia Neme",0,0.024,0
"P09","Emilio Rached",0,0.037,0
"P09","Marcelo Lugones",0.132,0.029,0
"P09","No sabe",0.166,0.117,0.557
"P10","A los candidatos del Frente Cívico por Santiago",0.641,0.502,0.331
"P10","A los candidatos del Frente de Todos",0.16,0.079,0
"P10","A los candidatos de Cambiemos",0.008,0.172,0
"P10","A otros candidatos",0.011,0.037,0
"P10","No sabe",0.18,0.21,0.669
"P11","Positiva",0.605,0.208,0.228
"P11","Negativa",0.247,0.75,0.497
"P11","No sabe",0.148,0.042,0.275
"P12","Positiva",0.756,0.555,0.376
"P12","Negativa",0.182,0.375,0.157
"P12","No sabe",0.062,0.07,0.467
"P14","Positiva",0.859,0.226,0.376
"P14","Negativa",0.108,0.753,0.025
"P14","No sabe",0.033,0.021,0.599
"P15","Positiva",0.669,0.372,0.377
"P15","Negativa",0.292,0.609,0.132
"P15","No sabe",0.039,0.019,0.491
"P16","Positiva",0.919,0.558,0.28
"P16","Negativa",0.053,0.416,0.132
"P16","No sabe",0.028,0.026,0.588
"P19","Positiva",0.161,0.189,0
"P19","Neutra",0.454,0.258,0.333
"P19","Negativa",0.352,0.553,0.168
"P19","No sabe",0.033,0,0.499
"P20","Positiva",0.568,0.467,0.393
"P20","Neutra",0.316,0.198,0.134
"P20","Negativa",0.107,0.335,0.473
"P20","No sabe",0.009,0,0
"P21","Positiva",0.514,0.314,0.433
"P21","Neutra",0.141,0.288,0.134
"P21","Negativa",0.331,0.398,0
"P21","No sabe",0.014,0,0.433
"P22","Positiva",0.205,0.163,0
"P22","Neutra",0.484,0.399,0.031
"P22","Negativa",0.137,0.178,0.039
"P22","No sabe",0.174,0.26,0.93
"P23","Positiva",0.409,0.359,0
"P23","Neutra",0.305,0.336,0.496
"P23","Negativa",0.156,0.283,0
"P23","No sabe",0.13,0.022,0.504
"P24","Positiva",0.256,0.265,0
"P24","Neutra",0.395,0.299,0.075
"P24","Negativa",0.118,0.197,0.421
"P24","No sabe",0.231,0.239,0.504
"P25","Positiva",0.295,0.233,0
"P25","Neutra",0.465,0.36,0.055
"P25","Negativa",0.106,0.19,0.428
"P25","No sabe",0.134,0.217,0.517
"P26","Positiva",0.739,0.539,0
"P26","Neutra",0.2,0.307,0.572
"P26","Negativa",0.041,0.087,0.069
"P26","No sabe",0.02,0.067,0.359
"P27","Positiva",0.575,0.033,0
"P27","Neutra",0.363,0.339,0.641
"P27","Negativa",0.036,0.519,0
"P27","No sabe",0.026,0.109,0.359
"P28","Positiva",0.178,0.173,0
"P28","Neutra",0.306,0.307,0.124
"P28","Negativa",0.106,0.089,0
"P28","No sabe",0.41,0.431,0.876
"P29","Positiva",0.307,0.179,0
"P29","Neutra",0.325,0.312,0.123
"P29","Negativa",0.081,0.063,0
"P29","No sabe",0.287,0.446,0.877
"P30","Positiva",0.338,0.121,0
"P30","Neutra",0.324,0.431,0.123
"P30","Negativa",0.142,0.164,0
"P30","No sabe",0.196,0.284,0.877
"P31","Positiva",0.436,0.138,0
"P31","Neutra",0.255,0.446,0.124
"P31","Negativa",0.12,0.085,0
"P31","No sabe",0.189,0.331,0.876
"P32","Positiva",0.248,0.25,0
"P32","Neutra",0.313,0.239,0.124
"P32","Negativa",0.053,0.101,0
"P32","No sabe",0.386,0.41,0.876
"P33","Positiva",0.571,0.478,0.067
"P33","Neutra",0.173,0.195,0.413
"P33","Negativa",0.142,0.286,0
"P33","No sabe",0.114,0.041,0.52
"P34","Positiva",0.821,0.745,0.356
"P34","Neutra",0.111,0.151,0.124
"P34","Negativa",0.053,0.071,0
"P34","No sabe",0.015,0.033,0.52
"P35","Positiva",0.419,0.24,0
"P35","Neutra",0.389,0.389,0.577
"P35","Negativa",0.053,0.116,0
"P35","No sabe",0.139,0.255,0.423
