"var","categoria","A Tolosa Paz por el Frente de Todos","A Santilli y Manes por Juntos","A del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazzo por ""Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P09","Porque me siento desanimado con la realidad del país",0.088,0.339,0.387,0.04,0,0.324,0.172
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.127,0.219,0.349,0.102,0,0.676,0.038
"P09","Nunca voy a votar",0.044,0.127,0.067,0,0,0,0.115
"P09","Por miedo a la pandemia",0.527,0.21,0.104,0.58,0,0,0.405
"P09","Porque las PASO no son elecciones importantes",0.214,0.105,0.093,0.278,1,0,0.27
"P16","A Segundo cernadas por Juntos",0.003,0.998,0,0.079,0,0,0.005
"P16","A Gisela Zamora por el frente de todos",0.991,0.001,0,0,0.07,0,0
"P16","A Juan José Cervetto por avanza libertad",0,0,0,0.917,0,0,0
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.006,0,1,0,0,0,0
"P16","A Matias Orfo por Vamos con vos",0,0,0,0,0.93,0,0
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0,0,0,0,0,1,0.007
"P16","En blanco o anularía",0,0.001,0,0.004,0,0,0.988
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.114,0.877,0.006,0.17,0.018,0.095,0.063
"P18","Victoria Tolosa Paz por el Frente de todos",0.73,0.059,0.202,0.021,0.079,0.097,0.024
"P18","Nicolás del Caño por el Frente de Izquierda",0.043,0.015,0.499,0.006,0,0.106,0
"P18","José Luis Espert por “Avanza Libertad”",0,0.024,0.036,0.606,0.201,0,0
"P18","Florencio Randazzo por “Vamos con vos”",0.011,0.005,0.004,0,0.61,0.081,0.067
"P18","Cynthia Hotton por “+Valores”",0.035,0,0.085,0,0.024,0.621,0.083
"P18","Ninguna en particular",0.043,0.017,0.021,0.193,0.068,0,0.42
"P18","No sabe",0.024,0.003,0.147,0.004,0,0,0.343
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.613,0.067,0.33,0.091,0.288,0.524,0.109
"P19","Victoria Tolosa Paz por el Frente de todos",0.107,0.863,0.229,0.716,0.574,0.176,0.155
"P19","Nicolás del Caño por el Frente de Izquierda",0.083,0.009,0.333,0.01,0,0.141,0.037
"P19","José Luis Espert por “Avanza Libertad”",0.055,0.023,0,0.121,0.066,0,0.094
"P19","Florencio Randazzo por “Vamos con vos”",0.004,0,0.04,0,0,0,0
"P19","Cynthia Hotton por “+Valores”",0.037,0,0,0,0,0.084,0
"P19","Ninguna en particular",0.078,0.028,0.021,0.062,0.072,0.075,0.44
"P19","No sabe",0.023,0.01,0.047,0,0,0,0.165
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.289,0.302,0.58,0.464,0.268,0.082,0.388
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.3,0.334,0.188,0.077,0.364,0.047,0.18
"P20","No alcanzan para cubrir los gastos totales de la familia",0.161,0.152,0.129,0.129,0.173,0.466,0.185
"P20","Alcanzan para cubrir los gastos totales de la familia",0.145,0.119,0.039,0.176,0.127,0,0.017
"P20","Tenemos un pequeño excedente, pero es excepcional",0.054,0.039,0.049,0.041,0,0.08,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.028,0.012,0.012,0.061,0,0.087,0.004
"P20","Tenemos un gran excedente pero es excepcional",0,0.018,0,0,0,0,0.057
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.001,0.009,0.003,0.002,0,0.098,0.027
"P20","No sabe",0.022,0.015,0,0.05,0.068,0.14,0.142
"P21","La inflación",0.292,0.245,0.159,0.179,0.587,0.227,0.203
"P21","El desempleo",0.141,0.137,0.162,0.01,0,0,0.098
"P21","La corrupción",0.173,0.491,0.324,0.496,0.209,0.563,0.487
"P21","La inseguridad",0.052,0.049,0.09,0.141,0,0.101,0.023
"P21","El precio del dólar",0.035,0.01,0.015,0.004,0,0,0
"P21","La pobreza",0.113,0.035,0.092,0.079,0.054,0,0.098
"P21","El narcotráfico",0.01,0.006,0,0.011,0,0,0.003
"P21","Las tarifas",0.08,0.004,0.018,0.08,0.068,0,0.029
"P21","Otro",0.057,0.012,0.055,0,0.082,0.109,0.059
"P21","No sabe",0.047,0.011,0.085,0,0,0,0
"P22","Muy buena",0.395,0.038,0.118,0,0,0.137,0.111
"P22","Buena",0.31,0.034,0.034,0.019,0.259,0.102,0.164
"P22","Ni buena ni mala",0.138,0.078,0.446,0.182,0,0.182,0.022
"P22","Mala",0.101,0.138,0.049,0.09,0.496,0.112,0.06
"P22","Muy mala",0.05,0.703,0.353,0.709,0.245,0.467,0.427
"P22","No sabe",0.006,0.009,0,0,0,0,0.216
"P23","Muy buena",0.462,0.026,0.131,0.023,0,0.102,0.112
"P23","Buena",0.272,0.018,0.137,0.034,0.173,0,0.199
"P23","Ni buena ni mala",0.114,0.034,0.35,0,0,0.21,0.061
"P23","Mala",0.038,0.042,0.041,0.007,0,0.109,0.047
"P23","Muy mala",0.106,0.877,0.341,0.936,0.827,0.579,0.398
"P23","No sabe",0.008,0.003,0,0,0,0,0.183
"P24","Muy buena",0.208,0.01,0.086,0,0,0.1,0.005
"P24","Buena",0.342,0.034,0.098,0,0.438,0.304,0.029
"P24","Ni buena ni mala",0.234,0.09,0.115,0.205,0,0,0.232
"P24","Mala",0.061,0.151,0.364,0.227,0.02,0.183,0.06
"P24","Muy mala",0.152,0.715,0.332,0.568,0.542,0.413,0.461
"P24","No sabe",0.003,0,0.005,0,0,0,0.213
"P25","Muy buena",0.026,0.32,0.003,0.027,0,0.086,0
"P25","Buena",0.027,0.258,0.01,0.068,0,0.021,0
"P25","Ni buena ni mala",0.109,0.251,0.085,0.168,0.242,0.196,0.321
"P25","Mala",0.196,0.093,0.146,0.455,0,0.113,0.101
"P25","Muy mala",0.607,0.077,0.756,0.251,0.758,0.584,0.495
"P25","No sabe",0.035,0.001,0,0.031,0,0,0.083
"P26","Muy buena",0.062,0.444,0.08,0.044,0,0.108,0.061
"P26","Buena",0.06,0.354,0.086,0.223,0.239,0,0.025
"P26","Ni buena ni mala",0.19,0.13,0.106,0.193,0.391,0.184,0.299
"P26","Mala",0.203,0.043,0.127,0.156,0.181,0.188,0.141
"P26","Muy mala",0.45,0.024,0.601,0.384,0.189,0.375,0.232
"P26","No sabe",0.035,0.005,0,0,0,0.145,0.242
"P27","Muy buena",0.17,0.041,0.134,0,0,0.122,0
"P27","Buena",0.224,0.047,0.088,0.074,0.251,0.37,0.05
"P27","Ni buena ni mala",0.285,0.156,0.334,0.317,0.412,0,0.313
"P27","Mala",0.05,0.121,0.038,0.081,0.097,0,0.242
"P27","Muy mala",0.217,0.598,0.357,0.499,0.24,0.395,0.164
"P27","No sabe",0.054,0.037,0.049,0.029,0,0.113,0.231
