"var","categoria","A Segundo cernadas por Juntos","A Gisela Zamora por el frente de todos","A Juan José Cervetto por avanza libertad","A Paula Yamila Akerfeld por el Frente de Izquierda","A Matias Orfo por Vamos con vos","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco","En blanco o anularía"
"P09","Porque me siento desanimado con la realidad del país",0.339,0.088,0.04,0.382,0,0.324,0.172
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.219,0.128,0.102,0.344,0,0.676,0.038
"P09","Nunca voy a votar",0.127,0.044,0,0.066,0,0,0.115
"P09","Por miedo a la pandemia",0.21,0.525,0.58,0.117,0,0,0.405
"P09","Porque las PASO no son elecciones importantes",0.105,0.215,0.278,0.091,1,0,0.27
"P14","A Tolosa Paz por el Frente de Todos",0.003,0.99,0,0.025,0,0,0
"P14","A Santilli y Manes por Juntos",0.982,0.002,0,0,0,0,0.003
"P14","A del Caño por el Frente de Izquierda",0,0,0,0.975,0,0,0
"P14","A Espert por Avanza libertad",0.014,0,1,0,0,0,0.003
"P14","A Randazzo por ""Vamos con vos""",0,0.008,0,0,1,0,0
"P14","A Hotton por “+Valores”",0,0,0,0,0,0.943,0
"P14","Votaría en blanco o anularía",0.001,0,0,0,0,0.057,0.994
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.858,0.116,0.189,0.006,0.02,0.09,0.063
"P18","Victoria Tolosa Paz por el Frente de todos",0.061,0.72,0.023,0.222,0.085,0.144,0.018
"P18","Nicolás del Caño por el Frente de Izquierda",0.014,0.043,0.007,0.486,0,0.101,0
"P18","José Luis Espert por “Avanza Libertad”",0.042,0,0.566,0.035,0.216,0,0
"P18","Florencio Randazzo por “Vamos con vos”",0.005,0.011,0,0.005,0.654,0.077,0.067
"P18","Cynthia Hotton por “+Valores”",0,0.035,0,0.083,0.025,0.588,0.083
"P18","Ninguna en particular",0.017,0.051,0.215,0.02,0,0,0.422
"P18","No sabe",0.003,0.024,0,0.143,0,0,0.347
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.064,0.608,0.101,0.347,0.31,0.549,0.106
"P19","Victoria Tolosa Paz por el Frente de todos",0.864,0.107,0.684,0.223,0.618,0.167,0.159
"P19","Nicolás del Caño por el Frente de Izquierda",0.009,0.083,0.011,0.324,0,0.133,0.037
