"var","categoria","La inflación","El desempleo","La corrupción","La inseguridad","El precio del dólar","La pobreza","El narcotráfico","Las tarifas","Otro","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.171,0.245,0.457,0,0,0.145,0,0,0,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.174,0.134,0.051,0.068,0.302,0.312,0.226,0.694,0,0
"P09","Nunca voy a votar",0.045,0.379,0.033,0,0,0,0,0,0,0
"P09","Por miedo a la pandemia",0.299,0.216,0.245,0.932,0.349,0,0.774,0,0.399,1
"P09","Porque las PASO no son elecciones importantes",0.311,0.026,0.214,0,0.349,0.543,0,0.306,0.601,0
"P14","A Tolosa Paz por el Frente de Todos",0.371,0.384,0.154,0.303,0.697,0.495,0.491,0.653,0.5,0.599
"P14","A Santilli y Manes por Juntos",0.364,0.435,0.511,0.334,0.223,0.182,0.331,0.034,0.125,0.169
"P14","A del Caño por el Frente de Izquierda",0.043,0.093,0.061,0.11,0.063,0.086,0,0.032,0.101,0.232
"P14","A Espert por Avanza libertad",0.052,0.006,0.102,0.189,0.017,0.08,0.13,0.151,0,0
"P14","A Randazzo por ""Vamos con vos""",0.08,0,0.02,0,0,0.025,0,0.059,0.077,0
"P14","A Hotton por “+Valores”",0.011,0,0.019,0.023,0,0,0,0,0.037,0
"P14","Votaría en blanco o anularía",0.079,0.082,0.133,0.041,0,0.132,0.048,0.071,0.16,0
"P16","A Segundo cernadas por Juntos",0.362,0.446,0.532,0.334,0.223,0.182,0.331,0.034,0.125,0.169
"P16","A Gisela Zamora por el frente de todos",0.369,0.372,0.154,0.303,0.697,0.483,0.491,0.653,0.577,0.599
"P16","A Juan José Cervetto por avanza libertad",0.051,0.007,0.08,0.189,0.017,0.08,0.13,0.151,0,0
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.047,0.093,0.061,0.11,0.063,0.098,0,0.032,0.101,0.232
"P16","A Matias Orfo por Vamos con vos",0.08,0,0.02,0,0,0.025,0,0.059,0,0
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.014,0,0.02,0.023,0,0,0,0,0.037,0
"P16","En blanco o anularía",0.077,0.082,0.133,0.041,0,0.132,0.048,0.071,0.16,0
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.373,0.471,0.526,0.327,0.342,0.24,0.331,0.161,0.125,0.169
"P18","Victoria Tolosa Paz por el Frente de todos",0.339,0.279,0.122,0.435,0.595,0.432,0.621,0.496,0.403,0.292
"P18","Nicolás del Caño por el Frente de Izquierda",0.018,0.105,0.047,0,0,0.097,0,0,0.139,0.458
"P18","José Luis Espert por “Avanza Libertad”",0.049,0.002,0.109,0.058,0,0.042,0,0.151,0,0
"P18","Florencio Randazzo por “Vamos con vos”",0.064,0.016,0.035,0,0,0.025,0,0.068,0,0
"P18","Cynthia Hotton por “+Valores”",0.035,0,0.041,0,0.014,0,0,0,0,0
"P18","Ninguna en particular",0.041,0.093,0.092,0.174,0.049,0.005,0.048,0.071,0.333,0
"P18","No sabe",0.081,0.034,0.028,0.006,0,0.159,0,0.053,0,0.081
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.381,0.288,0.148,0.381,0.819,0.461,0.621,0.308,0.33,0.233
"P19","Victoria Tolosa Paz por el Frente de todos",0.418,0.514,0.622,0.399,0.097,0.242,0.156,0.419,0.19,0.169
"P19","Nicolás del Caño por el Frente de Izquierda",0.056,0.017,0.087,0,0,0.005,0,0.143,0.032,0.232
"P19","José Luis Espert por “Avanza Libertad”",0.019,0.008,0.026,0.175,0.05,0.15,0,0.059,0.011,0.024
"P19","Florencio Randazzo por “Vamos con vos”",0,0.011,0.002,0,0,0,0,0,0.069,0
"P19","Cynthia Hotton por “+Valores”",0.007,0,0.003,0,0,0.039,0,0,0,0.307
"P19","Ninguna en particular",0.067,0.105,0.1,0.026,0.034,0.077,0.223,0,0.345,0.035
"P19","No sabe",0.052,0.057,0.012,0.019,0,0.026,0,0.071,0.023,0
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.394,0.283,0.439,0.159,0.258,0.191,0.4,0.025,0.131,0.134
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.21,0.417,0.284,0.082,0.02,0.277,0.428,0.505,0.174,0.126
"P20","No alcanzan para cubrir los gastos totales de la familia",0.202,0.119,0.144,0.356,0.207,0.114,0.049,0.173,0.03,0.024
"P20","Alcanzan para cubrir los gastos totales de la familia",0.111,0.074,0.051,0.36,0.191,0.123,0.123,0.009,0.368,0.53
"P20","Tenemos un pequeño excedente, pero es excepcional",0.036,0.034,0.034,0.015,0.26,0,0,0.135,0.017,0.186
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.033,0.008,0.013,0.006,0.05,0.047,0,0.023,0.031,0
"P20","Tenemos un gran excedente pero es excepcional",0,0,0.023,0,0,0.071,0,0,0,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.003,0.032,0,0,0.014,0.003,0,0.071,0.046,0
"P20","No sabe",0.011,0.033,0.012,0.022,0,0.174,0,0.059,0.203,0
"P22","Muy buena",0.236,0.181,0.015,0.274,0.509,0.313,0.242,0.28,0.326,0.203
"P22","Buena",0.184,0.102,0.077,0.058,0.201,0.208,0.248,0.327,0.125,0.614
"P22","Ni buena ni mala",0.074,0.192,0.147,0.035,0.123,0.155,0,0.148,0.194,0
"P22","Mala",0.131,0.072,0.127,0.11,0.015,0.196,0.286,0.069,0.041,0.183
"P22","Muy mala",0.359,0.374,0.621,0.517,0.152,0.117,0.224,0.176,0.154,0
"P22","No sabe",0.016,0.079,0.013,0.006,0,0.011,0,0,0.16,0
"P23","Muy buena",0.297,0.151,0.04,0.324,0.53,0.294,0.252,0.162,0.179,0.477
"P23","Buena",0.112,0.11,0.077,0.021,0.05,0.259,0.123,0.514,0.322,0.34
