"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.108,0.36,0.232,0,0,0,0.327,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.148,0.183,0.574,0,1,0,0.223,0.678
"P09","Nunca voy a votar",0.024,0.119,0,0,0,0,0.128,0
"P09","Por miedo a la pandemia",0.353,0.18,0.194,0.978,0,0,0.246,0.322
"P09","Porque las PASO no son elecciones importantes",0.367,0.158,0,0.022,0,0,0.076,0
"P14","A Tolosa Paz por el Frente de Todos",0.697,0.069,0.446,0.362,0.309,0.916,0.277,0.241
"P14","A Santilli y Manes por Juntos",0.096,0.706,0.059,0.196,0,0,0.124,0.125
"P14","A del Caño por el Frente de Izquierda",0.082,0.033,0.389,0,0.691,0,0.016,0.105
"P14","A Espert por Avanza libertad",0.025,0.113,0.014,0.196,0,0,0.054,0
"P14","A Randazzo por ""Vamos con vos""",0.037,0.042,0,0.05,0,0,0.029,0
"P14","A Hotton por “+Valores”",0.024,0.005,0.03,0,0,0.084,0.011,0
"P14","Votaría en blanco o anularía",0.039,0.032,0.062,0.196,0,0,0.489,0.529
"P16","A Segundo cernadas por Juntos",0.093,0.721,0.059,0.196,0,0,0.129,0.164
"P16","A Gisela Zamora por el frente de todos",0.692,0.069,0.446,0.362,0.309,0.916,0.306,0.202
"P16","A Juan José Cervetto por avanza libertad",0.025,0.098,0.014,0.196,0,0,0.054,0
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.088,0.033,0.389,0,0.691,0,0.016,0.105
"P16","A Matias Orfo por Vamos con vos",0.037,0.042,0,0.05,0,0,0,0
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.027,0.005,0.03,0,0,0.084,0.011,0
"P16","En blanco o anularía",0.038,0.032,0.062,0.196,0,0,0.484,0.529
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.145,0.698,0.122,0.082,0,0,0.127,0.183
"P18","Victoria Tolosa Paz por el Frente de todos",0.69,0.077,0.367,0.113,0.166,0.14,0.149,0.091
"P18","Nicolás del Caño por el Frente de Izquierda",0.056,0.024,0.269,0,0.525,0.776,0.004,0
"P18","José Luis Espert por “Avanza Libertad”",0.019,0.117,0.006,0.044,0,0,0.015,0
"P18","Florencio Randazzo por “Vamos con vos”",0.04,0.044,0,0.05,0,0.084,0,0
"P18","Cynthia Hotton por “+Valores”",0.045,0.007,0.144,0.192,0,0,0.002,0
"P18","Ninguna en particular",0.005,0.008,0.012,0.323,0.309,0,0.606,0.133
"P18","No sabe",0,0.025,0.08,0.196,0,0,0.097,0.593
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.309,0.333,0.438,0.219,0.707,0.185,0.381,0.401
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.258,0.323,0.399,0.049,0,0.199,0.179,0.082
"P20","No alcanzan para cubrir los gastos totales de la familia",0.199,0.153,0.033,0.081,0,0,0.166,0.325
"P20","Alcanzan para cubrir los gastos totales de la familia",0.127,0.102,0.032,0.304,0,0.588,0.078,0.028
"P20","Tenemos un pequeño excedente, pero es excepcional",0.047,0.032,0.078,0.031,0.293,0,0.021,0.063
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.032,0.019,0.02,0.01,0,0.028,0.005,0
"P20","Tenemos un gran excedente pero es excepcional",0,0.006,0,0,0,0,0.115,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.005,0.007,0,0,0,0,0.009,0.091
"P20","No sabe",0.023,0.025,0,0.306,0,0,0.046,0.01
"P21","La inflación",0.337,0.229,0.235,0.121,0,0.124,0.193,0.427
