"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P12","Gran excedente habitual",0.006,0.041,0.008,0.024,0
"P12","Gran excedente excepcional",0,0,0.001,0.025,0
"P12","Pequeño excedente habitual",0.017,0.023,0.049,0.117,0.046
"P12","Pequeño excedente excepcional",0.027,0.042,0.057,0.1,0.075
"P12","Alcanza gastos familia",0.084,0.115,0.195,0.232,0.054
"P12","No alcanza gastos familia",0.099,0.055,0.141,0.065,0.172
"P12","Solo NBFamiliares",0.244,0.311,0.314,0.277,0.174
"P12","No alcanza NBFamiliares",0.519,0.413,0.226,0.145,0.407
"P12","No sabe",0.004,0,0.009,0.015,0.072
"P13","Empleado sector publico",0.31,0.22,0.22,0.149,0.173
"P13","Empleado sector privado",0.156,0.274,0.226,0.277,0.102
"P13","Changas o trabajos eventuales",0.228,0.2,0.134,0.175,0.277
"P13","Estudiante",0.043,0.031,0.024,0.048,0.018
"P13","Amas de casa",0.067,0.056,0.074,0.072,0.219
"P13","Profesional o independiente",0.086,0.074,0.161,0.129,0.004
"P13","Comerciante, emprendedor o empresario",0.016,0.045,0.07,0.074,0.027
"P13","Trabajador informal",0.026,0.04,0.016,0.041,0.02
"P13","No tengo trabajo",0.068,0.06,0.075,0.035,0.16
"P14","Muy buena",0.123,0.13,0.037,0.041,0.118
"P14","Buena",0.184,0.267,0.116,0.05,0.142
"P14","Ni buena ni mala",0.369,0.379,0.369,0.202,0.462
"P14","Mala",0.2,0.171,0.306,0.316,0.169
"P14","Muy mala",0.113,0.046,0.162,0.384,0.105
"P14","No sabe",0.011,0.007,0.01,0.007,0.004
"P15","Muy buena",0.062,0.111,0.365,0.674,0.036
"P15","Buena",0.029,0.176,0.292,0.194,0.197
"P15","Ni buena ni mala",0.087,0.227,0.216,0.055,0.368
"P15","Mala",0.214,0.176,0.083,0.036,0.224
"P15","Muy mala",0.603,0.3,0.041,0.039,0.108
"P15","No sabe",0.005,0.01,0.003,0.002,0.067
"P20","Muy buena",0.117,0.134,0.096,0.037,0.086
"P20","Buena",0.228,0.269,0.118,0.09,0.298
"P20","Ni buena ni mala",0.329,0.353,0.372,0.223,0.337
"P20","Mala",0.207,0.18,0.301,0.321,0.219
"P20","Muy mala",0.102,0.044,0.104,0.318,0.029
"P20","No sabe",0.017,0.02,0.009,0.011,0.031
"P21","Gobierno nacional",0.607,0.472,0.059,0.032,0.195
"P21","Gobierno provincial",0.27,0.344,0.749,0.87,0.418
"P21","No sabe",0.123,0.184,0.192,0.098,0.387
"P22","El anterior gobierno de Anabela Carreras",0.326,0.432,0.376,0.391,0.557
"P22","El actual gobierno de Alberto Weretilneck",0.542,0.406,0.548,0.537,0.299
"P22","No sabe",0.132,0.162,0.076,0.072,0.144
"P23","El anterior gobierno de Alberto Fernández",0.163,0.343,0.537,0.676,0.245
"P23","El actual gobierno de Javier Milei",0.755,0.576,0.27,0.324,0.458
"P23","No sabe",0.082,0.081,0.193,0,0.297
"P24","Si",0.292,0.342,0.491,0.468,0.235
"P24","No",0.526,0.43,0.305,0.313,0.322
"P24","No sabe",0.182,0.228,0.204,0.219,0.443
"P25","Si",0.322,0.249,0.185,0.129,0.16
"P25","No",0.343,0.435,0.545,0.684,0.425
"P25","No sabe",0.335,0.316,0.27,0.187,0.415
"P26","Si",0.918,0.802,0.74,0.819,0.687
"P26","No",0.082,0.198,0.26,0.181,0.313
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.836,0.604,0.177,0.079,0.453
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.128,0.183,0.127,0.056,0.271
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.024,0.133,0.468,0.293,0.097
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.002,0.044,0.145,0.332,0.066
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.009,0.031,0.063,0.238,0.034
"P27","No sabe",0.001,0.005,0.02,0.002,0.079
"P28","1-Excelente",0.166,0.13,0.157,0.156,0.176
"P28","2",0.099,0.147,0.092,0.078,0.128
"P28","3",0.083,0.038,0.046,0.056,0.046
"P28","4",0.052,0.087,0.069,0.022,0.074
"P28","5",0.201,0.252,0.194,0.168,0.19
"P28","6",0.088,0.072,0.047,0.022,0.052
"P28","7",0.071,0.065,0.062,0.046,0.01
"P28","8",0.05,0.026,0.081,0.078,0.117
"P28","9-Pésimo",0.145,0.135,0.204,0.301,0.151
"P28","No sabe",0.045,0.048,0.048,0.073,0.056
"P29","1-Excelente",0.159,0.116,0.158,0.144,0.164
"P29","2",0.092,0.198,0.11,0.121,0.106
"P29","3",0.098,0.09,0.057,0.056,0.159
"P29","4",0.061,0.084,0.066,0.033,0.034
