"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P12","Gran excedente habitual",0.036,0.033,0.028,0.032,0.004,0.003,0,0.002,0.019,0
"P12","Gran excedente excepcional",0.006,0,0,0,0.011,0.003,0.013,0.01,0.001,0.005
"P12","Pequeño excedente habitual",0.041,0.017,0.029,0.01,0.059,0.028,0.018,0.081,0.042,0.041
"P12","Pequeño excedente excepcional",0.073,0.053,0.042,0.052,0.028,0.058,0.089,0.082,0.036,0.043
"P12","Alcanza gastos familia",0.107,0.099,0.135,0.115,0.189,0.127,0.091,0.166,0.16,0.085
"P12","No alcanza gastos familia",0.127,0.065,0.048,0.165,0.087,0.096,0.086,0.075,0.085,0.199
"P12","Solo NBFamiliares",0.163,0.252,0.33,0.353,0.293,0.354,0.374,0.297,0.301,0.258
"P12","No alcanza NBFamiliares",0.428,0.479,0.385,0.273,0.321,0.331,0.323,0.274,0.341,0.369
"P12","No sabe",0.019,0.002,0.003,0,0.008,0,0.006,0.013,0.015,0
"P13","Empleado sector publico",0.279,0.202,0.195,0.268,0.249,0.331,0.157,0.224,0.208,0.208
"P13","Empleado sector privado",0.171,0.229,0.284,0.191,0.197,0.226,0.285,0.24,0.169,0.21
"P13","Changas o trabajos eventuales",0.224,0.228,0.148,0.201,0.157,0.17,0.185,0.131,0.256,0.22
"P13","Estudiante",0.035,0.023,0.061,0.052,0.046,0.036,0.038,0.084,0.028,0.009
"P13","Amas de casa",0.118,0.075,0.103,0.048,0.063,0.045,0.034,0.081,0.066,0.09
"P13","Profesional o independiente",0.047,0.08,0.097,0.088,0.144,0.077,0.162,0.114,0.139,0.049
"P13","Comerciante, emprendedor o empresario",0.041,0.047,0.026,0.047,0.068,0.054,0.051,0.028,0.041,0.008
"P13","Trabajador informal",0.031,0.025,0.011,0.049,0.018,0.017,0.066,0.006,0.036,0.037
"P13","No tengo trabajo",0.054,0.091,0.075,0.056,0.058,0.044,0.022,0.092,0.057,0.169
"P14","Muy buena",0.199,0.165,0.096,0.1,0.049,0.079,0.082,0.061,0.047,0.095
"P14","Buena",0.119,0.223,0.191,0.222,0.171,0.2,0.178,0.188,0.073,0.19
"P14","Ni buena ni mala",0.306,0.313,0.35,0.402,0.47,0.463,0.391,0.19,0.266,0.367
"P14","Mala",0.238,0.202,0.264,0.218,0.212,0.119,0.237,0.348,0.253,0.207
"P14","Muy mala",0.135,0.096,0.082,0.057,0.078,0.123,0.107,0.2,0.355,0.13
"P14","No sabe",0.003,0.001,0.017,0.001,0.02,0.016,0.005,0.013,0.006,0.011
"P15","Muy buena",0.341,0.153,0.163,0.163,0.184,0.145,0.164,0.258,0.346,0.218
"P15","Buena",0.127,0.301,0.214,0.177,0.189,0.151,0.139,0.16,0.107,0.184
"P15","Ni buena ni mala",0.235,0.104,0.104,0.288,0.148,0.114,0.145,0.082,0.165,0.166
"P15","Mala",0.167,0.149,0.136,0.133,0.108,0.166,0.258,0.155,0.134,0.169
"P15","Muy mala",0.129,0.289,0.377,0.231,0.361,0.424,0.28,0.328,0.236,0.263
"P15","No sabe",0.001,0.004,0.006,0.008,0.01,0,0.014,0.017,0.012,0
"P20","Muy buena",0.179,0.127,0.072,0.091,0.085,0.069,0.109,0.093,0.083,0.142
"P20","Buena",0.162,0.256,0.229,0.291,0.256,0.293,0.211,0.114,0.101,0.154
"P20","Ni buena ni mala",0.272,0.316,0.345,0.38,0.393,0.407,0.3,0.232,0.28,0.385
"P20","Mala",0.25,0.209,0.266,0.199,0.169,0.145,0.297,0.371,0.276,0.186
"P20","Muy mala",0.134,0.075,0.081,0.03,0.079,0.039,0.083,0.173,0.245,0.11
"P20","No sabe",0.003,0.017,0.007,0.009,0.018,0.047,0,0.017,0.015,0.023
"P21","Gobierno nacional",0.305,0.397,0.363,0.343,0.34,0.481,0.342,0.377,0.202,0.315
"P21","Gobierno provincial",0.508,0.453,0.433,0.447,0.466,0.388,0.535,0.471,0.633,0.452
"P21","No sabe",0.187,0.15,0.204,0.21,0.194,0.131,0.123,0.152,0.165,0.233
"P22","El anterior gobierno de Anabela Carreras",0.373,0.292,0.526,0.284,0.478,0.609,0.36,0.405,0.277,0.23
"P22","El actual gobierno de Alberto Weretilneck",0.498,0.572,0.361,0.6,0.357,0.275,0.502,0.507,0.644,0.425
"P22","No sabe",0.129,0.136,0.113,0.116,0.165,0.116,0.138,0.088,0.079,0.345
"P23","El anterior gobierno de Alberto Fernández",0.309,0.382,0.249,0.35,0.118,0.357,0.04,0.395,0.366,0.214
"P23","El actual gobierno de Javier Milei",0.551,0.614,0.685,0.604,0.718,0.63,0.939,0.542,0.488,0.645
"P23","No sabe",0.14,0.004,0.066,0.046,0.164,0.013,0.021,0.063,0.146,0.141
"P24","Si",0.416,0.324,0.362,0.416,0.356,0.381,0.407,0.436,0.377,0.317
"P24","No",0.366,0.484,0.317,0.365,0.454,0.414,0.387,0.396,0.396,0.379
"P24","No sabe",0.218,0.192,0.321,0.219,0.19,0.205,0.206,0.168,0.227,0.304
"P25","Si",0.254,0.207,0.179,0.314,0.262,0.342,0.22,0.237,0.206,0.149
"P25","No",0.444,0.572,0.467,0.382,0.365,0.382,0.378,0.513,0.623,0.421
"P25","No sabe",0.302,0.221,0.354,0.304,0.373,0.276,0.402,0.25,0.171,0.43
"P26","Si",0.783,0.774,0.867,0.814,0.858,0.881,0.876,0.822,0.805,0.743
"P26","No",0.217,0.226,0.133,0.186,0.142,0.119,0.124,0.178,0.195,0.257
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.49,0.529,0.608,0.522,0.491,0.516,0.506,0.414,0.389,0.472
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.176,0.168,0.139,0.074,0.141,0.174,0.134,0.153,0.128,0.226
