"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.128,0.131,0.124,0.167,0.093,0.152,0.146,0.191,0.116,0.093,0.091,0.29,0.029,0.074,0.164,0.197,0.076,0.09,6
"Buena",0.159,0.167,0.152,0.112,0.13,0.197,0.219,0.152,0.157,0.167,0.135,0.3,0.064,0.095,0.231,0.162,0.141,0.174,6
"Ni buena ni mala",0.353,0.329,0.379,0.223,0.41,0.356,0.322,0.357,0.381,0.315,0.372,0.261,0.42,0.319,0.371,0.313,0.374,0.384,6
"Mala",0.175,0.189,0.16,0.181,0.191,0.145,0.174,0.145,0.178,0.194,0.208,0.086,0.248,0.251,0.103,0.186,0.171,0.165,6
"Muy mala",0.126,0.133,0.118,0.183,0.144,0.088,0.084,0.095,0.115,0.164,0.12,0.053,0.217,0.193,0.086,0.108,0.165,0.11,6
"No sabe",0.059,0.051,0.067,0.134,0.032,0.062,0.055,0.06,0.053,0.067,0.074,0.01,0.022,0.068,0.045,0.034,0.073,0.077,6
"Positiva",0.287,0.298,0.276,0.279,0.223,0.349,0.365,0.343,0.273,0.26,0.226,0.59,0.093,0.169,0.395,0.359,0.217,0.264,4
"Neutra",0.353,0.329,0.379,0.223,0.41,0.356,0.322,0.357,0.381,0.315,0.372,0.261,0.42,0.319,0.371,0.313,0.374,0.384,4
"Negativa",0.301,0.322,0.278,0.364,0.335,0.233,0.258,0.24,0.293,0.358,0.328,0.139,0.465,0.444,0.189,0.294,0.336,0.275,4
"No sabe",0.059,0.051,0.067,0.134,0.032,0.062,0.055,0.06,0.053,0.067,0.074,0.01,0.022,0.068,0.045,0.034,0.073,0.077,4
