"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P13","Empleado sector publico",0.358,0.065,0.139,0.112,0.203,0.183,0.229,0.282,0.091
"P13","Empleado sector privado",0.251,0.161,0.327,0.137,0.239,0.166,0.291,0.13,0.049
"P13","Changas o trabajos eventuales",0.018,0.228,0.026,0.172,0.075,0.225,0.178,0.326,0.11
"P13","Estudiante",0,0,0.017,0.08,0.159,0.02,0.008,0.013,0.059
"P13","Amas de casa",0.105,0,0.072,0.191,0.061,0.124,0.084,0.068,0.251
"P13","Profesional o independiente",0.088,0.2,0.23,0.189,0.158,0.087,0.096,0.046,0.105
"P13","Comerciante, emprendedor o empresario",0.056,0.346,0.149,0.086,0.066,0.04,0.033,0.018,0
"P13","Trabajador informal",0.092,0,0.023,0.004,0.005,0.028,0.034,0.022,0.164
"P13","No tengo trabajo",0.032,0,0.017,0.029,0.034,0.127,0.047,0.095,0.171
"P14","Muy buena",0.265,0.11,0.041,0.053,0.078,0.076,0.081,0.171,0.108
"P14","Buena",0.137,0.031,0.129,0.152,0.13,0.12,0.182,0.152,0.023
"P14","Ni buena ni mala",0.092,0.393,0.207,0.305,0.287,0.42,0.353,0.341,0.444
"P14","Mala",0.173,0.402,0.375,0.281,0.324,0.242,0.231,0.189,0.217
"P14","Muy mala",0.309,0.064,0.24,0.207,0.166,0.1,0.142,0.133,0.028
"P14","No sabe",0.024,0,0.008,0.002,0.015,0.042,0.011,0.014,0.18
"P15","Muy buena",0.516,0.755,0.501,0.345,0.364,0.223,0.218,0.164,0.232
"P15","Buena",0.122,0.022,0.22,0.3,0.225,0.157,0.209,0.12,0.115
"P15","Ni buena ni mala",0.157,0.082,0.11,0.111,0.111,0.17,0.184,0.177,0.123
"P15","Mala",0.026,0,0.032,0.044,0.116,0.188,0.14,0.199,0.176
"P15","Muy mala",0.14,0.141,0.133,0.198,0.181,0.243,0.235,0.328,0.052
"P15","No sabe",0.039,0,0.004,0.002,0.003,0.019,0.014,0.012,0.302
"P20","Muy buena",0.194,0.126,0.058,0.113,0.085,0.077,0.088,0.179,0.101
"P20","Buena",0.13,0.163,0.138,0.166,0.173,0.156,0.217,0.204,0.044
"P20","Ni buena ni mala",0.115,0.262,0.316,0.197,0.276,0.363,0.338,0.298,0.653
"P20","Mala",0.273,0.245,0.324,0.278,0.32,0.237,0.241,0.188,0.06
"P20","Muy mala",0.288,0.204,0.141,0.213,0.142,0.108,0.102,0.114,0.012
"P20","No sabe",0,0,0.023,0.033,0.004,0.059,0.014,0.017,0.13
"P21","Gobierno nacional",0.405,0,0.124,0.19,0.185,0.263,0.272,0.47,0.078
"P21","Gobierno provincial",0.542,0.904,0.786,0.686,0.672,0.459,0.532,0.325,0.335
"P21","No sabe",0.053,0.096,0.09,0.124,0.143,0.278,0.196,0.205,0.587
"P22","El anterior gobierno de Anabela Carreras",0.092,0.406,0.369,0.343,0.406,0.31,0.365,0.371,0.516
"P22","El actual gobierno de Alberto Weretilneck",0.89,0.466,0.494,0.523,0.477,0.504,0.518,0.505,0.424
"P22","No sabe",0.018,0.128,0.137,0.134,0.117,0.186,0.117,0.124,0.06
"P23","El anterior gobierno de Alberto Fernández",0.253,0,0.523,0.519,0.31,0.387,0.272,0.295,0.571
"P23","El actual gobierno de Javier Milei",0.747,0,0.399,0.479,0.564,0.526,0.68,0.616,0.429
"P23","No sabe",0,0,0.078,0.002,0.126,0.087,0.048,0.089,0
"P24","Si",0.42,0.584,0.459,0.404,0.428,0.334,0.366,0.349,0.358
"P24","No",0.406,0.182,0.305,0.344,0.346,0.365,0.394,0.423,0.019
"P24","No sabe",0.174,0.234,0.236,0.252,0.226,0.301,0.24,0.228,0.623
"P25","Si",0.143,0.303,0.177,0.182,0.2,0.252,0.195,0.287,0.119
"P25","No",0.673,0.446,0.474,0.532,0.538,0.379,0.488,0.415,0.227
"P25","No sabe",0.184,0.251,0.349,0.286,0.262,0.369,0.317,0.298,0.654
"P26","Si",0.589,0.925,0.801,0.789,0.824,0.74,0.801,0.813,0.259
"P26","No",0.411,0.075,0.199,0.211,0.176,0.26,0.199,0.187,0.741
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.294,0.454,0.251,0.272,0.365,0.377,0.444,0.625,0.096
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.265,0,0.059,0.165,0.092,0.226,0.174,0.158,0.088
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.078,0.247,0.352,0.337,0.33,0.249,0.209,0.109,0.293
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.05,0.056,0.2,0.091,0.153,0.077,0.097,0.056,0.084
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.313,0.243,0.127,0.104,0.056,0.06,0.071,0.045,0
"P27","No sabe",0,0,0.011,0.031,0.004,0.011,0.005,0.007,0.439
"P28","1-Excelente",0.33,0.2,0.141,0.205,0.096,0.253,0.138,0.203,0.299
"P28","2",0.151,0,0.066,0.108,0.097,0.099,0.119,0.114,0
"P28","3",0.007,0,0.116,0.042,0.063,0.027,0.066,0.052,0
"P28","4",0,0,0.03,0.071,0.065,0.063,0.053,0.059,0
"P28","5",0.319,0.244,0.214,0.113,0.221,0.167,0.191,0.173,0.474
"P28","6",0,0,0.074,0.033,0.054,0.047,0.072,0.065,0.01
"P28","7",0.023,0.165,0.013,0.111,0.031,0.07,0.08,0.036,0
"P28","8",0.131,0.171,0.088,0.042,0.11,0.038,0.039,0.048,0.02
"P28","9-Pésimo",0.028,0.046,0.18,0.117,0.205,0.16,0.195,0.178,0.186
"P28","No sabe",0.011,0.174,0.078,0.158,0.058,0.076,0.047,0.072,0.011
"P29","1-Excelente",0.302,0.202,0.125,0.221,0.11,0.256,0.112,0.18,0.071
"P29","2",0.19,0,0.046,0.146,0.106,0.085,0.136,0.14,0.274
"P29","3",0.13,0,0.126,0.069,0.071,0.027,0.094,0.09,0.027
"P29","4",0,0,0.041,0.076,0.106,0.067,0.051,0.041,0
"P29","5",0.293,0.236,0.176,0.077,0.168,0.14,0.158,0.103,0.021
"P29","6",0,0,0.095,0.031,0.049,0.057,0.053,0.058,0.014
"P29","7",0,0.134,0.018,0.043,0.023,0.047,0.057,0.06,0.03
"P29","8",0.052,0.215,0.067,0.119,0.086,0.038,0.065,0.039,0.19
"P29","9-Pésimo",0.021,0.147,0.248,0.157,0.25,0.171,0.227,0.228,0.359
"P29","No sabe",0.012,0.066,0.058,0.061,0.031,0.112,0.047,0.061,0.014
"P30","1-Excelente",0.3,0.202,0.169,0.218,0.125,0.2,0.09,0.186,0.348
"P30","2",0.181,0,0.046,0.104,0.076,0.067,0.09,0.136,0.021
"P30","3",0.136,0,0.068,0.071,0.091,0.043,0.104,0.096,0.027
"P30","4",0.129,0,0.02,0.073,0.064,0.124,0.092,0.056,0
"P30","5",0.025,0.305,0.193,0.066,0.177,0.111,0.129,0.112,0.116
"P30","6",0.011,0.048,0.047,0.074,0.063,0.064,0.082,0.061,0
"P30","7",0,0.164,0.027,0.098,0.039,0.05,0.075,0.051,0.039
"P30","8",0.008,0.17,0.151,0.112,0.089,0.054,0.074,0.054,0.109
"P30","9-Pésimo",0.21,0.045,0.216,0.136,0.239,0.17,0.211,0.188,0.34
