"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P12","Gran excedente habitual",0.015,0.027,0.007,0.022,0
"P12","Gran excedente excepcional",0,0,0,0.023,0
"P12","Pequeño excedente habitual",0.016,0.02,0.079,0.099,0.049
"P12","Pequeño excedente excepcional",0.034,0.033,0.068,0.093,0.05
"P12","Alcanza gastos familia",0.088,0.144,0.178,0.252,0.088
"P12","No alcanza gastos familia",0.09,0.096,0.127,0.094,0.167
"P12","Solo NBFamiliares",0.253,0.345,0.291,0.287,0.219
"P12","No alcanza NBFamiliares",0.503,0.33,0.228,0.13,0.342
"P12","No sabe",0.001,0.005,0.022,0,0.085
"P13","Empleado sector publico",0.3,0.185,0.171,0.172,0.246
"P13","Empleado sector privado",0.168,0.265,0.245,0.274,0.156
"P13","Changas o trabajos eventuales",0.221,0.196,0.145,0.175,0.144
"P13","Estudiante",0.039,0.035,0.041,0.041,0.019
"P13","Amas de casa",0.057,0.079,0.068,0.083,0.228
"P13","Profesional o independiente",0.091,0.093,0.151,0.128,0.029
"P13","Comerciante, emprendedor o empresario",0.023,0.058,0.077,0.069,0.014
"P13","Trabajador informal",0.034,0.027,0.019,0.028,0
"P13","No tengo trabajo",0.067,0.062,0.083,0.03,0.164
"P14","Muy buena",0.133,0.077,0.038,0.029,0.136
"P14","Buena",0.203,0.199,0.109,0.064,0.154
"P14","Ni buena ni mala",0.375,0.391,0.313,0.246,0.372
"P14","Mala",0.187,0.21,0.358,0.289,0.223
"P14","Muy mala",0.095,0.11,0.182,0.359,0.09
"P14","No sabe",0.007,0.013,0,0.013,0.025
"P15","Muy buena",0.055,0.206,0.505,0.581,0.114
"P15","Buena",0.049,0.267,0.245,0.235,0.238
"P15","Ni buena ni mala",0.13,0.238,0.165,0.089,0.303
"P15","Mala",0.205,0.146,0.052,0.06,0.184
"P15","Muy mala",0.558,0.134,0.033,0.031,0.08
"P15","No sabe",0.003,0.009,0,0.004,0.081
"P20","Muy buena",0.143,0.098,0.079,0.038,0.058
"P20","Buena",0.217,0.24,0.122,0.102,0.31
"P20","Ni buena ni mala",0.321,0.384,0.357,0.253,0.308
"P20","Mala",0.217,0.176,0.302,0.313,0.279
"P20","Muy mala",0.085,0.085,0.131,0.286,0.01
"P20","No sabe",0.017,0.017,0.009,0.008,0.035
"P21","Gobierno nacional",0.587,0.269,0.016,0.042,0.214
"P21","Gobierno provincial",0.278,0.511,0.801,0.863,0.417
"P21","No sabe",0.135,0.22,0.183,0.095,0.369
"P22","El anterior gobierno de Anabela Carreras",0.361,0.355,0.412,0.406,0.345
"P22","El actual gobierno de Alberto Weretilneck",0.5,0.491,0.517,0.53,0.588
"P22","No sabe",0.139,0.154,0.071,0.064,0.067
"P23","El anterior gobierno de Alberto Fernández",0.178,0.45,0.709,0.703,0.642
"P23","El actual gobierno de Javier Milei",0.753,0.363,0.263,0.297,0.082
"P23","No sabe",0.069,0.187,0.028,0,0.276
"P24","Si",0.296,0.408,0.478,0.497,0.326
"P24","No",0.502,0.385,0.324,0.31,0.232
"P24","No sabe",0.202,0.207,0.198,0.193,0.442
"P25","Si",0.312,0.2,0.185,0.142,0.11
"P25","No",0.352,0.515,0.604,0.653,0.357
"P25","No sabe",0.336,0.285,0.211,0.205,0.533
"P26","Si",0.897,0.762,0.751,0.82,0.602
"P26","No",0.103,0.238,0.249,0.18,0.398
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.82,0.394,0.144,0.085,0.294
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.125,0.171,0.122,0.073,0.321
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.036,0.299,0.467,0.32,0.154
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.009,0.064,0.187,0.286,0.114
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.009,0.054,0.06,0.235,0.055
"P27","No sabe",0.001,0.018,0.02,0.001,0.062
"P28","1-Excelente",0.166,0.128,0.158,0.131,0.208
"P28","2",0.09,0.177,0.057,0.097,0.165
"P28","3",0.067,0.045,0.049,0.058,0.06
"P28","4",0.07,0.056,0.056,0.05,0.027
"P28","5",0.219,0.203,0.195,0.194,0.107
"P28","6",0.092,0.056,0.038,0.022,0.018
"P28","7",0.07,0.04,0.059,0.061,0.062
"P28","8",0.047,0.041,0.07,0.1,0.091
"P28","9-Pésimo",0.13,0.223,0.258,0.23,0.162
"P28","No sabe",0.049,0.031,0.06,0.057,0.1
"P29","1-Excelente",0.149,0.13,0.163,0.123,0.225
"P29","2",0.116,0.179,0.089,0.109,0.155
"P29","3",0.099,0.092,0.038,0.077,0.085
"P29","4",0.063,0.054,0.061,0.06,0.059
"P29","5",0.157,0.138,0.134,0.139,0.029
"P29","6",0.082,0.049,0.051,0.032,0.009
"P29","7",0.077,0.034,0.046,0.027,0.006
"P29","8",0.038,0.027,0.057,0.11,0.141
"P29","9-Pésimo",0.172,0.277,0.302,0.279,0.199
"P29","No sabe",0.047,0.02,0.059,0.044,0.092
"P30","1-Excelente",0.156,0.109,0.143,0.13,0.247
"P30","2",0.111,0.13,0.06,0.069,0.135
"P30","3",0.108,0.111,0.054,0.068,0.052
"P30","4",0.088,0.047,0.082,0.067,0.026
"P30","5",0.135,0.149,0.133,0.136,0.028
"P30","6",0.083,0.096,0.045,0.052,0.027
"P30","7",0.08,0.029,0.049,0.059,0.041
"P30","8",0.054,0.06,0.078,0.114,0.156
"P30","9-Pésimo",0.13,0.229,0.3,0.263,0.198
"P30","No sabe",0.055,0.04,0.056,0.042,0.09
"P31","1-Excelente",0.163,0.123,0.116,0.15,0.137
"P31","2",0.11,0.122,0.069,0.046,0.174
"P31","3",0.086,0.122,0.065,0.094,0.087
"P31","4",0.09,0.063,0.072,0.05,0.057
"P31","5",0.148,0.148,0.151,0.195,0.033
"P31","6",0.081,0.054,0.054,0.044,0.021
"P31","7",0.057,0.042,0.071,0.048,0.073
"P31","8",0.057,0.077,0.083,0.07,0.057
"P31","9-Pésimo",0.145,0.197,0.245,0.244,0.17
"P31","No sabe",0.063,0.052,0.074,0.059,0.191
"P28","1-Excelente",0.166,0.128,0.158,0.131,0.208
"P28","2",0.09,0.177,0.057,0.097,0.165
"P28","3",0.067,0.045,0.049,0.058,0.06
"P28","4",0.07,0.056,0.056,0.05,0.027
"P28","5",0.219,0.203,0.195,0.194,0.107
"P28","6",0.092,0.056,0.038,0.022,0.018
"P28","7",0.07,0.04,0.059,0.061,0.062
"P28","8",0.047,0.041,0.07,0.1,0.091
"P28","9-Pésimo",0.13,0.223,0.258,0.23,0.162
"P28","No sabe",0.049,0.031,0.06,0.057,0.1
"P29","1-Excelente",0.149,0.13,0.163,0.123,0.225
"P29","2",0.116,0.179,0.089,0.109,0.155
"P29","3",0.099,0.092,0.038,0.077,0.085
"P29","4",0.063,0.054,0.061,0.06,0.059
