"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P12","Gran excedente habitual",0.014,0.022,0
"P12","Gran excedente excepcional",0.01,0.001,0
"P12","Pequeño excedente habitual",0.07,0.018,0.036
"P12","Pequeño excedente excepcional",0.077,0.029,0.056
"P12","Alcanza gastos familia",0.199,0.095,0.117
"P12","No alcanza gastos familia",0.101,0.092,0.106
"P12","Solo NBFamiliares",0.247,0.292,0.345
"P12","No alcanza NBFamiliares",0.273,0.447,0.31
"P12","No sabe",0.009,0.004,0.03
"P13","Empleado sector publico",0.179,0.287,0.217
"P13","Empleado sector privado",0.254,0.201,0.143
"P13","Changas o trabajos eventuales",0.184,0.194,0.237
"P13","Estudiante",0.03,0.043,0.021
"P13","Amas de casa",0.063,0.062,0.127
"P13","Profesional o independiente",0.134,0.089,0.073
"P13","Comerciante, emprendedor o empresario",0.072,0.023,0.057
"P13","Trabajador informal",0.026,0.028,0.038
"P13","No tengo trabajo",0.058,0.073,0.087
"P14","Muy buena",0.077,0.109,0.046
"P14","Buena",0.086,0.219,0.172
"P14","Ni buena ni mala",0.273,0.374,0.507
"P14","Mala",0.312,0.187,0.206
"P14","Muy mala",0.25,0.099,0.048
"P14","No sabe",0.002,0.012,0.021
"P15","Muy buena",0.521,0.038,0.11
"P15","Buena",0.241,0.063,0.256
"P15","Ni buena ni mala",0.117,0.115,0.421
"P15","Mala",0.06,0.222,0.127
"P15","Muy mala",0.059,0.556,0.053
"P15","No sabe",0.002,0.006,0.033
"P20","Muy buena",0.07,0.125,0.066
"P20","Buena",0.1,0.238,0.289
"P20","Ni buena ni mala",0.299,0.335,0.421
"P20","Mala",0.318,0.205,0.165
"P20","Muy mala",0.204,0.078,0.038
"P20","No sabe",0.009,0.019,0.021
"P21","Gobierno nacional",0.095,0.591,0.137
"P21","Gobierno provincial",0.77,0.286,0.501
"P21","No sabe",0.135,0.123,0.362
"P22","El anterior gobierno de Anabela Carreras",0.394,0.391,0.336
"P22","El actual gobierno de Alberto Weretilneck",0.517,0.488,0.521
"P22","No sabe",0.089,0.121,0.143
"P23","El anterior gobierno de Alberto Fernández",0.56,0.197,0.412
"P23","El actual gobierno de Javier Milei",0.377,0.717,0.315
"P23","No sabe",0.063,0.086,0.273
"P24","Si",0.473,0.31,0.31
"P24","No",0.337,0.507,0.3
"P24","No sabe",0.19,0.183,0.39
"P25","Si",0.166,0.309,0.211
"P25","No",0.623,0.359,0.358
"P25","No sabe",0.211,0.332,0.431
"P26","Si",0.793,0.898,0.65
"P26","No",0.207,0.102,0.35
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.195,0.78,0.294
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.094,0.152,0.194
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.36,0.043,0.343
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.213,0.009,0.1
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.13,0.014,0.026
"P27","No sabe",0.008,0.002,0.043
"P28","1-Excelente",0.182,0.117,0.192
"P28","2",0.092,0.114,0.107
"P28","3",0.054,0.071,0.042
"P28","4",0.059,0.066,0.044
"P28","5",0.173,0.219,0.25
"P28","6",0.029,0.092,0.064
"P28","7",0.051,0.077,0.049
"P28","8",0.073,0.051,0.074
"P28","9-Pésimo",0.233,0.155,0.107
"P28","No sabe",0.054,0.038,0.071
"P29","1-Excelente",0.171,0.122,0.174
"P29","2",0.124,0.114,0.123
"P29","3",0.061,0.109,0.047
"P29","4",0.06,0.06,0.085
"P29","5",0.104,0.155,0.199
"P29","6",0.04,0.082,0.052
"P29","7",0.031,0.082,0.026
"P29","8",0.071,0.044,0.082
"P29","9-Pésimo",0.29,0.191,0.161
"P29","No sabe",0.048,0.041,0.051
"P30","1-Excelente",0.167,0.129,0.15
"P30","2",0.093,0.098,0.125
"P30","3",0.071,0.114,0.065
"P30","4",0.058,0.087,0.069
"P30","5",0.119,0.142,0.158
"P30","6",0.04,0.098,0.067
"P30","7",0.05,0.073,0.068
"P30","8",0.094,0.063,0.069
"P30","9-Pésimo",0.261,0.147,0.164
"P30","No sabe",0.047,0.049,0.065
"P31","1-Excelente",0.177,0.126,0.133
"P31","2",0.086,0.11,0.093
"P31","3",0.093,0.09,0.101
"P31","4",0.05,0.098,0.045
"P31","5",0.132,0.153,0.21
"P31","6",0.047,0.091,0.025
"P31","7",0.05,0.057,0.083
"P31","8",0.07,0.066,0.069
"P31","9-Pésimo",0.231,0.157,0.12
"P31","No sabe",0.064,0.052,0.121
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.122,0.811,0.231
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.167,0.129,0.265
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.296,0.017,0.239
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.392,0.013,0.088
"P32","No sabe",0.023,0.03,0.177
"P28","1-Excelente",0.182,0.117,0.192
"P28","2",0.092,0.114,0.107
"P28","3",0.054,0.071,0.042
"P28","4",0.059,0.066,0.044
"P28","5",0.173,0.219,0.25
"P28","6",0.029,0.092,0.064
"P28","7",0.051,0.077,0.049
"P28","8",0.073,0.051,0.074
"P28","9-Pésimo",0.233,0.155,0.107
"P28","No sabe",0.054,0.038,0.071
"P29","1-Excelente",0.171,0.122,0.174
"P29","2",0.124,0.114,0.123
"P29","3",0.061,0.109,0.047
"P29","4",0.06,0.06,0.085
"P29","5",0.104,0.155,0.199
"P29","6",0.04,0.082,0.052
"P29","7",0.031,0.082,0.026
"P29","8",0.071,0.044,0.082
"P29","9-Pésimo",0.29,0.191,0.161
"P29","No sabe",0.048,0.041,0.051
"P30","1-Excelente",0.167,0.129,0.15
"P30","2",0.093,0.098,0.125
"P30","3",0.071,0.114,0.065
"P30","4",0.058,0.087,0.069
"P30","5",0.119,0.142,0.158
"P30","6",0.04,0.098,0.067
"P30","7",0.05,0.073,0.068
"P30","8",0.094,0.063,0.069
"P30","9-Pésimo",0.261,0.147,0.164
"P30","No sabe",0.047,0.049,0.065
"P31","1-Excelente",0.177,0.126,0.133
"P31","2",0.086,0.11,0.093
"P31","3",0.093,0.09,0.101
"P31","4",0.05,0.098,0.045
"P31","5",0.132,0.153,0.21
"P31","6",0.047,0.091,0.025
"P31","7",0.05,0.057,0.083
"P31","8",0.07,0.066,0.069
"P31","9-Pésimo",0.231,0.157,0.12
"P31","No sabe",0.064,0.052,0.121
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.122,0.811,0.231
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.167,0.129,0.265
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.296,0.017,0.239
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.392,0.013,0.088
"P32","No sabe",0.023,0.03,0.177
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.085,0.648,0.142
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.1,0.247,0.27
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.428,0.06,0.445
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.368,0.008,0.043
"P33","No sabe",0.019,0.037,0.1
"P34","Oponerse totalmente",0.1,0.701,0.163
"P34","Oponerse parcialmente",0.052,0.181,0.131
"P34","Apoyar parcialmente",0.367,0.084,0.51
"P34","Apoyar totalmente",0.442,0.014,0.072
"P34","No sabe",0.039,0.02,0.124
"P35","Inseguridad y narcotráfico",0.3,0.418,0.238
"P35","Altos impuestos y tarifas",0.229,0.164,0.156
"P35","Educación y estado de las escuelas",0.166,0.134,0.327
"P35","Inflación",0.144,0.16,0.134
"P35","Estado de la salud",0.085,0.067,0.035
"P35","Corrupción",0.058,0.023,0.06
"P35","Pobreza",0.006,0.009,0.006
"P35","Medio ambiente, incendios y contaminación",0,0.004,0
"P35","Falta de trabajo",0.011,0.019,0.032
"P35","No sabe",0.001,0.002,0.012
"P39","Muy buena",0.057,0.058,0.024
"P39","Buena",0.087,0.137,0.116
"P39","Ni buena ni mala",0.269,0.301,0.445
"P39","Mala",0.365,0.349,0.246
"P39","Muy mala",0.194,0.119,0.083
"P39","No sabe",0.028,0.036,0.086
"P40","Peor",0.486,0.687,0.403
"P40","Igual",0.36,0.195,0.302
"P40","Mejor",0.081,0.065,0.187
"P40","No sabe",0.073,0.053,0.108
"P41","Peor",0.388,0.673,0.163
"P41","Igual",0.287,0.213,0.302
"P41","Mejor",0.254,0.073,0.28
"P41","No sabe",0.071,0.041,0.255
"P43","Muy buena",0.116,0.141,0.14
"P43","Buena",0.08,0.305,0.146
"P43","Ni buena ni mala",0.265,0.309,0.449
"P43","Mala",0.305,0.163,0.17
"P43","Muy mala",0.219,0.077,0.041
"P43","No sabe",0.015,0.005,0.054
"P45","Muy buena",0.054,0.22,0.062
"P45","Buena",0.067,0.254,0.13
"P45","Ni buena ni mala",0.229,0.295,0.387
"P45","Mala",0.312,0.108,0.271
"P45","Muy mala",0.302,0.085,0.073
"P45","No sabe",0.036,0.038,0.077
"P46","Muy buena",0.186,0.084,0.111
"P46","Buena",0.207,0.107,0.215
"P46","Ni buena ni mala",0.358,0.32,0.473
"P46","Mala",0.134,0.234,0.069
"P46","Muy mala",0.076,0.182,0.063
"P46","No sabe",0.039,0.073,0.069
"P49","Muy buena",0.066,0.447,0.073
"P49","Buena",0.026,0.203,0.095
"P49","Ni buena ni mala",0.056,0.146,0.213
"P49","Mala",0.265,0.109,0.3
"P49","Muy mala",0.582,0.085,0.299
"P49","No sabe",0.005,0.01,0.02
"P50","Muy buena",0.154,0.052,0.041
"P50","Buena",0.232,0.061,0.22
"P50","Ni buena ni mala",0.271,0.101,0.326
"P50","Mala",0.207,0.284,0.276
"P50","Muy mala",0.131,0.5,0.126
"P50","No sabe",0.005,0.002,0.011
"P51","Muy buena",0.053,0.191,0.039
"P51","Buena",0.033,0.25,0.069
"P51","Ni buena ni mala",0.064,0.282,0.278
"P51","Mala",0.269,0.159,0.303
"P51","Muy mala",0.578,0.115,0.3
"P51","No sabe",0.003,0.003,0.011
"P52","Muy buena",0.06,0.449,0.063
"P52","Buena",0.02,0.195,0.074
"P52","Ni buena ni mala",0.058,0.144,0.158
"P52","Mala",0.241,0.09,0.343
"P52","Muy mala",0.612,0.106,0.328
"P52","No sabe",0.009,0.016,0.034
"P53","Muy buena",0.585,0.046,0.129
"P53","Buena",0.225,0.068,0.28
"P53","Ni buena ni mala",0.053,0.078,0.319
"P53","Mala",0.047,0.221,0.153
"P53","Muy mala",0.085,0.573,0.083
"P53","No sabe",0.005,0.014,0.036
"P54","Muy buena",0.395,0.045,0.155
"P54","Buena",0.344,0.069,0.271
"P54","Ni buena ni mala",0.127,0.091,0.281
"P54","Mala",0.06,0.196,0.177
"P54","Muy mala",0.069,0.595,0.079
"P54","No sabe",0.005,0.004,0.037
"P55","Muy buena",0.554,0.039,0.166
"P55","Buena",0.211,0.062,0.276
"P55","Ni buena ni mala",0.114,0.175,0.345
"P55","Mala",0.033,0.195,0.092
"P55","Muy mala",0.067,0.517,0.064
"P55","No sabe",0.021,0.012,0.057
"P56","Muy buena",0.126,0.037,0.085
"P56","Buena",0.22,0.115,0.202
"P56","Ni buena ni mala",0.445,0.325,0.438
"P56","Mala",0.096,0.232,0.118
"P56","Muy mala",0.07,0.26,0.054
"P56","No sabe",0.043,0.031,0.103
