"var","categoria","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar","No sabe"
"P12","Gran excedente habitual",0.012,0.03,0.007,0.01,0.085,0
"P12","Gran excedente excepcional",0.004,0,0.005,0.002,0.015,0
"P12","Pequeño excedente habitual",0.02,0.014,0.065,0.084,0.072,0.03
"P12","Pequeño excedente excepcional",0.034,0.061,0.097,0.06,0.091,0.14
"P12","Alcanza gastos familia",0.098,0.073,0.205,0.216,0.105,0.038
"P12","No alcanza gastos familia",0.082,0.146,0.125,0.087,0.092,0.087
"P12","Solo NBFamiliares",0.265,0.308,0.286,0.303,0.299,0.113
"P12","No alcanza NBFamiliares",0.482,0.361,0.193,0.227,0.241,0.192
"P12","No sabe",0.003,0.007,0.017,0.011,0,0.4
"P13","Empleado sector publico",0.289,0.172,0.163,0.202,0.205,0.18
"P13","Empleado sector privado",0.168,0.21,0.246,0.202,0.301,0.087
"P13","Changas o trabajos eventuales",0.228,0.235,0.125,0.24,0.177,0.336
"P13","Estudiante",0.043,0.036,0.05,0.01,0.021,0.009
"P13","Amas de casa",0.07,0.114,0.099,0.097,0.074,0.182
"P13","Profesional o independiente",0.085,0.086,0.137,0.117,0.084,0.043
"P13","Comerciante, emprendedor o empresario",0.027,0.026,0.078,0.054,0.042,0
"P13","Trabajador informal",0.026,0.02,0.043,0.028,0.017,0.058
