"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P12","Gran excedente habitual",0.018,0.022,0.016,0.009,0
"P12","Gran excedente excepcional",0,0,0.003,0.017,0
"P12","Pequeño excedente habitual",0.013,0.036,0.04,0.098,0.045
"P12","Pequeño excedente excepcional",0.026,0.045,0.066,0.095,0.01
"P12","Alcanza gastos familia",0.087,0.113,0.164,0.26,0.059
"P12","No alcanza gastos familia",0.093,0.068,0.107,0.086,0.255
"P12","Solo NBFamiliares",0.257,0.306,0.278,0.298,0.328
"P12","No alcanza NBFamiliares",0.504,0.401,0.317,0.125,0.234
"P12","No sabe",0.002,0.009,0.009,0.012,0.069
"P13","Empleado sector publico",0.291,0.251,0.234,0.148,0.17
"P13","Empleado sector privado",0.186,0.241,0.213,0.27,0.15
"P13","Changas o trabajos eventuales",0.226,0.191,0.169,0.144,0.292
"P13","Estudiante",0.044,0.028,0.02,0.047,0.027
"P13","Amas de casa",0.062,0.051,0.086,0.072,0.071
"P13","Profesional o independiente",0.081,0.085,0.115,0.174,0.061
"P13","Comerciante, emprendedor o empresario",0.015,0.059,0.065,0.071,0.048
"P13","Trabajador informal",0.031,0.033,0.023,0.03,0
"P13","No tengo trabajo",0.064,0.061,0.075,0.044,0.181
"P14","Muy buena",0.125,0.121,0.064,0.033,0.063
"P14","Buena",0.195,0.272,0.114,0.078,0.191
"P14","Ni buena ni mala",0.361,0.413,0.412,0.183,0.435
"P14","Mala",0.202,0.138,0.261,0.333,0.222
"P14","Muy mala",0.11,0.043,0.137,0.366,0.085
"P14","No sabe",0.007,0.013,0.012,0.007,0.004
"P15","Muy buena",0.059,0.063,0.321,0.663,0.113
"P15","Buena",0.035,0.169,0.293,0.213,0.222
"P15","Ni buena ni mala",0.091,0.273,0.239,0.044,0.376
"P15","Mala",0.229,0.144,0.093,0.037,0.132
"P15","Muy mala",0.584,0.332,0.051,0.04,0.086
"P15","No sabe",0.002,0.019,0.003,0.003,0.071
"P20","Muy buena",0.118,0.111,0.111,0.051,0.09
"P20","Buena",0.219,0.341,0.137,0.08,0.269
"P20","Ni buena ni mala",0.328,0.334,0.392,0.243,0.339
