"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P12","Gran excedente habitual",0.021,0.028,0.002,0.002,0.037,0.006,0,0,0,0
"P12","Gran excedente excepcional",0.004,0.001,0.012,0.002,0,0,0,0,0.009,0
"P12","Pequeño excedente habitual",0.022,0.037,0.076,0.046,0.049,0.051,0.09,0,0,0
"P12","Pequeño excedente excepcional",0.038,0.071,0.046,0.033,0.066,0.148,0,0,0.035,0
"P12","Alcanza gastos familia",0.125,0.155,0.117,0.134,0.211,0.164,0.199,0,0.098,0.472
"P12","No alcanza gastos familia",0.104,0.06,0.108,0.116,0.126,0.062,0.021,0.205,0.128,0.099
"P12","Solo NBFamiliares",0.254,0.373,0.269,0.22,0.257,0.289,0.438,0.153,0.377,0.429
"P12","No alcanza NBFamiliares",0.42,0.274,0.351,0.444,0.254,0.253,0.252,0.642,0.353,0
"P12","No sabe",0.012,0.001,0.019,0.003,0,0.027,0,0,0,0
"P13","Empleado sector publico",0.277,0.161,0.197,0.273,0.335,0.096,0.608,0,0.157,0.503
"P13","Empleado sector privado",0.187,0.277,0.184,0.253,0.182,0.231,0.11,0.795,0.129,0.149
"P13","Changas o trabajos eventuales",0.222,0.183,0.235,0.141,0.145,0.13,0.033,0.205,0.408,0.171
"P13","Estudiante",0.031,0.031,0.026,0.029,0.094,0.073,0.004,0,0,0
"P13","Amas de casa",0.06,0.075,0.107,0.061,0.043,0.082,0.019,0,0.008,0
"P13","Profesional o independiente",0.112,0.122,0.082,0.096,0.062,0.189,0.113,0,0.053,0.057
"P13","Comerciante, emprendedor o empresario",0.033,0.062,0.082,0.024,0.026,0.037,0.082,0,0.069,0
"P13","Trabajador informal",0.028,0.018,0.008,0.032,0.047,0.082,0,0,0.132,0
"P13","No tengo trabajo",0.05,0.071,0.079,0.091,0.066,0.08,0.031,0,0.044,0.12
"P14","Muy buena",0.114,0.101,0.073,0.062,0.061,0.059,0.065,0.642,0.025,0.112
"P14","Buena",0.118,0.244,0.22,0.134,0.095,0.104,0.093,0,0.343,0.057
"P14","Ni buena ni mala",0.358,0.298,0.449,0.421,0.224,0.147,0.239,0.205,0.185,0.711
"P14","Mala",0.224,0.213,0.21,0.279,0.319,0.338,0.167,0,0.184,0
"P14","Muy mala",0.182,0.133,0.037,0.095,0.295,0.325,0.417,0,0.263,0
"P14","No sabe",0.004,0.011,0.011,0.009,0.006,0.027,0.019,0.153,0,0.12
"P15","Muy buena",0.209,0.301,0.254,0.207,0.27,0.322,0.13,0,0.227,0.081
"P15","Buena",0.097,0.281,0.176,0.119,0.13,0.254,0.032,0,0.149,0.184
"P15","Ni buena ni mala",0.122,0.124,0.247,0.189,0.132,0.126,0.069,0,0.033,0.459
"P15","Mala",0.176,0.113,0.134,0.177,0.089,0.024,0.063,0,0.239,0.057
"P15","Muy mala",0.394,0.166,0.175,0.306,0.379,0.247,0.706,1,0.352,0.219
"P15","No sabe",0.002,0.015,0.014,0.002,0,0.027,0,0,0,0
"P20","Muy buena",0.123,0.1,0.132,0.036,0.081,0.036,0.03,0.642,0.069,0
"P20","Buena",0.147,0.268,0.241,0.136,0.181,0.133,0.089,0,0.306,0.56
"P20","Ni buena ni mala",0.31,0.317,0.447,0.329,0.18,0.316,0.448,0.205,0.378,0.44
"P20","Mala",0.24,0.192,0.138,0.395,0.34,0.274,0.243,0,0.145,0
"P20","Muy mala",0.155,0.113,0.038,0.093,0.199,0.214,0.19,0.153,0.102,0
"P20","No sabe",0.025,0.01,0.004,0.011,0.019,0.027,0,0,0,0
"P21","Gobierno nacional",0.425,0.294,0.287,0.316,0.342,0.035,0.332,0.847,0.525,0.188
"P21","Gobierno provincial",0.451,0.555,0.441,0.549,0.614,0.697,0.605,0,0.35,0.252
"P21","No sabe",0.124,0.151,0.272,0.135,0.044,0.268,0.063,0.153,0.125,0.56
"P22","El anterior gobierno de Anabela Carreras",0.341,0.371,0.447,0.349,0.592,0.341,0.131,0,0.675,0.662
"P22","El actual gobierno de Alberto Weretilneck",0.56,0.532,0.461,0.505,0.346,0.489,0.834,0,0.304,0.338
"P22","No sabe",0.099,0.097,0.092,0.146,0.062,0.17,0.035,0,0.021,0
"P23","El anterior gobierno de Alberto Fernández",0.219,0.372,0.281,0.224,0.31,0.07,0.286,0,0.032,0.396
"P23","El actual gobierno de Javier Milei",0.713,0.416,0.586,0.736,0.683,0.93,0.714,1,0.933,0.604
"P23","No sabe",0.068,0.212,0.133,0.04,0.007,0,0,0,0.035,0
"P24","Si",0.341,0.487,0.356,0.289,0.446,0.493,0.392,0.642,0.323,0.184
"P24","No",0.411,0.388,0.378,0.511,0.404,0.288,0.461,0.205,0.504,0.425
"P24","No sabe",0.248,0.125,0.266,0.2,0.15,0.219,0.147,0.153,0.173,0.391
"P25","Si",0.26,0.196,0.247,0.247,0.222,0.224,0.266,0.642,0.235,0.012
"P25","No",0.444,0.538,0.374,0.458,0.53,0.612,0.474,0,0.379,0.339
"P25","No sabe",0.296,0.266,0.379,0.295,0.248,0.164,0.26,0.358,0.386,0.649
"P26","Si",0.834,0.786,0.824,0.824,0.892,0.776,0.837,1,0.933,0.609
"P26","No",0.166,0.214,0.176,0.176,0.108,0.224,0.163,0,0.067,0.391
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.574,0.409,0.433,0.531,0.504,0.277,0.446,0.795,0.47,0.18
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.152,0.168,0.112,0.1,0.082,0.095,0.153,0.205,0.069,0.177
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.147,0.214,0.306,0.213,0.171,0.232,0.309,0,0.228,0.081
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.07,0.142,0.084,0.091,0.088,0.308,0.092,0,0.045,0.171
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.055,0.056,0.04,0.061,0.148,0.06,0,0,0.188,0.391
"P27","No sabe",0.002,0.011,0.025,0.004,0.007,0.028,0,0,0,0
"P28","1-Excelente",0.16,0.153,0.193,0.122,0.129,0.106,0.036,0.358,0.069,0.523
"P28","2",0.098,0.167,0.072,0.093,0.097,0.088,0.027,0,0.053,0.1
"P28","3",0.059,0.051,0.082,0.066,0.043,0.041,0.172,0,0,0.171
"P28","4",0.066,0.065,0.049,0.069,0.029,0.068,0.06,0,0.081,0
"P28","5",0.205,0.187,0.263,0.188,0.148,0.213,0.241,0,0.225,0
"P28","6",0.068,0.058,0.055,0.088,0.075,0.016,0.03,0,0,0.057
"P28","7",0.044,0.053,0.06,0.077,0.096,0.033,0.286,0.642,0.201,0
"P28","8",0.072,0.034,0.045,0.071,0.088,0.104,0.027,0,0.027,0.081
"P28","9-Pésimo",0.178,0.183,0.111,0.169,0.281,0.307,0.088,0,0.276,0
"P28","No sabe",0.05,0.049,0.07,0.057,0.014,0.024,0.033,0,0.068,0.068
"P29","1-Excelente",0.173,0.13,0.188,0.119,0.11,0.073,0.017,0.153,0.098,0.403
"P29","2",0.123,0.193,0.092,0.102,0.084,0.082,0.047,0,0,0.339
"P29","3",0.073,0.078,0.084,0.097,0.081,0.106,0.23,0,0.075,0
"P29","4",0.062,0.08,0.072,0.059,0.023,0.046,0,0,0.07,0
"P29","5",0.149,0.148,0.137,0.094,0.147,0.13,0.244,0.205,0.277,0.12
"P29","6",0.061,0.066,0.083,0.084,0.012,0.015,0.004,0,0,0
"P29","7",0.034,0.04,0.063,0.096,0.078,0.031,0.116,0.642,0.054,0.057
"P29","8",0.042,0.052,0.058,0.059,0.067,0.178,0.221,0,0.072,0.081
"P29","9-Pésimo",0.243,0.186,0.139,0.228,0.382,0.324,0.088,0,0.331,0
"P29","No sabe",0.04,0.027,0.084,0.062,0.016,0.015,0.033,0,0.023,0
"P30","1-Excelente",0.155,0.139,0.192,0.119,0.129,0.079,0.035,0.153,0.099,0.404
"P30","2",0.102,0.141,0.088,0.084,0.051,0.099,0.109,0,0.019,0.099
"P30","3",0.077,0.13,0.102,0.089,0.077,0.082,0.064,0,0.038,0
"P30","4",0.063,0.07,0.099,0.079,0.068,0.082,0.092,0,0.104,0.171
"P30","5",0.139,0.113,0.13,0.147,0.155,0.127,0.129,0.205,0.109,0.12
"P30","6",0.072,0.077,0.071,0.079,0.039,0.029,0.273,0,0,0.125
"P30","7",0.053,0.065,0.062,0.061,0.063,0.08,0.087,0,0.22,0
"P30","8",0.064,0.073,0.059,0.086,0.121,0.116,0.07,0.642,0.053,0
"P30","9-Pésimo",0.213,0.164,0.125,0.19,0.286,0.291,0.088,0,0.29,0.081
"P30","No sabe",0.062,0.028,0.072,0.066,0.011,0.015,0.053,0,0.068,0
