"var","categoria","Si","No","No sabe"
"P12","Gran excedente habitual",0.018,0.017,0.011
"P12","Gran excedente excepcional",0.007,0.002,0.004
"P12","Pequeño excedente habitual",0.046,0.03,0.036
"P12","Pequeño excedente excepcional",0.064,0.053,0.061
"P12","Alcanza gastos familia",0.152,0.119,0.122
"P12","No alcanza gastos familia",0.088,0.093,0.121
"P12","Solo NBFamiliares",0.274,0.286,0.276
"P12","No alcanza NBFamiliares",0.34,0.4,0.34
"P12","No sabe",0.011,0,0.029
"P13","Empleado sector publico",0.24,0.256,0.184
"P13","Empleado sector privado",0.223,0.203,0.17
"P13","Changas o trabajos eventuales",0.196,0.212,0.229
"P13","Estudiante",0.04,0.033,0.04
"P13","Amas de casa",0.082,0.067,0.119
"P13","Profesional o independiente",0.091,0.105,0.089
"P13","Comerciante, emprendedor o empresario",0.048,0.041,0.032
"P13","Trabajador informal",0.026,0.029,0.022
"P13","No tengo trabajo",0.054,0.054,0.115
"P14","Muy buena",0.146,0.089,0.091
"P14","Buena",0.162,0.172,0.118
"P14","Ni buena ni mala",0.313,0.316,0.429
"P14","Mala",0.221,0.256,0.213
"P14","Muy mala",0.154,0.157,0.112
"P14","No sabe",0.004,0.01,0.037
"P15","Muy buena",0.351,0.202,0.16
"P15","Buena",0.19,0.149,0.187
"P15","Ni buena ni mala",0.14,0.13,0.243
"P15","Mala",0.115,0.181,0.16
"P15","Muy mala",0.199,0.332,0.218
"P15","No sabe",0.005,0.006,0.032
"P20","Muy buena",0.164,0.099,0.102
"P20","Buena",0.228,0.165,0.193
"P20","Ni buena ni mala",0.284,0.296,0.363
"P20","Mala",0.201,0.291,0.203
"P20","Muy mala",0.117,0.133,0.095
"P20","No sabe",0.006,0.016,0.044
"P21","Gobierno nacional",0.312,0.391,0.23
"P21","Gobierno provincial",0.535,0.467,0.424
"P21","No sabe",0.153,0.142,0.346
"P22","El anterior gobierno de Anabela Carreras",0.439,0.302,0.324
"P22","El actual gobierno de Alberto Weretilneck",0.447,0.597,0.482
"P22","No sabe",0.114,0.101,0.194
"P23","El anterior gobierno de Alberto Fernández",0.409,0.262,0.21
"P23","El actual gobierno de Javier Milei",0.511,0.685,0.659
"P23","No sabe",0.08,0.053,0.131
"P25","Si",0.304,0.219,0.139
"P25","No",0.466,0.55,0.306
"P25","No sabe",0.23,0.231,0.555
"P26","Si",0.828,0.816,0.697
"P26","No",0.172,0.184,0.303
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.459,0.546,0.357
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.112,0.171,0.211
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.24,0.149,0.236
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.107,0.068,0.098
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.078,0.059,0.062
"P27","No sabe",0.004,0.007,0.036
"P28","1-Excelente",0.2,0.141,0.199
"P28","2",0.121,0.11,0.086
"P28","3",0.042,0.063,0.064
"P28","4",0.056,0.057,0.055
"P28","5",0.195,0.198,0.163
"P28","6",0.047,0.066,0.072
"P28","7",0.05,0.062,0.048
"P28","8",0.051,0.067,0.042
"P28","9-Pésimo",0.191,0.178,0.157
"P28","No sabe",0.047,0.058,0.114
"P29","1-Excelente",0.181,0.124,0.188
"P29","2",0.12,0.133,0.127
"P29","3",0.052,0.095,0.11
"P29","4",0.051,0.06,0.055
"P29","5",0.152,0.127,0.125
"P29","6",0.068,0.047,0.043
"P29","7",0.034,0.064,0.05
"P29","8",0.072,0.067,0.027
"P29","9-Pésimo",0.224,0.221,0.208
