"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.157,0.142,0.172,0.195,0.12,0.176,0.18,0.233,0.15,0.093,0.157,0.16,0.131,0.144,0.166,0.168,0.13,0.166
"2",0.102,0.094,0.11,0.116,0.083,0.11,0.126,0.106,0.106,0.092,0.108,0.108,0.105,0.106,0.102,0.104,0.092,0.109
"3",0.09,0.107,0.071,0.102,0.074,0.086,0.125,0.091,0.096,0.079,0.089,0.1,0.072,0.11,0.082,0.078,0.092,0.102
"4",0.074,0.073,0.075,0.068,0.064,0.088,0.088,0.059,0.077,0.084,0.093,0.06,0.084,0.086,0.059,0.057,0.103,0.069
"5",0.125,0.143,0.106,0.07,0.125,0.147,0.157,0.087,0.118,0.173,0.152,0.098,0.174,0.144,0.108,0.115,0.148,0.116
"6",0.066,0.059,0.075,0.05,0.081,0.053,0.068,0.066,0.061,0.075,0.085,0.037,0.057,0.082,0.054,0.063,0.059,0.078
"7",0.057,0.063,0.051,0.043,0.072,0.054,0.039,0.038,0.065,0.065,0.046,0.06,0.054,0.069,0.053,0.05,0.068,0.058
"8",0.072,0.062,0.082,0.068,0.092,0.057,0.041,0.069,0.072,0.073,0.063,0.069,0.063,0.065,0.087,0.079,0.065,0.068
"9-Pésimo",0.199,0.203,0.195,0.223,0.231,0.172,0.123,0.183,0.196,0.218,0.166,0.267,0.191,0.158,0.232,0.234,0.172,0.179
"No sabe",0.058,0.054,0.063,0.065,0.058,0.057,0.053,0.068,0.059,0.048,0.041,0.041,0.069,0.036,0.057,0.052,0.071,0.055
