"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.177,0.169,0.184,0.229,0.149,0.15,0.231,0.265,0.17,0.099,0.2,0.154,0.159,0.175,0.17,0.204,0.127,0.188
"2",0.109,0.11,0.107,0.076,0.103,0.129,0.133,0.131,0.112,0.081,0.105,0.134,0.063,0.099,0.116,0.116,0.124,0.083
"3",0.055,0.063,0.047,0.047,0.035,0.082,0.079,0.022,0.066,0.073,0.044,0.078,0.061,0.064,0.047,0.044,0.069,0.058
"4",0.056,0.066,0.045,0.035,0.05,0.077,0.065,0.056,0.051,0.063,0.075,0.067,0.024,0.057,0.058,0.05,0.056,0.064
"5",0.189,0.187,0.191,0.189,0.193,0.181,0.19,0.159,0.185,0.222,0.198,0.187,0.254,0.203,0.187,0.169,0.198,0.207
"6",0.06,0.065,0.055,0.037,0.073,0.061,0.051,0.066,0.048,0.073,0.075,0.041,0.054,0.087,0.041,0.051,0.065,0.068
"7",0.054,0.05,0.059,0.055,0.063,0.049,0.039,0.026,0.065,0.066,0.057,0.03,0.074,0.073,0.044,0.047,0.074,0.044
"8",0.055,0.056,0.055,0.065,0.058,0.051,0.044,0.034,0.059,0.073,0.043,0.066,0.061,0.053,0.058,0.06,0.053,0.052
"9-Pésimo",0.178,0.182,0.174,0.197,0.206,0.162,0.103,0.164,0.176,0.195,0.144,0.208,0.165,0.148,0.212,0.192,0.178,0.159
"No sabe",0.067,0.052,0.083,0.07,0.07,0.058,0.065,0.077,0.068,0.055,0.059,0.035,0.085,0.041,0.067,0.067,0.056,0.077
