"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.113,0.118,0.107,0.196,0.09,0.076,0.125,0.181,0.099,0.062,0.191,0.064,0.089,0.153,0.076,0.132,0.075,0.123,6
"Buena",0.151,0.15,0.153,0.129,0.129,0.168,0.217,0.147,0.164,0.137,0.229,0.105,0.156,0.186,0.132,0.124,0.174,0.166,6
"Ni buena ni mala",0.336,0.316,0.355,0.29,0.345,0.352,0.343,0.352,0.339,0.313,0.36,0.276,0.395,0.36,0.316,0.336,0.35,0.322,6
"Mala",0.237,0.236,0.238,0.234,0.245,0.267,0.174,0.176,0.244,0.29,0.144,0.335,0.223,0.191,0.267,0.241,0.224,0.244,6
"Muy mala",0.146,0.169,0.123,0.144,0.178,0.123,0.095,0.121,0.143,0.178,0.064,0.212,0.124,0.098,0.2,0.149,0.163,0.126,6
"No sabe",0.017,0.011,0.024,0.007,0.013,0.014,0.046,0.023,0.011,0.02,0.012,0.008,0.013,0.012,0.009,0.018,0.014,0.019,6
"Positiva",0.264,0.268,0.26,0.325,0.219,0.244,0.342,0.328,0.263,0.199,0.42,0.169,0.245,0.339,0.208,0.256,0.249,0.289,4
"Neutra",0.336,0.316,0.355,0.29,0.345,0.352,0.343,0.352,0.339,0.313,0.36,0.276,0.395,0.36,0.316,0.336,0.35,0.322,4
"Negativa",0.383,0.405,0.361,0.378,0.423,0.39,0.269,0.297,0.387,0.468,0.208,0.547,0.347,0.289,0.467,0.39,0.387,0.37,4
"No sabe",0.017,0.011,0.024,0.007,0.013,0.014,0.046,0.023,0.011,0.02,0.012,0.008,0.013,0.012,0.009,0.018,0.014,0.019,4
