"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.249,0.231,0.269,0.248,0.225,0.277,0.271,0.243,0.211,0.305,0.287,0.059,0.546,0.516,0.044,0.189,0.35,0.226,6
"Buena",0.111,0.119,0.102,0.14,0.121,0.082,0.105,0.08,0.13,0.111,0.142,0.055,0.155,0.211,0.031,0.104,0.13,0.102,6
"Ni buena ni mala",0.111,0.102,0.121,0.08,0.137,0.074,0.133,0.126,0.13,0.074,0.146,0.083,0.104,0.128,0.088,0.15,0.079,0.093,6
"Mala",0.18,0.193,0.166,0.215,0.173,0.159,0.2,0.232,0.185,0.132,0.171,0.244,0.066,0.065,0.248,0.194,0.137,0.204,6
"Muy mala",0.334,0.343,0.324,0.284,0.34,0.384,0.279,0.289,0.33,0.373,0.238,0.552,0.124,0.06,0.579,0.353,0.291,0.352,6
"No sabe",0.015,0.012,0.018,0.033,0.004,0.024,0.012,0.03,0.014,0.005,0.016,0.007,0.005,0.02,0.01,0.01,0.013,0.023,6
"Positiva",0.36,0.35,0.371,0.388,0.346,0.359,0.376,0.323,0.341,0.416,0.429,0.114,0.701,0.727,0.075,0.293,0.48,0.328,4
"Neutra",0.111,0.102,0.121,0.08,0.137,0.074,0.133,0.126,0.13,0.074,0.146,0.083,0.104,0.128,0.088,0.15,0.079,0.093,4
"Negativa",0.514,0.536,0.49,0.499,0.513,0.543,0.479,0.521,0.515,0.505,0.409,0.796,0.19,0.125,0.827,0.547,0.428,0.556,4
"No sabe",0.015,0.012,0.018,0.033,0.004,0.024,0.012,0.03,0.014,0.005,0.016,0.007,0.005,0.02,0.01,0.01,0.013,0.023,4
