"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.131,0.109,0.154,0.186,0.093,0.138,0.168,0.211,0.12,0.081,0.24,0.082,0.062,0.164,0.108,0.163,0.101,0.118,6
"Buena",0.196,0.207,0.184,0.141,0.197,0.178,0.274,0.208,0.19,0.194,0.295,0.129,0.183,0.303,0.106,0.183,0.206,0.204,6
"Ni buena ni mala",0.308,0.292,0.324,0.273,0.311,0.325,0.304,0.304,0.317,0.299,0.307,0.232,0.303,0.298,0.305,0.295,0.334,0.297,6
"Mala",0.221,0.24,0.201,0.215,0.238,0.231,0.163,0.191,0.231,0.232,0.104,0.326,0.278,0.146,0.284,0.216,0.215,0.233,6
"Muy mala",0.13,0.133,0.128,0.151,0.146,0.126,0.077,0.061,0.129,0.187,0.051,0.222,0.144,0.085,0.185,0.126,0.14,0.127,6
"No sabe",0.014,0.019,0.009,0.034,0.015,0.002,0.014,0.025,0.013,0.007,0.003,0.009,0.03,0.004,0.012,0.017,0.004,0.021,6
"Positiva",0.327,0.316,0.338,0.327,0.29,0.316,0.442,0.419,0.31,0.275,0.535,0.211,0.245,0.467,0.214,0.346,0.307,0.322,4
"Neutra",0.308,0.292,0.324,0.273,0.311,0.325,0.304,0.304,0.317,0.299,0.307,0.232,0.303,0.298,0.305,0.295,0.334,0.297,4
"Negativa",0.351,0.373,0.329,0.366,0.384,0.357,0.24,0.252,0.36,0.419,0.155,0.548,0.422,0.231,0.469,0.342,0.355,0.36,4
"No sabe",0.014,0.019,0.009,0.034,0.015,0.002,0.014,0.025,0.013,0.007,0.003,0.009,0.03,0.004,0.012,0.017,0.004,0.021,4
