"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P12","Gran excedente habitual",0,0,0,0,0,0,0.029,0.011,0.013,0.107
"P12","Gran excedente excepcional",0,0,0,0,0,0,0,0,0,0
"P12","Pequeño excedente habitual",0.066,0.017,0.013,0.111,0.108,0.014,0.013,0.026,0.08,0.029
"P12","Pequeño excedente excepcional",0,0.026,0.056,0.194,0.022,0.016,0.064,0.048,0.045,0.058
"P12","Alcanza gastos familia",0.178,0.115,0.235,0.222,0.427,0.131,0.16,0.246,0.179,0.049
"P12","No alcanza gastos familia",0.225,0.183,0.025,0.034,0.032,0.215,0,0.226,0.104,0
"P12","Solo NBFamiliares",0.27,0.355,0.212,0.191,0.223,0.496,0.657,0.219,0.198,0.256
"P12","No alcanza NBFamiliares",0.237,0.304,0.459,0.216,0.188,0.128,0.077,0.224,0.381,0.501
"P12","No sabe",0.024,0,0,0.032,0,0,0,0,0,0
"P13","Muy buena",0.071,0.072,0.117,0.025,0.015,0.02,0,0.038,0.03,0.019
"P13","Buena",0.212,0.331,0.034,0.075,0.221,0.119,0.106,0.037,0.031,0.282
"P13","Ni buena ni mala",0.121,0.272,0.416,0.717,0.283,0.313,0.23,0.103,0.182,0.326
"P13","Mala",0.498,0.129,0.246,0.117,0.323,0.493,0.512,0.581,0.404,0.332
"P13","Muy mala",0.098,0.196,0.047,0.066,0.151,0.055,0.152,0.241,0.353,0.041
"P13","No sabe",0,0,0.14,0,0.007,0,0,0,0,0
"P14","Muy buena",0.432,0.24,0.062,0.233,0.218,0.128,0.148,0.119,0.416,0.207
"P14","Buena",0.066,0.273,0.202,0.019,0.146,0.049,0.034,0.28,0.157,0.099
"P14","Ni buena ni mala",0.177,0.067,0.156,0.476,0.043,0.02,0.187,0.017,0.019,0.22
"P14","Mala",0.054,0.114,0.154,0.114,0.114,0.174,0.267,0.112,0.079,0.105
"P14","Muy mala",0.271,0.306,0.372,0.158,0.472,0.629,0.364,0.472,0.329,0.369
"P14","No sabe",0,0,0.054,0,0.007,0,0,0,0,0
"P15","Muy buena",0.028,0.059,0.099,0,0.023,0,0.027,0,0.029,0.273
"P15","Buena",0.249,0.36,0.142,0.012,0.084,0.028,0.028,0.017,0.086,0.078
"P15","Ni buena ni mala",0.414,0.302,0.371,0.65,0.305,0.502,0.538,0.255,0.16,0.294
"P15","Mala",0.111,0.098,0.171,0.224,0.425,0.378,0.12,0.364,0.312,0.281
"P15","Muy mala",0.18,0.181,0.077,0.114,0.163,0.092,0.287,0.364,0.413,0.074
"P15","No sabe",0.018,0,0.14,0,0,0,0,0,0,0
"P19","Muy buena",0.164,0.12,0.027,0.013,0.022,0,0.027,0.038,0.024,0.166
