"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.085,0.088,0.082,0,0.131,0.089,0.081,0.139,0.094,0.05,0.132,0,0.162,0.194,0.038,0,0,0,6
"Buena",0.147,0.093,0.206,0.03,0.201,0.13,0.204,0.214,0.128,0.137,0.163,0.106,0.331,0.166,0.081,0,0,0,6
"Ni buena ni mala",0.254,0.309,0.193,0.414,0.148,0.273,0.263,0.144,0.341,0.21,0.377,0.081,0.403,0.419,0.155,0,0,0,6
"Mala",0.227,0.189,0.268,0.222,0.226,0.256,0.19,0.305,0.19,0.232,0.212,0.316,0.079,0.162,0.271,0,0,0,6
"Muy mala",0.271,0.313,0.225,0.334,0.283,0.246,0.193,0.198,0.216,0.363,0.099,0.471,0.025,0.048,0.442,0,0,0,6
"No sabe",0.016,0.008,0.026,0,0.011,0.006,0.069,0,0.031,0.008,0.017,0.026,0,0.011,0.013,0,0,0,6
"Positiva",0.232,0.181,0.288,0.03,0.332,0.219,0.285,0.353,0.222,0.187,0.295,0.106,0.493,0.36,0.119,0,0,0,4
"Neutra",0.254,0.309,0.193,0.414,0.148,0.273,0.263,0.144,0.341,0.21,0.377,0.081,0.403,0.419,0.155,0,0,0,4
"Negativa",0.498,0.502,0.493,0.556,0.509,0.502,0.383,0.503,0.406,0.595,0.311,0.787,0.104,0.21,0.713,0,0,0,4
"No sabe",0.016,0.008,0.026,0,0.011,0.006,0.069,0,0.031,0.008,0.017,0.026,0,0.011,0.013,0,0,0,4
