"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P12","Gran excedente habitual",0.006,0.008,0.007,0,0
"P12","Gran excedente excepcional",0,0,0,0,0
"P12","Pequeño excedente habitual",0.031,0.159,0.03,0.096,0
"P12","Pequeño excedente excepcional",0.024,0.026,0.034,0.054,0.066
"P12","Alcanza gastos familia",0.128,0.084,0.358,0.332,0.084
"P12","No alcanza gastos familia",0.172,0.168,0.097,0.107,0.229
"P12","Solo NBFamiliares",0.252,0.254,0.291,0.316,0.288
"P12","No alcanza NBFamiliares",0.387,0.289,0.183,0.095,0.333
"P12","No sabe",0,0.012,0,0,0
"P13","Muy buena",0.039,0.017,0.04,0.079,0.049
"P13","Buena",0.088,0.256,0.078,0.011,0
"P13","Ni buena ni mala",0.268,0.394,0.217,0.128,0.417
"P13","Mala",0.342,0.27,0.45,0.519,0.229
"P13","Muy mala",0.202,0.063,0.215,0.263,0.132
"P13","No sabe",0.061,0,0,0,0.173
"P14","Muy buena",0.008,0.147,0.499,0.621,0
"P14","Buena",0.002,0.06,0.42,0.126,0
"P14","Ni buena ni mala",0.018,0.162,0.015,0.169,0.17
"P14","Mala",0.141,0.309,0.045,0.01,0.459
"P14","Muy mala",0.831,0.322,0.006,0.074,0.322
"P14","No sabe",0,0,0.015,0,0.049
"P15","Muy buena",0.062,0,0.027,0.036,0
"P15","Buena",0.107,0.151,0.139,0.081,0.229
"P15","Ni buena ni mala",0.274,0.343,0.286,0.213,0.466
"P15","Mala",0.193,0.267,0.379,0.264,0.049
"P15","Muy mala",0.3,0.239,0.169,0.406,0.132
"P15","No sabe",0.064,0,0,0,0.124
"P19","Muy buena",0.034,0.054,0.02,0.056,0
"P19","Buena",0.146,0.178,0.085,0.011,0.279
"P19","Ni buena ni mala",0.355,0.432,0.296,0.163,0.311
"P19","Mala",0.241,0.192,0.405,0.397,0.229
"P19","Muy mala",0.221,0.025,0.174,0.363,0.132
"P19","No sabe",0.003,0.119,0.02,0.01,0.049
"P20","Gobierno nacional",0.577,0.449,0.087,0.062,0.236
"P20","Gobierno provincial",0.239,0.441,0.842,0.894,0.132
"P20","No sabe",0.184,0.11,0.071,0.044,0.632
"P21","El anterior gobierno de Arabela Carreras",0.204,0.234,0.41,0.364,1
"P21","El actual gobierno de Alberto Weretilneck",0.403,0.395,0.423,0.604,0
"P21","No sabe",0.393,0.371,0.167,0.032,0
"P22","El anterior gobierno de Alberto Fernández",0.017,0.052,0.99,1,0
"P22","El actual gobierno de Javier Milei",0.883,0.934,0.005,0,1
"P22","No sabe",0.1,0.014,0.005,0,0
"P23","Empleado sector publico",0.157,0.151,0.115,0.193,0
"P23","Empleado sector privado",0.256,0.26,0.298,0.131,0.562
"P23","Changas o trabajos eventuales",0.167,0.119,0.272,0.112,0
"P23","Estudiante",0.045,0.119,0.003,0.167,0
"P23","Amas de casa",0.023,0.152,0.024,0.092,0
"P23","Profesional o independiente",0.156,0.063,0.18,0.132,0.199
"P23","Comerciante, emprendedor o empresario",0.012,0.053,0.058,0.035,0.066
"P23","Trabajador informal",0.005,0.03,0.015,0.011,0
"P23","No tengo trabajo",0.179,0.053,0.035,0.127,0.173
"P24","Muy de acuerdo",0.185,0.041,0.128,0.07,0.279
"P24","De acuerdo",0.21,0.258,0.271,0.184,0
"P24","Ni de acuerdo ni en desacuerdo",0.306,0.396,0.384,0.406,0.416
"P24","En desacuerdo",0.094,0.243,0.066,0.199,0.132
"P24","Muy en desacuerdo",0.201,0.027,0.139,0.136,0
"P24","No sabe",0.004,0.035,0.012,0.005,0.173
"P25","Muy de acuerdo",0.015,0,0.14,0.431,0
"P25","De acuerdo",0.023,0.163,0.269,0.227,0.229
"P25","Ni de acuerdo ni en desacuerdo",0.043,0.053,0.425,0.264,0.483
"P25","En desacuerdo",0.572,0.601,0.078,0.057,0.115
"P25","Muy en desacuerdo",0.344,0.17,0.088,0.021,0.049
"P25","No sabe",0.003,0.013,0,0,0.124
"P26","Si",0.629,0.464,0.669,0.934,0.285
"P26","No",0.371,0.536,0.331,0.066,0.715
"P27","Muy de acuerdo",0.083,0.022,0.308,0.394,0.104
"P27","De acuerdo",0.06,0.267,0.129,0.151,0.278
"P27","Ni de acuerdo ni en desacuerdo",0.071,0.203,0.424,0.272,0.494
"P27","En desacuerdo",0.399,0.426,0.102,0.126,0
"P27","Muy en desacuerdo",0.387,0.07,0.037,0.057,0.124
"P27","No sabe",0,0.012,0,0,0
"P28","Si",0.599,0.52,0.898,0.944,0.492
"P28","No",0.401,0.48,0.102,0.056,0.508
"P29","Muy de acuerdo",0.045,0.032,0.264,0.34,0.236
"P29","De acuerdo",0.079,0.322,0.424,0.295,0.229
"P29","Ni de acuerdo ni en desacuerdo",0.13,0.226,0.247,0.137,0.083
"P29","En desacuerdo",0.449,0.301,0.04,0.04,0.173
"P29","Muy en desacuerdo",0.291,0.119,0.006,0.079,0
"P29","No sabe",0.006,0,0.019,0.109,0.279
"P30","No estaba enterado",0.207,0.201,0.111,0.125,0.885
"P30","De acuerdo",0.017,0.335,0.725,0.86,0.066
"P30","En desacuerdo",0.689,0.384,0.127,0,0.049
"P30","No sabe",0.087,0.08,0.037,0.015,0
"P31","No tengo cable ni internet",0.163,0.16,0.105,0.125,0.104
"P31","Si tuve",0.5,0.475,0.566,0.698,0.327
"P31","No tuve",0.337,0.365,0.329,0.177,0.569
"P32","Reclamando directamente a la empresa",0.219,0.128,0.246,0.187,0.172
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.311,0.54,0.406,0.308,0.828
"P32","Nunca se pudo resolver",0.47,0.332,0.348,0.505,0
"P33","1-Excelente",0.082,0.028,0.061,0.177,0
"P33","2",0.039,0.261,0.162,0.059,0.229
"P33","3",0.08,0.084,0.047,0.073,0
"P33","4",0.034,0.017,0.035,0,0.049
"P33","5",0.133,0.125,0.166,0.264,0.362
"P33","6",0.065,0.08,0.02,0.019,0
"P33","7",0.077,0.027,0.023,0,0
"P33","8",0.144,0.257,0.033,0.118,0
"P33","9-Pésimo",0.268,0.078,0.453,0.241,0.132
"P33","No sabe",0.078,0.043,0,0.049,0.228
"P34","1-Excelente",0.119,0.136,0.064,0.28,0
"P34","2",0.026,0.194,0.138,0.06,0.229
"P34","3",0.096,0.016,0.058,0.03,0.452
"P34","4",0.022,0.146,0.048,0.047,0
"P34","5",0.098,0.088,0.113,0.196,0.083
"P34","6",0.025,0.063,0.088,0.008,0
"P34","7",0.029,0.026,0.018,0.011,0
"P34","8",0.128,0.014,0.082,0.087,0
"P34","9-Pésimo",0.439,0.273,0.38,0.266,0.132
"P34","No sabe",0.018,0.044,0.011,0.015,0.104
"P35","1-Excelente",0.039,0.027,0.109,0.201,0
"P35","2",0.064,0.215,0.126,0.027,0.23
"P35","3",0.165,0.104,0.071,0.061,0.353
"P35","4",0.028,0.143,0.034,0.086,0.049
"P35","5",0.086,0.139,0.121,0.239,0.049
"P35","6",0.128,0.048,0.017,0.018,0
"P35","7",0.076,0.053,0.01,0.102,0
"P35","8",0.11,0.039,0.106,0.044,0
"P35","9-Pésimo",0.252,0.169,0.388,0.207,0.132
"P35","No sabe",0.052,0.063,0.018,0.015,0.187
"P36","1-Excelente",0.102,0.199,0.03,0.163,0
"P36","2",0.074,0.114,0.176,0.122,0.459
"P36","3",0.026,0.048,0.071,0.023,0.124
"P36","4",0.031,0.169,0.015,0.019,0.098
"P36","5",0.142,0.107,0.213,0.341,0
"P36","6",0.035,0.053,0.104,0.024,0
"P36","7",0.03,0.038,0.008,0.043,0
"P36","8",0.149,0.148,0.041,0.014,0
"P36","9-Pésimo",0.36,0.08,0.324,0.225,0.132
"P36","No sabe",0.051,0.044,0.018,0.026,0.187
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.92,0.507,0.048,0.035,0.236
