"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.071,0.049,0.095,0.079,0.04,0.098,0.092,0.04,0.083,0.073,0.159,0.02,0,0.114,0.064,0,0,0,6
"Buena",0.135,0.095,0.177,0,0.147,0.16,0.249,0.163,0.112,0.145,0.272,0.05,0.134,0.162,0.104,0,0,0,6
"Ni buena ni mala",0.261,0.279,0.241,0.253,0.226,0.245,0.39,0.265,0.23,0.293,0.296,0.184,0.409,0.356,0.194,0,0,0,6
"Mala",0.319,0.337,0.3,0.334,0.351,0.358,0.152,0.333,0.367,0.261,0.186,0.485,0.351,0.218,0.43,0,0,0,6
"Muy mala",0.214,0.24,0.187,0.334,0.236,0.139,0.117,0.199,0.208,0.228,0.087,0.261,0.106,0.15,0.208,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.206,0.144,0.272,0.079,0.187,0.258,0.341,0.203,0.195,0.218,0.431,0.07,0.134,0.276,0.168,0,0,0,4
"Neutra",0.261,0.279,0.241,0.253,0.226,0.245,0.39,0.265,0.23,0.293,0.296,0.184,0.409,0.356,0.194,0,0,0,4
"Negativa",0.533,0.577,0.487,0.668,0.587,0.497,0.269,0.532,0.575,0.489,0.273,0.746,0.457,0.368,0.638,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
