"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P12","Gran excedente habitual",0.008,0.005,0,0.005,0
"P12","Gran excedente excepcional",0,0,0,0,0
"P12","Pequeño excedente habitual",0.038,0.118,0.093,0.029,0
"P12","Pequeño excedente excepcional",0.021,0.042,0.034,0.051,0
"P12","Alcanza gastos familia",0.093,0.246,0.316,0.408,0.213
"P12","No alcanza gastos familia",0.164,0.229,0.013,0.099,0.154
"P12","Solo NBFamiliares",0.253,0.279,0.278,0.31,0.228
"P12","No alcanza NBFamiliares",0.423,0.071,0.253,0.098,0.405
"P12","No sabe",0,0.01,0.013,0,0
"P13","Muy buena",0.065,0,0.035,0.037,0
"P13","Buena",0.087,0.197,0.081,0.051,0
"P13","Ni buena ni mala",0.368,0.233,0.11,0.1,1
"P13","Mala",0.307,0.382,0.605,0.417,0
"P13","Muy mala",0.173,0.07,0.169,0.395,0
"P13","No sabe",0,0.118,0,0,0
"P14","Muy buena",0.026,0.263,0.734,0.462,0
"P14","Buena",0.007,0.324,0.163,0.339,0.213
"P14","Ni buena ni mala",0.051,0.064,0.083,0.095,0.252
"P14","Mala",0.193,0.164,0.02,0.027,0.13
"P14","Muy mala",0.723,0.181,0,0.077,0
"P14","No sabe",0,0.004,0,0,0.405
"P15","Muy buena",0.066,0.01,0.035,0,0
"P15","Buena",0.089,0.303,0.007,0.087,0.405
"P15","Ni buena ni mala",0.332,0.25,0.28,0.189,0.536
"P15","Mala",0.22,0.146,0.362,0.477,0.059
"P15","Muy mala",0.29,0.177,0.316,0.247,0
"P15","No sabe",0.003,0.114,0,0,0
"P19","Muy buena",0.039,0.034,0.035,0.033,0
"P19","Buena",0.181,0.099,0.039,0.053,0
"P19","Ni buena ni mala",0.344,0.502,0.217,0.14,0.343
"P19","Mala",0.254,0.199,0.504,0.38,0.252
"P19","Muy mala",0.179,0.058,0.205,0.377,0
"P19","No sabe",0.003,0.108,0,0.017,0.405
"P20","Gobierno nacional",0.638,0.167,0.013,0.031,0.07
"P20","Gobierno provincial",0.185,0.738,0.9,0.931,0.445
"P20","No sabe",0.177,0.095,0.087,0.038,0.485
"P21","El anterior gobierno de Arabela Carreras",0.294,0.224,0.316,0.494,0.577
"P21","El actual gobierno de Alberto Weretilneck",0.515,0.265,0.595,0.483,0
"P21","No sabe",0.191,0.511,0.089,0.023,0.423
"P22","El anterior gobierno de Alberto Fernández",0.097,0.93,1,0.545,1
"P22","El actual gobierno de Javier Milei",0.828,0.064,0,0.455,0
"P22","No sabe",0.075,0.006,0,0,0
"P23","Empleado sector publico",0.178,0.052,0.132,0.18,0.154
"P23","Empleado sector privado",0.238,0.296,0.261,0.262,0.098
"P23","Changas o trabajos eventuales",0.173,0.233,0.18,0.156,0
"P23","Estudiante",0.036,0.104,0.149,0,0
"P23","Amas de casa",0.078,0.051,0,0.063,0.133
