"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.174,0.097,0.237,0.195,0.193,0.161,0.12,0.186,0.162,0.183,0.238,0.128,0.089,0.196,0.154,0,0,0
"2",0.079,0.054,0.1,0.084,0.077,0.05,0.128,0.114,0.077,0.068,0.123,0.069,0.043,0.074,0.074,0,0,0
"3",0.055,0.065,0.047,0.109,0.02,0.074,0.061,0,0.067,0.062,0.071,0.06,0,0.051,0.065,0,0,0
"4",0.068,0.08,0.058,0,0.085,0.039,0.146,0.069,0.081,0.052,0.071,0.04,0.047,0.067,0.084,0,0,0
"5",0.127,0.101,0.147,0.061,0.082,0.189,0.213,0.039,0.164,0.116,0.085,0.186,0.391,0.13,0.165,0,0,0
"6",0.035,0.04,0.032,0.036,0.018,0.064,0.034,0,0.02,0.066,0.041,0.042,0,0.042,0.018,0,0,0
"7",0.022,0.03,0.015,0,0.018,0.04,0.023,0,0.017,0.035,0.03,0.019,0.015,0.033,0.012,0,0,0
"8",0.084,0.11,0.062,0.062,0.137,0.042,0.033,0.119,0.069,0.088,0.097,0.092,0,0.088,0.092,0,0,0
"9-Pésimo",0.313,0.386,0.254,0.369,0.334,0.315,0.194,0.38,0.305,0.3,0.203,0.281,0.415,0.295,0.304,0,0,0
"No sabe",0.043,0.037,0.048,0.084,0.036,0.026,0.048,0.093,0.038,0.03,0.041,0.083,0,0.024,0.032,0,0,0
