"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Inseguridad y narcotráfico",0.354,0.359,0.348,0.446,0.313,0.389,0.266,0.502,0.426,0.208,0.453,0.231,0.421,0.581,0.122,0,0,0
"Altos impuestos y tarifas",0.166,0.135,0.2,0.03,0.228,0.129,0.265,0.191,0.205,0.114,0.219,0.217,0.214,0.099,0.211,0,0,0
"Educación y estado de las escuelas",0.194,0.227,0.159,0.112,0.238,0.201,0.191,0.241,0.191,0.176,0.132,0.248,0.11,0.067,0.355,0,0,0
"Inflación",0.09,0.046,0.138,0.078,0.078,0.116,0.095,0,0.045,0.18,0.116,0.125,0.083,0.124,0.103,0,0,0
"Estado de la salud",0.138,0.18,0.093,0.334,0.079,0.103,0.072,0,0.088,0.255,0.049,0.151,0.172,0.08,0.178,0,0,0
"Corrupción",0.028,0.024,0.031,0,0.041,0.037,0.016,0,0.026,0.042,0.004,0.024,0,0.028,0.021,0,0,0
"Pobreza",0.002,0.003,0,0,0,0.003,0.004,0,0,0.004,0.002,0.004,0,0.002,0.002,0,0,0
"Medio ambiente, incendios y contaminación",0.006,0,0.012,0,0.009,0.008,0,0,0.005,0.009,0.005,0,0,0.016,0,0,0,0
"Falta de trabajo",0.006,0.003,0.01,0,0.003,0.014,0.011,0,0.004,0.012,0.009,0,0,0.003,0.008,0,0,0
"No sabe",0.016,0.023,0.009,0,0.011,0,0.08,0.066,0.01,0,0.011,0,0,0,0,0,0,0
