"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.176,0.16,0.193,0.191,0.152,0.195,0.181,0.146,0.17,0.196,0.295,0.016,0.372,0.451,0.038,0,0,0,6
"Buena",0.132,0.119,0.147,0.03,0.188,0.11,0.172,0.307,0.081,0.106,0.199,0.014,0.255,0.203,0.029,0,0,0,6
"Ni buena ni mala",0.115,0.157,0.07,0.223,0.107,0.093,0.024,0,0.2,0.077,0.146,0.035,0.018,0.172,0.035,0,0,0,6
"Mala",0.175,0.146,0.206,0.111,0.155,0.244,0.199,0.305,0.149,0.143,0.123,0.273,0.202,0.033,0.231,0,0,0,6
"Muy mala",0.397,0.418,0.373,0.445,0.398,0.337,0.424,0.242,0.387,0.478,0.237,0.637,0.153,0.141,0.654,0,0,0,6
"No sabe",0.005,0,0.011,0,0,0.021,0,0,0.013,0,0,0.025,0,0,0.013,0,0,0,6
"Positiva",0.308,0.279,0.34,0.221,0.34,0.305,0.353,0.453,0.251,0.302,0.494,0.03,0.627,0.654,0.067,0,0,0,4
"Neutra",0.115,0.157,0.07,0.223,0.107,0.093,0.024,0,0.2,0.077,0.146,0.035,0.018,0.172,0.035,0,0,0,4
"Negativa",0.572,0.564,0.579,0.556,0.553,0.581,0.623,0.547,0.536,0.621,0.36,0.91,0.355,0.174,0.885,0,0,0,4
"No sabe",0.005,0,0.011,0,0,0.021,0,0,0.013,0,0,0.025,0,0,0.013,0,0,0,4
