"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P12","Gran excedente habitual",0.065,0.013,0.002,0.006,0.004,0
"P12","Gran excedente excepcional",0,0,0,0,0,0
"P12","Pequeño excedente habitual",0.033,0.052,0.034,0.098,0.061,0
"P12","Pequeño excedente excepcional",0.036,0.018,0.059,0.015,0.095,0
"P12","Alcanza gastos familia",0.228,0.159,0.198,0.178,0.132,0
"P12","No alcanza gastos familia",0.032,0.152,0.09,0.15,0.056,0
"P12","Solo NBFamiliares",0.413,0.197,0.347,0.264,0.184,1
"P12","No alcanza NBFamiliares",0.193,0.409,0.26,0.282,0.468,0
"P12","No sabe",0,0,0.01,0.007,0,0
"P13","Muy buena",0.084,0.124,0.028,0.069,0.005,0.304
"P13","Buena",0.062,0.24,0.153,0.152,0.023,0
"P13","Ni buena ni mala",0.103,0.271,0.349,0.271,0.386,0.696
"P13","Mala",0.485,0.31,0.278,0.386,0.225,0
"P13","Muy mala",0.224,0.055,0.164,0.111,0.292,0
"P13","No sabe",0.042,0,0.028,0.011,0.069,0
"P14","Muy buena",0.563,0.315,0.264,0.145,0.023,0
"P14","Buena",0.221,0.29,0.201,0.041,0.023,0
"P14","Ni buena ni mala",0.045,0.171,0.213,0.088,0.144,0.696
"P14","Mala",0.023,0.082,0.105,0.214,0.07,0.304
"P14","Muy mala",0.148,0.142,0.193,0.501,0.706,0
"P14","No sabe",0,0,0.024,0.011,0.034,0
"P15","Muy buena",0.049,0.127,0.03,0.038,0.07,0
"P15","Buena",0.025,0.159,0.156,0.117,0.085,0.304
"P15","Ni buena ni mala",0.332,0.344,0.458,0.387,0.242,0
"P15","Mala",0.316,0.217,0.223,0.19,0.177,0
"P15","Muy mala",0.248,0.153,0.104,0.26,0.329,0.696
"P15","No sabe",0.03,0,0.029,0.008,0.097,0
"P19","Muy buena",0.12,0.032,0.104,0.106,0,0
"P19","Buena",0.031,0.161,0.128,0.17,0.066,1
"P19","Ni buena ni mala",0.197,0.3,0.378,0.375,0.427,0
"P19","Mala",0.34,0.38,0.25,0.241,0.161,0
"P19","Muy mala",0.248,0.061,0.123,0.103,0.305,0
"P19","No sabe",0.064,0.066,0.017,0.005,0.041,0
"P20","Gobierno nacional",0.172,0.22,0.157,0.517,0.44,0.304
"P20","Gobierno provincial",0.728,0.688,0.569,0.293,0.27,0.696
"P20","No sabe",0.1,0.092,0.274,0.19,0.29,0
"P21","El anterior gobierno de Arabela Carreras",0.556,0.224,0.311,0.309,0.113,1
"P21","El actual gobierno de Alberto Weretilneck",0.409,0.578,0.506,0.376,0.482,0
"P21","No sabe",0.035,0.198,0.183,0.315,0.405,0
"P22","El anterior gobierno de Alberto Fernández",0.363,0.211,0.359,0.193,0.309,0
"P22","El actual gobierno de Javier Milei",0.157,0.789,0.631,0.789,0.683,1
"P22","No sabe",0.48,0,0.01,0.018,0.008,0
"P23","Empleado sector publico",0.193,0.162,0.113,0.168,0.118,0
"P23","Empleado sector privado",0.236,0.24,0.226,0.199,0.239,0.304
