"var","categoria","Reclamando directamente a la empresa","Reclamando en el Enacom porque la empresa nunca lo resolvió","Nunca se pudo resolver"
"P12","Gran excedente habitual",0,0.009,0.007
"P12","Gran excedente excepcional",0,0,0
"P12","Pequeño excedente habitual",0.041,0.006,0.011
"P12","Pequeño excedente excepcional",0.017,0.025,0.051
"P12","Alcanza gastos familia",0.285,0.188,0.078
"P12","No alcanza gastos familia",0.027,0.152,0.254
"P12","Solo NBFamiliares",0.204,0.392,0.364
"P12","No alcanza NBFamiliares",0.426,0.215,0.221
"P12","No sabe",0,0.013,0.014
"P13","Muy buena",0.15,0.003,0.016
"P13","Buena",0.357,0.161,0.101
"P13","Ni buena ni mala",0.188,0.286,0.245
"P13","Mala",0.194,0.323,0.466
"P13","Muy mala",0.111,0.224,0.172
"P13","No sabe",0,0.003,0
"P14","Muy buena",0.255,0.285,0.318
"P14","Buena",0.076,0.204,0.101
"P14","Ni buena ni mala",0.241,0.025,0.071
"P14","Mala",0.056,0.13,0.104
"P14","Muy mala",0.355,0.353,0.406
"P14","No sabe",0.017,0.003,0
"P15","Muy buena",0.137,0.01,0.016
"P15","Buena",0.146,0.198,0.131
"P15","Ni buena ni mala",0.358,0.287,0.355
"P15","Mala",0.263,0.215,0.209
"P15","Muy mala",0.088,0.29,0.289
"P15","No sabe",0.008,0,0
"P19","Muy buena",0.377,0.02,0.038
"P19","Buena",0.067,0.111,0.124
"P19","Ni buena ni mala",0.279,0.221,0.234
"P19","Mala",0.181,0.26,0.427
"P19","Muy mala",0.079,0.301,0.171
"P19","No sabe",0.017,0.087,0.006
"P20","Gobierno nacional",0.261,0.386,0.331
"P20","Gobierno provincial",0.466,0.456,0.64
"P20","No sabe",0.273,0.158,0.029
"P21","El anterior gobierno de Arabela Carreras",0.363,0.199,0.527
"P21","El actual gobierno de Alberto Weretilneck",0.518,0.764,0.357
"P21","No sabe",0.119,0.037,0.116
"P22","El anterior gobierno de Alberto Fernández",0,0.431,0.301
"P22","El actual gobierno de Javier Milei",0.995,0.569,0.699
"P22","No sabe",0.005,0,0
"P23","Empleado sector publico",0.133,0.09,0.121
"P23","Empleado sector privado",0.196,0.404,0.289
"P23","Changas o trabajos eventuales",0.092,0.1,0.266
"P23","Estudiante",0,0.08,0.075
"P23","Amas de casa",0.034,0.043,0.011
"P23","Profesional o independiente",0.299,0.12,0.11
"P23","Comerciante, emprendedor o empresario",0.012,0.048,0.034
"P23","Trabajador informal",0.022,0.003,0.012
"P23","No tengo trabajo",0.212,0.112,0.082
"P24","Muy de acuerdo",0.221,0.074,0.208
"P24","De acuerdo",0.379,0.287,0.192
"P24","Ni de acuerdo ni en desacuerdo",0.113,0.309,0.219
"P24","En desacuerdo",0.165,0.106,0.198
"P24","Muy en desacuerdo",0.099,0.205,0.172
"P24","No sabe",0.023,0.019,0.011
"P25","Muy de acuerdo",0.171,0.111,0.203
"P25","De acuerdo",0.222,0.14,0.089
"P25","Ni de acuerdo ni en desacuerdo",0.173,0.231,0.195
"P25","En desacuerdo",0.261,0.159,0.275
"P25","Muy en desacuerdo",0.173,0.359,0.238
"P25","No sabe",0,0,0
"P26","Si",0.438,0.577,0.869
"P26","No",0.562,0.423,0.131
"P27","Muy de acuerdo",0.191,0.154,0.238
"P27","De acuerdo",0.179,0.123,0.091
"P27","Ni de acuerdo ni en desacuerdo",0.194,0.321,0.223
"P27","En desacuerdo",0.3,0.236,0.214
"P27","Muy en desacuerdo",0.136,0.166,0.23
"P27","No sabe",0,0,0.004
"P28","Si",0.518,0.653,0.885
"P28","No",0.482,0.347,0.115
"P29","Muy de acuerdo",0.055,0.062,0.235
"P29","De acuerdo",0.352,0.238,0.116
"P29","Ni de acuerdo ni en desacuerdo",0.175,0.217,0.19
"P29","En desacuerdo",0.313,0.249,0.229
"P29","Muy en desacuerdo",0.082,0.132,0.23
"P29","No sabe",0.023,0.102,0
"P30","No estaba enterado",0.382,0.099,0.14
"P30","De acuerdo",0.305,0.462,0.434
"P30","En desacuerdo",0.297,0.334,0.405
"P30","No sabe",0.016,0.105,0.021
"P33","1-Excelente",0.093,0.113,0.125
"P33","2",0.328,0.114,0.179
"P33","3",0.017,0.078,0.057
"P33","4",0.168,0.012,0.022
"P33","5",0.092,0.186,0.098
"P33","6",0.046,0.022,0.028
"P33","7",0.016,0.133,0.038
"P33","8",0.081,0.05,0.13
"P33","9-Pésimo",0.15,0.289,0.319
"P33","No sabe",0.009,0.003,0.004
"P34","1-Excelente",0.255,0.144,0.121
"P34","2",0.176,0.113,0.124
"P34","3",0.031,0.028,0.075
"P34","4",0.076,0.072,0.042
"P34","5",0.103,0.18,0.045
"P34","6",0.03,0.032,0.009
"P34","7",0.082,0.022,0.006
"P34","8",0.095,0.106,0.155
"P34","9-Pésimo",0.151,0.287,0.419
"P34","No sabe",0.001,0.016,0.004
"P35","1-Excelente",0.256,0.087,0.187
"P35","2",0.162,0.198,0.086
"P35","3",0.032,0.033,0.075
"P35","4",0.093,0.039,0.033
"P35","5",0.109,0.161,0.053
"P35","6",0.02,0.026,0.111
"P35","7",0.054,0.109,0.095
"P35","8",0.029,0.032,0.052
"P35","9-Pésimo",0.162,0.303,0.281
"P35","No sabe",0.083,0.012,0.027
"P36","1-Excelente",0.1,0.163,0.143
"P36","2",0.244,0.12,0.145
"P36","3",0.177,0.026,0.027
"P36","4",0.093,0.025,0.012
