"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.118,0.072,0.163,0.14,0.138,0.099,0.074,0.176,0.096,0.116,0.163,0.106,0.056,0.137,0.094,0,0,0
"2",0.119,0.104,0.134,0.088,0.085,0.136,0.217,0.133,0.151,0.08,0.145,0.147,0.036,0.154,0.135,0,0,0
"3",0.064,0.034,0.093,0.088,0.039,0.081,0.065,0,0.055,0.102,0.113,0.043,0.06,0.028,0.077,0,0,0
"4",0.054,0.025,0.082,0,0.039,0.094,0.094,0.072,0.049,0.051,0.069,0.045,0.108,0.084,0.032,0,0,0
"5",0.175,0.223,0.128,0.238,0.18,0.138,0.141,0.096,0.225,0.158,0.162,0.19,0.104,0.152,0.246,0,0,0
"6",0.055,0.068,0.043,0.089,0.032,0.076,0.034,0,0.042,0.094,0.046,0.027,0.03,0.044,0.033,0,0,0
"7",0.025,0.026,0.023,0,0.026,0.03,0.046,0,0.024,0.036,0.019,0.004,0.102,0.038,0.021,0,0,0
"8",0.081,0.103,0.06,0.235,0.042,0.044,0.037,0,0.122,0.075,0.112,0.009,0,0.119,0.023,0,0,0
"9-Pésimo",0.259,0.317,0.204,0.122,0.356,0.262,0.194,0.485,0.183,0.238,0.11,0.395,0.339,0.183,0.292,0,0,0
"No sabe",0.05,0.028,0.07,0,0.063,0.04,0.098,0.038,0.053,0.05,0.061,0.034,0.165,0.061,0.047,0,0,0
