"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.063,0.062,0.063,0.043,0.045,0.086,0.097,0.089,0.083,0.027,0.073,0.091,0.085,0.07,0.071,0,0,0,6
"Buena",0.113,0.107,0.119,0.142,0.096,0.074,0.204,0.154,0.102,0.109,0.178,0.046,0.055,0.087,0.083,0,0,0,6
"Ni buena ni mala",0.357,0.349,0.362,0.389,0.343,0.341,0.389,0.333,0.356,0.367,0.42,0.345,0.537,0.395,0.337,0,0,0,6
"Mala",0.214,0.188,0.233,0.101,0.233,0.245,0.223,0.179,0.209,0.236,0.163,0.238,0.172,0.216,0.234,0,0,0,6
"Muy mala",0.212,0.242,0.191,0.267,0.247,0.219,0.042,0.201,0.197,0.236,0.127,0.228,0.071,0.176,0.233,0,0,0,6
"No sabe",0.041,0.052,0.032,0.058,0.036,0.035,0.045,0.044,0.053,0.025,0.039,0.052,0.08,0.056,0.042,0,0,0,6
"Positiva",0.176,0.169,0.182,0.185,0.141,0.16,0.301,0.243,0.185,0.136,0.251,0.137,0.14,0.157,0.154,0,0,0,4
"Neutra",0.357,0.349,0.362,0.389,0.343,0.341,0.389,0.333,0.356,0.367,0.42,0.345,0.537,0.395,0.337,0,0,0,4
"Negativa",0.426,0.43,0.424,0.368,0.48,0.464,0.265,0.38,0.406,0.472,0.29,0.466,0.243,0.392,0.467,0,0,0,4
"No sabe",0.041,0.052,0.032,0.058,0.036,0.035,0.045,0.044,0.053,0.025,0.039,0.052,0.08,0.056,0.042,0,0,0,4
