"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.345,0.41,0.411
"P04","Realizo changas o trabajos de vez en cuando",0.348,0.255,0.16
"P04","No tengo trabajo",0.153,0.131,0.148
"P04","Soy jubilado o pensionado",0.154,0.204,0.281
"P05","1",0.31,0.44,0.378
"P05","2",0.187,0.046,0.096
"P05","3",0.056,0.078,0.041
"P05","4",0.061,0.067,0.07
"P05","5",0.162,0.159,0.209
"P05","6",0.022,0.025,0.045
"P05","7",0.029,0.048,0.05
"P05","8",0.024,0.035,0.018
"P05","9",0.149,0.102,0.093
"P06","1",0.331,0.157,0.175
"P06","2",0.094,0.048,0.075
"P06","3",0.018,0.017,0.024
"P06","4",0.011,0.028,0.045
"P06","5",0.09,0.151,0.183
"P06","6",0.015,0.037,0.067
"P06","7",0.081,0.103,0.085
"P06","8",0.077,0.087,0.085
"P06","9",0.283,0.372,0.261
"P07","1",0.319,0.249,0.25
"P07","2",0.039,0.041,0.047
"P07","3",0.042,0.013,0.036
"P07","4",0.035,0.033,0.01
"P07","5",0.103,0.112,0.146
"P07","6",0.011,0.054,0.023
"P07","7",0.003,0.07,0.061
"P07","8",0.043,0.039,0.026
"P07","9",0.405,0.389,0.401
"P12","A Horacio Rodriguez Larreta",0.311,0.164,0.213
"P12","A Mauricio Macri",0.26,0.416,0.301
"P12","A Patricia Bullrich",0.329,0.356,0.343
"P12","A Facundo Manes",0.1,0.05,0.097
"P12","A Gerardo Morales",0,0.014,0.046
"P14","Lo votaría",0.551,0.564,0.48
"P14","Puede que lo vote",0.293,0.325,0.245
"P14","Nunca lo votaría",0.151,0.091,0.259
"P14","No sabe",0.005,0.02,0.016
"P15","Lo votaría",0.158,0.073,0.067
"P15","Puede que lo vote",0.107,0.061,0.108
"P15","Nunca lo votaría",0.731,0.857,0.798
"P15","No sabe",0.004,0.009,0.027
"P16","Lo votaría",0.095,0.021,0.056
"P16","Puede que lo vote",0.025,0.051,0.049
"P16","Nunca lo votaría",0.862,0.909,0.885
"P16","No sabe",0.018,0.019,0.01
"P17","La votaría",0.103,0.036,0.079
"P17","Puede que la vote",0.039,0.044,0.014
"P17","Nunca la votaría",0.844,0.915,0.901
"P17","No sabe",0.014,0.005,0.006
"P18","Lo votaría",0.474,0.252,0.332
"P18","Puede que lo vote",0.324,0.429,0.362
"P18","Nunca lo votaría",0.164,0.276,0.276
"P18","No sabe",0.038,0.043,0.03
"P19","Lo votaría",0.252,0.116,0.089
"P19","Puede que lo vote",0.178,0.328,0.256
"P19","Nunca lo votaría",0.521,0.494,0.575
"P19","No sabe",0.049,0.062,0.08
"P20","La votaría",0.56,0.56,0.519
"P20","Puede que la vote",0.18,0.259,0.246
"P20","Nunca la votaría",0.236,0.172,0.205
"P20","No sabe",0.024,0.009,0.03
"P21","Lo votaría",0.411,0.088,0.049
"P21","Puede que lo vote",0.426,0.628,0.123
"P21","Nunca lo votaría",0.159,0.239,0.759
"P21","No sabe",0.004,0.045,0.069
"P22","La votaría",0.353,0.268,0.228
"P22","Puede que la vote",0.286,0.508,0.357
"P22","Nunca la votaría",0.341,0.185,0.355
"P22","No sabe",0.02,0.039,0.06
"P23","Lo votaría",0.129,0.047,0.048
"P23","Puede que lo vote",0.003,0.1,0.085
"P23","Nunca lo votaría",0.85,0.84,0.849
"P23","No sabe",0.018,0.013,0.018
"P24","Lo votaría",0.029,0.076,0.041
"P24","Puede que lo vote",0.314,0.298,0.264
"P24","Nunca lo votaría",0.558,0.564,0.632
"P24","No sabe",0.099,0.062,0.063
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.019,0.013,0.083
"P26","Alberto Fernández por el Frente de Todos",0,0,0.003
"P26","Mauricio Macri por Juntos por el cambio",0.215,0.389,0.304
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.263,0.18,0.208
"P26","Patricia Bullrich por Juntos por el Cambio",0.361,0.333,0.341
"P26","Facundo Manes por Juntos por el Cambio",0.041,0.048,0.05
"P26","Javier Milei por los liberales libertarios",0.066,0.008,0
"P26","Nicolás del Caño por la izquierda",0,0,0
