"var","categoria","Muy de derecha","De derecha","De centro","De centro izquierda","Muy de izquierda"
"P05","Sergio Massa por el Frente de Todos",0.366,0.174,0.088,0.199,0.184
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.068,0.134,0.159,0.132,0.088
"P05","Patricia Bulrich por Juntos por el Cambio",0.082,0.279,0.325,0.141,0.109
"P05","Javier Milei por La Libertad Avanza",0.232,0.234,0.285,0.392,0.413
"P05","Al candidato del Frente de Izquierda",0.048,0.031,0.012,0.03,0.028
"P05","No sabe",0.204,0.148,0.131,0.106,0.178
"P09","Si, habitualmente",0.289,0.234,0.21,0.178,0.16
"P09","Algunas veces",0.328,0.415,0.452,0.356,0.381
"P09","Nunca, pero esta es una excepción",0.383,0.351,0.338,0.466,0.459
"P10","Si",0.52,0.494,0.439,0.432,0.434
"P10","No",0.48,0.506,0.561,0.568,0.566
"P11","La política no sirve para nada",0.168,0.177,0.123,0.125,0.198
"P11","La política no me interesa",0.144,0.087,0.098,0.075,0.197
"P11","La política me interesa poco",0.093,0.12,0.14,0.197,0.121
"P11","La política me interesa",0.194,0.226,0.322,0.262,0.126
"P11","La política es muy importante",0.364,0.362,0.292,0.306,0.282
"P11","No sabe",0.037,0.028,0.025,0.035,0.076
"P12","Nunca",0.531,0.63,0.661,0.591,0.638
"P12","A veces",0.275,0.234,0.234,0.266,0.141
"P12","Siempre",0.123,0.082,0.05,0.11,0.151
"P12","No sabe",0.071,0.054,0.055,0.033,0.07
"P13","Los políticos son todos ladrones y corruptos",0.262,0.261,0.205,0.356,0.309
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.191,0.185,0.214,0.223,0.221
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.239,0.345,0.375,0.221,0.309
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.173,0.112,0.124,0.125,0.054
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.109,0.065,0.029,0.038,0.068
"P13","No sabe",0.026,0.032,0.053,0.037,0.039
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.234,0.23,0.269,0.313,0.227
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.163,0.153,0.157,0.188,0.156
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.164,0.243,0.217,0.167,0.212
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.175,0.171,0.16,0.095,0.061
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.144,0.165,0.136,0.137,0.173
"P14","No sabe",0.12,0.038,0.061,0.1,0.171
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.365,0.391,0.461,0.449,0.518
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.095,0.189,0.194,0.176,0.08
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.233,0.211,0.165,0.15,0.142
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.14,0.108,0.056,0.12,0.124
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.108,0.078,0.068,0.048,0.042
"P15","No sabe",0.059,0.023,0.056,0.057,0.094
"P16","Muy de derecha",0.205,0.137,0.187,0.377,0.313
"P16","De derecha",0.163,0.371,0.243,0.178,0.279
"P16","De centro",0.29,0.274,0.467,0.259,0.205
"P16","De centro izquierda",0.251,0.183,0.079,0.155,0.062
"P16","Muy de izquierda",0.091,0.035,0.024,0.031,0.141
"P17","Muy de derecha",0.262,0.109,0.135,0.177,0.32
"P17","De derecha",0.11,0.118,0.126,0.102,0.129
"P17","De centro",0.148,0.104,0.175,0.038,0.04
"P17","De centro izquierda",0.304,0.312,0.222,0.375,0.069
"P17","Muy de izquierda",0.176,0.357,0.342,0.308,0.442
"P19","Muy de derecha",0.652,0.543,0.393,0.408,0.281
"P19","De derecha",0.1,0.26,0.286,0.205,0.129
"P19","De centro",0.09,0.101,0.154,0.18,0.155
"P19","De centro izquierda",0.063,0.039,0.066,0.104,0.058
"P19","Muy de izquierda",0.095,0.057,0.101,0.103,0.377
"P20","Si",0.475,0.419,0.478,0.539,0.37
"P20","No",0.525,0.581,0.522,0.461,0.63
