"var","categoria","Nunca","A veces","Siempre","No sabe"
"P05","Sergio Massa por el Frente de Todos",0.156,0.268,0.302,0.213
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.11,0.105,0.107,0.104
"P05","Patricia Bulrich por Juntos por el Cambio",0.214,0.202,0.164,0.133
"P05","Javier Milei por La Libertad Avanza",0.296,0.186,0.225,0.301
"P05","Al candidato del Frente de Izquierda",0.024,0.044,0.021,0.034
"P05","No sabe",0.2,0.195,0.181,0.215
"P09","Si, habitualmente",0.175,0.235,0.387,0.22
"P09","Algunas veces",0.371,0.453,0.263,0.467
"P09","Nunca, pero esta es una excepción",0.454,0.312,0.35,0.313
"P10","Si",0.392,0.491,0.578,0.439
"P10","No",0.608,0.509,0.422,0.561
"P11","La política no sirve para nada",0.21,0.093,0.09,0.141
"P11","La política no me interesa",0.141,0.09,0.066,0.066
"P11","La política me interesa poco",0.147,0.098,0.159,0.094
"P11","La política me interesa",0.2,0.244,0.165,0.41
"P11","La política es muy importante",0.244,0.441,0.494,0.209
"P11","No sabe",0.058,0.034,0.026,0.08
"P13","Los políticos son todos ladrones y corruptos",0.374,0.094,0.13,0.137
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.206,0.219,0.184,0.17
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.269,0.319,0.322,0.296
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.086,0.205,0.174,0.227
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.036,0.112,0.143,0.054
"P13","No sabe",0.029,0.051,0.047,0.116
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.278,0.173,0.246,0.197
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.158,0.179,0.189,0.239
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.206,0.199,0.175,0.291
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.116,0.195,0.175,0.088
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.131,0.185,0.148,0.061
"P14","No sabe",0.111,0.069,0.067,0.124
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.502,0.29,0.315,0.325
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.149,0.158,0.139,0.14
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.165,0.214,0.202,0.327
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.074,0.15,0.186,0.064
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.053,0.118,0.114,0.041
"P15","No sabe",0.057,0.07,0.044,0.103
"P16","Muy de derecha",0.248,0.15,0.162,0.27
"P16","De derecha",0.263,0.206,0.283,0.256
"P16","De centro",0.302,0.342,0.193,0.384
"P16","De centro izquierda",0.119,0.232,0.283,0.06
"P16","Muy de izquierda",0.068,0.07,0.079,0.03
"P17","Muy de derecha",0.205,0.143,0.197,0.214
"P17","De derecha",0.11,0.12,0.084,0.279
"P17","De centro",0.098,0.163,0.096,0.17
"P17","De centro izquierda",0.233,0.301,0.449,0.107
"P17","Muy de izquierda",0.354,0.273,0.174,0.23
"P18","Muy de derecha",0.226,0.3,0.326,0.316
"P18","De derecha",0.312,0.297,0.254,0.278
"P18","De centro",0.227,0.206,0.108,0.198
"P18","De centro izquierda",0.109,0.126,0.127,0.064
"P18","Muy de izquierda",0.126,0.071,0.185,0.144
"P19","Muy de derecha",0.458,0.58,0.588,0.379
"P19","De derecha",0.228,0.145,0.166,0.225
"P19","De centro",0.134,0.117,0.084,0.115
"P19","De centro izquierda",0.072,0.038,0.05,0.057
"P19","Muy de izquierda",0.108,0.12,0.112,0.224
"P20","Si",0.43,0.466,0.556,0.47
"P20","No",0.57,0.534,0.444,0.53
