"var","categoria","Muy de derecha","De derecha","De centro","De centro izquierda","Muy de izquierda"
"P05","Sergio Massa por el Frente de Todos",0.279,0.083,0.083,0.193,0.271
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.124,0.086,0.09,0.17,0.113
"P05","Patricia Bulrich por Juntos por el Cambio",0.186,0.238,0.226,0.228,0.156
"P05","Javier Milei por La Libertad Avanza",0.21,0.453,0.442,0.197,0.201
"P05","Al candidato del Frente de Izquierda",0.047,0.013,0.023,0,0.017
"P05","No sabe",0.154,0.127,0.136,0.212,0.242
"P09","Si, habitualmente",0.245,0.19,0.214,0.25,0.246
"P09","Algunas veces",0.399,0.44,0.364,0.327,0.309
"P09","Nunca, pero esta es una excepción",0.356,0.37,0.422,0.423,0.445
"P10","Si",0.504,0.435,0.468,0.466,0.464
"P10","No",0.496,0.565,0.532,0.534,0.536
"P11","La política no sirve para nada",0.142,0.163,0.172,0.163,0.222
"P11","La política no me interesa",0.101,0.127,0.158,0.106,0.135
"P11","La política me interesa poco",0.104,0.139,0.134,0.23,0.119
"P11","La política me interesa",0.231,0.21,0.235,0.277,0.256
"P11","La política es muy importante",0.389,0.339,0.27,0.199,0.201
"P11","No sabe",0.033,0.022,0.031,0.025,0.067
"P12","Nunca",0.562,0.685,0.656,0.717,0.556
"P12","A veces",0.277,0.17,0.224,0.149,0.241
"P12","Siempre",0.117,0.08,0.066,0.08,0.093
"P12","No sabe",0.044,0.065,0.054,0.054,0.11
"P13","Los políticos son todos ladrones y corruptos",0.229,0.324,0.307,0.336,0.274
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.17,0.201,0.224,0.224,0.275
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.313,0.334,0.305,0.295,0.212
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.139,0.104,0.106,0.101,0.135
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.11,0.015,0.029,0.007,0.054
"P13","No sabe",0.039,0.022,0.029,0.037,0.05
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.256,0.25,0.25,0.306,0.201
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.133,0.16,0.176,0.262,0.193
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.174,0.221,0.234,0.173,0.294
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.172,0.169,0.095,0.06,0.097
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.186,0.138,0.1,0.109,0.101
"P14","No sabe",0.079,0.062,0.145,0.09,0.114
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.359,0.489,0.581,0.43,0.398
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.144,0.158,0.117,0.217,0.16
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.219,0.171,0.119,0.143,0.236
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.131,0.079,0.07,0.103,0.085
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.103,0.068,0.052,0.026,0.041
"P15","No sabe",0.044,0.035,0.061,0.081,0.08
"P16","Muy de derecha",0.2,0.205,0.218,0.271,0.241
"P16","De derecha",0.203,0.338,0.225,0.351,0.346
"P16","De centro",0.288,0.351,0.44,0.25,0.229
"P16","De centro izquierda",0.258,0.09,0.066,0.035,0.057
"P16","Muy de izquierda",0.051,0.016,0.051,0.093,0.127
"P17","Muy de derecha",0.12,0.151,0.215,0.351,0.413
"P17","De derecha",0.09,0.126,0.106,0.184,0.157
"P17","De centro",0.142,0.104,0.077,0.103,0.079
"P17","De centro izquierda",0.379,0.242,0.154,0.11,0.07
"P17","Muy de izquierda",0.269,0.377,0.448,0.252,0.281
"P18","Muy de derecha",0.344,0.129,0.19,0.272,0.211
"P18","De derecha",0.333,0.39,0.247,0.197,0.147
"P18","De centro",0.166,0.295,0.259,0.229,0.179
"P18","De centro izquierda",0.092,0.114,0.162,0.192,0.098
"P18","Muy de izquierda",0.065,0.072,0.142,0.11,0.365
"P20","Si",0.471,0.401,0.38,0.571,0.486
"P20","No",0.529,0.599,0.62,0.429,0.514
