"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodriguez Larreta por Juntos por el Cambio","Patricia Bulrich por Juntos por el Cambio","Javier Milei por La Libertad Avanza","Al candidato del Frente de Izquierda","No sabe"
"P09","Si, habitualmente",0.253,0.21,0.249,0.214,0.127,0.148
"P09","Algunas veces",0.38,0.391,0.441,0.36,0.547,0.255
"P09","Nunca, pero esta es una excepción",0.367,0.399,0.31,0.426,0.326,0.597
"P10","Si",0.506,0.417,0.423,0.418,0.326,0.379
"P10","No",0.494,0.583,0.577,0.582,0.674,0.621
"P11","La política no sirve para nada",0.095,0.16,0.184,0.224,0.108,0.149
"P11","La política no me interesa",0.066,0.099,0.126,0.131,0.082,0.159
"P11","La política me interesa poco",0.1,0.156,0.13,0.146,0.141,0.139
"P11","La política me interesa",0.213,0.266,0.235,0.222,0.216,0.169
"P11","La política es muy importante",0.484,0.272,0.31,0.222,0.441,0.264
"P11","No sabe",0.042,0.047,0.015,0.055,0.012,0.12
"P12","Nunca",0.491,0.631,0.661,0.694,0.522,0.629
"P12","A veces",0.296,0.214,0.22,0.154,0.333,0.216
"P12","Siempre",0.146,0.095,0.078,0.081,0.07,0.088
"P12","No sabe",0.067,0.06,0.041,0.071,0.075,0.067
"P13","Los políticos son todos ladrones y corruptos",0.15,0.277,0.24,0.394,0.218,0.281
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.166,0.206,0.221,0.216,0.196,0.211
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.221,0.333,0.391,0.289,0.318,0.211
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.227,0.125,0.118,0.07,0.101,0.13
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.189,0.033,0.016,0.017,0.098,0.062
"P13","No sabe",0.047,0.026,0.014,0.014,0.069,0.105
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.183,0.172,0.337,0.332,0.204,0.141
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.172,0.148,0.158,0.19,0.034,0.189
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.2,0.267,0.191,0.194,0.324,0.193
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.194,0.193,0.149,0.082,0.144,0.115
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.189,0.151,0.129,0.098,0.194,0.149
"P14","No sabe",0.062,0.069,0.036,0.104,0.1,0.213
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.219,0.346,0.535,0.606,0.181,0.335
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.093,0.283,0.161,0.173,0.075,0.09
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.322,0.19,0.13,0.101,0.218,0.249
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.189,0.058,0.095,0.033,0.324,0.106
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.137,0.048,0.041,0.048,0.176,0.075
"P15","No sabe",0.04,0.075,0.038,0.039,0.026,0.145
"P16","Muy de derecha",0.152,0.226,0.198,0.312,0.16,0.175
"P16","De derecha",0.092,0.356,0.397,0.275,0.07,0.198
"P16","De centro",0.338,0.318,0.31,0.271,0.192,0.331
"P16","De centro izquierda",0.339,0.059,0.066,0.073,0.298,0.222
"P16","Muy de izquierda",0.079,0.041,0.029,0.069,0.28,0.074
"P17","Muy de derecha",0.141,0.198,0.183,0.207,0.149,0.237
"P17","De derecha",0.118,0.185,0.095,0.101,0.197,0.124
"P17","De centro",0.209,0.101,0.064,0.072,0.226,0.134
"P17","De centro izquierda",0.436,0.183,0.211,0.192,0.333,0.267
"P17","Muy de izquierda",0.096,0.333,0.447,0.428,0.095,0.238
"P18","Muy de derecha",0.451,0.15,0.105,0.212,0.403,0.335
"P18","De derecha",0.25,0.347,0.416,0.249,0.297,0.282
"P18","De centro",0.088,0.286,0.336,0.21,0.082,0.173
"P18","De centro izquierda",0.106,0.127,0.078,0.155,0.109,0.075
"P18","Muy de izquierda",0.105,0.09,0.065,0.174,0.109,0.135
"P19","Muy de derecha",0.661,0.54,0.459,0.363,0.762,0.476
"P19","De derecha",0.081,0.154,0.24,0.32,0.082,0.16
"P19","De centro",0.049,0.099,0.14,0.192,0.092,0.106
"P19","De centro izquierda",0.056,0.09,0.069,0.042,0,0.08
"P19","Muy de izquierda",0.153,0.117,0.092,0.083,0.064,0.178
"P20","Si",0.528,0.521,0.44,0.438,0.353,0.369
"P20","No",0.472,0.479,0.56,0.562,0.647,0.631
