"var","categoria","Muy de derecha","De derecha","De centro","De centro izquierda","Muy de izquierda"
"P05","Sergio Massa por el Frente de Todos",0.154,0.203,0.37,0.345,0.064
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.121,0.179,0.101,0.081,0.124
"P05","Patricia Bulrich por Juntos por el Cambio",0.194,0.162,0.111,0.163,0.291
"P05","Javier Milei por La Libertad Avanza",0.303,0.235,0.172,0.205,0.385
"P05","Al candidato del Frente de Izquierda",0.024,0.051,0.059,0.039,0.01
"P05","No sabe",0.204,0.17,0.187,0.167,0.126
"P09","Si, habitualmente",0.211,0.206,0.226,0.262,0.201
"P09","Algunas veces",0.341,0.449,0.441,0.377,0.39
"P09","Nunca, pero esta es una excepción",0.448,0.345,0.333,0.361,0.409
"P10","Si",0.5,0.469,0.466,0.451,0.464
"P10","No",0.5,0.531,0.534,0.549,0.536
"P11","La política no sirve para nada",0.218,0.204,0.139,0.084,0.196
"P11","La política no me interesa",0.171,0.145,0.096,0.1,0.085
"P11","La política me interesa poco",0.167,0.15,0.156,0.076,0.131
"P11","La política me interesa",0.177,0.216,0.216,0.221,0.269
"P11","La política es muy importante",0.199,0.269,0.354,0.498,0.278
"P11","No sabe",0.068,0.016,0.039,0.021,0.041
"P12","Nunca",0.66,0.566,0.513,0.546,0.699
"P12","A veces",0.175,0.231,0.323,0.266,0.204
"P12","Siempre",0.099,0.067,0.079,0.164,0.054
"P12","No sabe",0.066,0.136,0.085,0.024,0.043
"P13","Los políticos son todos ladrones y corruptos",0.386,0.288,0.191,0.196,0.29
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.227,0.218,0.22,0.163,0.207
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.229,0.27,0.193,0.309,0.385
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.098,0.142,0.211,0.165,0.064
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.037,0.023,0.125,0.14,0.015
"P13","No sabe",0.023,0.059,0.06,0.027,0.039
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.381,0.198,0.162,0.197,0.269
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.143,0.354,0.16,0.111,0.148
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.131,0.14,0.249,0.224,0.237
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.074,0.116,0.161,0.21,0.139
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.102,0.111,0.217,0.203,0.126
"P14","No sabe",0.169,0.081,0.051,0.055,0.081
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.553,0.373,0.215,0.295,0.554
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.123,0.231,0.107,0.145,0.166
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.131,0.165,0.319,0.259,0.128
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.07,0.125,0.144,0.155,0.061
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.029,0.033,0.151,0.125,0.05
"P15","No sabe",0.094,0.073,0.064,0.021,0.041
"P16","Muy de derecha",0.381,0.207,0.08,0.092,0.272
"P16","De derecha",0.199,0.474,0.127,0.165,0.33
"P16","De centro",0.276,0.2,0.561,0.331,0.266
"P16","De centro izquierda",0.072,0.048,0.194,0.369,0.063
"P16","Muy de izquierda",0.072,0.071,0.038,0.043,0.069
"P18","Muy de derecha",0.362,0.243,0.332,0.293,0.146
"P18","De derecha",0.176,0.303,0.272,0.348,0.345
"P18","De centro",0.151,0.225,0.318,0.172,0.229
"P18","De centro izquierda",0.106,0.097,0.037,0.156,0.11
"P18","Muy de izquierda",0.205,0.132,0.041,0.031,0.17
"P19","Muy de derecha",0.319,0.393,0.604,0.693,0.425
"P19","De derecha",0.163,0.227,0.181,0.181,0.243
"P19","De centro",0.143,0.117,0.082,0.071,0.177
"P19","De centro izquierda",0.114,0.099,0.054,0.025,0.049
"P19","Muy de izquierda",0.261,0.164,0.079,0.03,0.106
"P20","Si",0.476,0.525,0.377,0.493,0.407
"P20","No",0.524,0.475,0.623,0.507,0.593
