clave	texto
encuesta_especial	Posicionamiento Político y Preferencias Electorales: Elecciones presidenciales y a Gobernador - PBA Corte 5, Agosto 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	21/08/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Provincia de Buenos Aires
ficha_Estratificación	Cordones I,II y III de la RMBA e interior PBA.
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Muestreo aleatorio estratificado por cordones 1, 2 y 3 de la RMBA e interior PBA con captura de datos en tiempo real y de manera continua. La probabilidad de selección hacia el interior de cada estrato se definió de manera proporcional al tamaño del departamento.
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 20/08/2023 al 21/08/2023 abarcando 2.145 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 2.12 %
