"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.415,0.356,0.415,0.296
"P05","Bastante",0.173,0.257,0.253,0.292
"P05","Poco",0.122,0.265,0.192,0.198
"P05","Nada",0.19,0.099,0.13,0.158
"P05","No sabe",0.1,0.023,0.01,0.056
"P06","Siempre",0.193,0.279,0.248,0.217
"P06","Casi siempre",0.228,0.349,0.333,0.381
"P06","Casi nunca",0.458,0.257,0.289,0.284
"P06","Nunca, pero esta es una excepción",0.121,0.115,0.13,0.118
"P09","De Unión por la Patria",0.168,0.212,0.262,0.217
"P09","De Juntos por el Cambio",0.294,0.384,0.327,0.385
"P09","De los liberales libertarios",0.297,0.141,0.176,0.128
"P09","De la Izquierda",0.073,0.055,0.03,0.018
"P09","Hacemos por Nuestro País",0.022,0.021,0.014,0.015
"P09","otro",0.012,0.075,0.05,0.066
"P09","En blanco",0.1,0,0.082,0.045
"P09","No sabe",0.034,0.112,0.059,0.126
"P10","Unidos para Cambiar Santa Fe",0.321,0.246,0.282,0.219
"P10","Juntos Avancemos",0.182,0.322,0.273,0.258
"P10","De los liberales libertarios",0.406,0.179,0.141,0.107
"P10","De la Izquierda",0.05,0.056,0.046,0.032
"P10","En blanco",0,0.018,0.101,0.059
"P10","No sabe",0.041,0.179,0.157,0.325
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.281,0.318,0.211,0.235
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.328,0.183,0.163,0.213
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.164,0.083,0.09,0.053
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.051,0.194,0.192,0.116
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.021,0.03,0.068,0.087
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.105,0.099,0.06,0.044
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.027,0.015,0.027,0.031
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0,0.064,0.022,0.009
"P11","En blanco",0,0,0.102,0.043
"P11","No sabe",0.023,0.014,0.065,0.169
"P15","Lo votaría",0.294,0.131,0.106,0.069
"P15","Puede que lo vote",0.166,0.283,0.151,0.136
"P15","Nunca lo votaría",0.304,0.263,0.555,0.223
"P15","No sabe",0.236,0.323,0.188,0.572
"P16","La votaría",0.253,0.221,0.218,0.157
"P16","Puede que la vote",0.251,0.32,0.107,0.193
