"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.364,0.344,0.371,0.201,0.096
"P05","Bastante",0.299,0.306,0.422,0.541,0.155
"P05","Poco",0.178,0.231,0.156,0.155,0.26
"P05","Nada",0.105,0.094,0.042,0.027,0.438
"P05","No sabe",0.054,0.025,0.009,0.076,0.051
"P06","Siempre",0.194,0.231,0.172,0.165,0.085
"P06","Casi siempre",0.303,0.318,0.253,0.49,0.175
"P06","Casi nunca",0.363,0.29,0.45,0.191,0.315
"P06","Nunca, pero esta es una excepción",0.14,0.161,0.125,0.154,0.425
"P10","Unión por la Patria",0.63,0.032,0.113,0.047,0
"P10","Juntos por el Cambio",0.075,0.775,0.063,0,0.004
"P10","De los Liberales libertarios",0.019,0.098,0.743,0,0.029
"P10","De la Izquierda",0.041,0.013,0.011,0.667,0.139
"P10","Hacemos por nuestro país",0.006,0.023,0.003,0.033,0.051
"P10","En blanco",0.054,0.03,0.009,0.237,0.42
"P10","No sabe",0.175,0.029,0.058,0.016,0.357
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.841,0.034,0.075,0.012,0.206
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.059,0.818,0.01,0.033,0
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.045,0.079,0.887,0.076,0.107
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.011,0.033,0.001,0.057,0.124
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.01,0,0.008,0.818,0.005
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.021,0.026,0,0.004,0.318
"P13_imputada","En blanco",0.013,0.01,0.019,0,0.24
"P16","Si",0.447,0.411,0.354,0.658,0.508
"P16","No",0.553,0.589,0.646,0.342,0.492
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.607,0.12,0.163,0.023,0.353
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.149,0.455,0.091,0.142,0
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.106,0.359,0.746,0.14,0.412
"P17_imputada","Los candidatos a presidente de la Izquierda",0.038,0,0,0.695,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.069,0.054,0,0,0.063
"P17_imputada","En blanco",0.031,0.012,0,0,0.172
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
