"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.317,0.299,0.158,0.025,0.322,0.129
"P05","Bastante",0.324,0.366,0.472,0.68,0.035,0.318
"P05","Poco",0.224,0.273,0.276,0.156,0.188,0.192
"P05","Nada",0.091,0.011,0.087,0,0.455,0.227
"P05","No sabe",0.044,0.051,0.007,0.139,0,0.134
"P06","Siempre",0.12,0.221,0.046,0,0,0.087
"P06","Casi siempre",0.352,0.343,0.172,0.613,0.283,0.271
"P06","Casi nunca",0.363,0.368,0.644,0.181,0.27,0.342
"P06","Nunca, pero esta es una excepción",0.165,0.068,0.138,0.206,0.447,0.3
"P10","Unión por la Patria",0.546,0.05,0.165,0.078,0,0.025
"P10","Juntos por el Cambio",0.09,0.636,0.054,0,0,0.005
"P10","De los Liberales libertarios",0.042,0.261,0.69,0,0,0.011
"P10","De la Izquierda",0.103,0.021,0,0.841,0.339,0.012
"P10","Hacemos por nuestro país",0.02,0.006,0.019,0.081,0.154,0.057
"P10","En blanco",0.095,0.013,0,0,0.315,0.07
"P10","No sabe",0.104,0.013,0.072,0,0.192,0.82
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.617,0.11,0.207,0.023,0,0.025
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.117,0.59,0.026,0.081,0,0.03
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.109,0.175,0.696,0.079,0.062,0.153
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.022,0.031,0.002,0.107,0,0.027
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.027,0,0.027,0.639,0.064,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.028,0,0.01,0.09,0.056
"P13","En blanco",0.039,0.004,0,0,0.784,0.036
"P13","No sabe",0.054,0.062,0.042,0.061,0,0.673
