"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.378,0.318,0.367,0.303,0.216,0.113,0.167
"P05","Bastante",0.325,0.285,0.394,0.433,0.128,0.344,0.358
"P05","Poco",0.158,0.27,0.185,0.071,0.267,0.244,0.156
"P05","Nada",0.093,0.096,0.052,0.114,0.34,0.251,0.208
"P05","No sabe",0.046,0.031,0.002,0.079,0.049,0.048,0.111
"P06","Siempre",0.229,0.201,0.168,0.178,0.308,0.136,0.078
"P06","Casi siempre",0.326,0.319,0.248,0.441,0.132,0.218,0.184
"P06","Casi nunca",0.333,0.306,0.45,0.121,0.227,0.391,0.418
"P06","Nunca, pero esta es una excepción",0.112,0.174,0.134,0.26,0.333,0.255,0.32
"P10","Unión por la Patria",0.7,0.066,0.113,0.024,0.051,0,0.071
"P10","Juntos por el Cambio",0.102,0.801,0.085,0,0.035,0.008,0.003
"P10","De los Liberales libertarios",0.021,0.046,0.715,0.004,0,0.037,0.006
"P10","De la Izquierda",0.037,0.02,0.022,0.653,0,0.234,0
"P10","Hacemos por nuestro país",0.001,0.025,0.007,0.004,0.162,0,0
"P10","En blanco",0.046,0.009,0.009,0.213,0.368,0.715,0.051
"P10","No sabe",0.093,0.033,0.049,0.102,0.384,0.006,0.869
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.928,0.021,0.04,0.028,0,0,0.014
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.035,0.885,0.027,0,0.111,0,0.003
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.011,0.034,0.883,0,0,0,0
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.008,0.019,0.009,0.028,0.296,0.306,0.034
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.001,0.003,0.007,0.847,0.008,0,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.002,0.006,0.018,0,0.497,0,0
"P13","En blanco",0.001,0.002,0.003,0,0.048,0.694,0.013
"P13","No sabe",0.014,0.03,0.013,0.097,0.04,0,0.936
"P16","Si",0.408,0.344,0.445,0.686,0.606,0.754,0.669
"P16","No",0.592,0.656,0.555,0.314,0.394,0.246,0.331
"P17","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0,0
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0,0
"P17","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0,0
"P17","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0,0
"P17","En blanco",0,0,0,0,0,1,0
"P17","No sabe",0,0,0,0,0,0,1
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.827,0.296,0.175,0.383,0.524,0.579,0.056
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.069,0.522,0.221,0,0.153,0,0.005
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.089,0.116,0.514,0,0,0,0
"P20","El candidato a gobernador de la Izquierda",0.003,0.037,0.02,0.617,0,0,0
"P20","En blanco",0,0,0.008,0,0.066,0.309,0
"P20","No sabe",0.012,0.029,0.062,0,0.257,0.112,0.939
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.341,0.275,0.197,0.048,0.183,0.613,0.031
"P23","Zencich a intendente por Juntos por el Cambio",0.14,0.235,0.207,0,0.374,0,0
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.055,0.09,0.405,0,0,0.034,0
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.122,0.244,0.092,0.021,0.056,0.086,0.016
"P23","El candidato a intendente de la Izquierda",0.2,0.097,0.011,0.783,0.308,0.157,0
