"var","categoria","Si","No"
"P05","Mucho",0.307,0.359
"P05","Bastante",0.297,0.329
"P05","Poco",0.244,0.178
"P05","Nada",0.094,0.104
"P05","No sabe",0.058,0.03
"P06","Siempre",0.205,0.202
"P06","Casi siempre",0.247,0.306
"P06","Casi nunca",0.389,0.332
"P06","Nunca, pero esta es una excepción",0.159,0.16
"P10","Unión por la Patria",0.286,0.345
"P10","Juntos por el Cambio",0.191,0.226
"P10","De los Liberales libertarios",0.131,0.217
"P10","De la Izquierda",0.107,0.04
"P10","Hacemos por nuestro país",0.04,0.005
"P10","En blanco",0.074,0.058
"P10","No sabe",0.171,0.109
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.203,0.438
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.134,0.196
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.206,0.239
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.124,0.001
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.038
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.05,0.014
"P13","En blanco",0.098,0.011
"P13","No sabe",0.144,0.063
"P16","Si",1,0.329
"P16","No",0,0.671
"P17","Sergio Massa a presidente por Unión por la Patria.",0.293,0.379
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.213,0.137
"P17","Javier Milei a presidente por la Libertad Avanza",0.287,0.289
"P17","Los candidatos a presidente de la Izquierda",0.043,0.052
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.102,0.006
"P17","En blanco",0.05,0.015
"P17","No sabe",0.012,0.122
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.469,0.43
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.206,0.168
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.172,0.224
