"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria.","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.381,0.378,0.439,0.168,0.243,0.15,0.176
"P05","Bastante",0.295,0.285,0.381,0.384,0.414,0.164,0.386
"P05","Poco",0.181,0.228,0.118,0.279,0.236,0.3,0.133
"P05","Nada",0.104,0.099,0.045,0.08,0.06,0.331,0.195
"P05","No sabe",0.039,0.01,0.017,0.089,0.047,0.055,0.11
"P06","Siempre",0.224,0.22,0.232,0.114,0.121,0.098,0.079
"P06","Casi siempre",0.291,0.345,0.264,0.149,0.533,0.293,0.2
"P06","Casi nunca",0.372,0.249,0.386,0.655,0.217,0.2,0.38
"P06","Nunca, pero esta es una excepción",0.113,0.186,0.118,0.082,0.129,0.409,0.341
"P10","Unión por la Patria",0.742,0.108,0.056,0.221,0.233,0.168,0.176
"P10","Juntos por el Cambio",0.079,0.772,0.064,0.282,0.122,0.035,0.034
"P10","De los Liberales libertarios",0.023,0.056,0.787,0.195,0.011,0.004,0.032
"P10","De la Izquierda",0.009,0.012,0.04,0.203,0.353,0.007,0
"P10","Hacemos por nuestro país",0.01,0.02,0.005,0.033,0.002,0.017,0.008
"P10","En blanco",0.036,0.007,0.015,0.054,0.128,0.665,0.032
"P10","No sabe",0.101,0.025,0.033,0.012,0.151,0.104,0.718
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.912,0.068,0.035,0.195,0.346,0.435,0.149
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.014,0.812,0.025,0.367,0.027,0.035,0.03
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.043,0.042,0.93,0.187,0.003,0.087,0.03
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.002,0.012,0,0.231,0.019,0.009,0
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.002,0.011,0,0,0.423,0,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.004,0.027,0.005,0.009,0.003,0.276,0.008
"P13","En blanco",0.017,0.001,0.002,0,0.029,0.143,0.01
"P13","No sabe",0.006,0.027,0.003,0.011,0.15,0.015,0.773
"P16","Si",0.271,0.326,0.257,0.982,0.802,0.639,0.758
"P16","No",0.729,0.674,0.743,0.018,0.198,0.361,0.242
"P17","Sergio Massa a presidente por Unión por la Patria.",0.484,0.313,0.128,0.371,0.512,0.529,0.168
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.183,0.246,0.098,0.348,0.116,0.059,0.055
"P17","Javier Milei a presidente por la Libertad Avanza",0.228,0.378,0.768,0.229,0.024,0.308,0.064
"P17","Los candidatos a presidente de la Izquierda",0.009,0,0,0.008,0.258,0,0.057
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.019,0.063,0,0.013,0.059,0,0.018
"P17","En blanco",0.067,0,0.006,0.02,0.031,0.052,0
"P17","No sabe",0.01,0,0,0.011,0,0.052,0.638
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.703,0.322,0.151,0.414,0.692,0.532,0.239
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.087,0.574,0.186,0.33,0,0.016,0.071
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.189,0.084,0.63,0.188,0.081,0.008,0.021
"P20","El candidato a gobernador de la Izquierda",0.01,0,0,0.035,0.196,0.01,0
"P20","En blanco",0.006,0.004,0.006,0,0.031,0.044,0.017
"P20","No sabe",0.005,0.016,0.027,0.033,0,0.39,0.652
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",1,0,0,0,0,0,0
"P23","Zencich a intendente por Juntos por el Cambio",0,1,0,0,0,0,0
"P23","Eduardo Varela a intendente por la Libertad Avanza",0,0,1,0,0,0,0
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0,0,0,1,0,0,0
"P23","El candidato a intendente de la Izquierda",0,0,0,0,1,0,0
"P23","En blanco",0,0,0,0,0,1,0
"P23","No sabe",0,0,0,0,0,0,1
"P26","Totalmente seguro.",0.652,0.644,0.785,0.534,0.701,0.503,0.313
"P26","Bastante seguro",0.187,0.272,0.145,0.218,0.151,0.328,0.052
"P26","Algo seguro",0.089,0.026,0.042,0.147,0.104,0,0.026
"P26","Para nada seguro",0.072,0.058,0.028,0.101,0.044,0.169,0.609
"P27","Tiene Decidido que va a ir a votar.",0.921,0.939,0.875,0.825,0.921,0.588,0.664
"P27","Tiene dudas sobre si va a ir a  votar",0.061,0.044,0.085,0.16,0.028,0.335,0.318
"P27","Tiene Decidido que no va a ir a votar",0.018,0.017,0.04,0.015,0.051,0.077,0.018
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.199,0.638,0.693,0.59,0.132,0.445,0.375
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.115,0.261,0.124,0.045,0.183,0.009,0.287
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.414,0.072,0.036,0.145,0.21,0.136,0.047
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.133,0.015,0.016,0.007,0.076,0.109,0.067
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.069,0,0.075,0.202,0.346,0.004,0.014
"P28","No sabe",0.07,0.014,0.056,0.011,0.053,0.297,0.21
"P29","No estaba enterado del tema",0.143,0.084,0.05,0.186,0.088,0.305,0.014
"P29","Un tema de la vida privada de él",0.214,0.03,0.055,0.049,0.039,0.051,0.077
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.429,0.116,0.1,0.272,0.369,0.266,0.077
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.069,0.44,0.339,0.198,0.119,0.028,0.423
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.066,0.327,0.438,0.295,0.27,0.085,0.268
"P29","No sabe",0.079,0.003,0.018,0,0.115,0.265,0.141
"P30","Si",0.775,0.849,0.872,0.782,0.758,0.74,0.679
"P30","No",0.225,0.151,0.128,0.218,0.242,0.26,0.321
"P31","Sergio Massa",0.679,0.114,0.071,0.147,0.44,0.545,0.074
