"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.287,0.321,0.156,0.025,0.159
"P05","Bastante",0.342,0.347,0.48,0.68,0.016
"P05","Poco",0.214,0.257,0.272,0.156,0.315
"P05","Nada",0.091,0.029,0.086,0,0.51
"P05","No sabe",0.066,0.046,0.006,0.139,0
"P06","Siempre",0.108,0.225,0.045,0,0.051
"P06","Casi siempre",0.333,0.332,0.184,0.613,0.369
"P06","Casi nunca",0.381,0.364,0.635,0.181,0.125
"P06","Nunca, pero esta es una excepción",0.178,0.079,0.136,0.206,0.455
"P10","Unión por la Patria",0.486,0.045,0.176,0.078,0
"P10","Juntos por el Cambio",0.08,0.572,0.053,0,0
"P10","De los Liberales libertarios",0.037,0.239,0.681,0,0
"P10","De la Izquierda",0.094,0.019,0,0.841,0.089
"P10","Hacemos por nuestro país",0.018,0.033,0.019,0.081,0.063
"P10","En blanco",0.094,0.026,0,0,0.083
"P10","No sabe",0.191,0.066,0.071,0,0.765
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.615,0.102,0.218,0.023,0.353
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.151,0.604,0.028,0.081,0
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.109,0.181,0.686,0.14,0.377
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.02,0.046,0.002,0.107,0
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.024,0,0.027,0.639,0.017
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.046,0.045,0,0.01,0.046
"P13_imputada","En blanco",0.035,0.022,0.039,0,0.207
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.607,0.12,0.163,0.023,0.353
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.149,0.455,0.091,0.142,0
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.106,0.359,0.746,0.14,0.412
"P17_imputada","Los candidatos a presidente de la Izquierda",0.038,0,0,0.695,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.069,0.054,0,0,0.063
"P17_imputada","En blanco",0.031,0.012,0,0,0.172
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.405,0.123,0.243,0.075,0.437
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.116,0.495,0.068,0,0.014
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.078,0.168,0.493,0,0.019
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.095,0.207,0.125,0.117,0.03
"P23_imputada","El candidato a intendente de la Izquierda",0.19,0,0.069,0.791,0.089
"P23_imputada","En blanco",0.116,0.007,0.002,0.017,0.411
"P26","Totalmente seguro.",0.658,0.667,0.672,0.848,0.1
"P26","Bastante seguro",0.152,0.16,0.055,0.07,0.372
"P26","Algo seguro",0.085,0.081,0.157,0.049,0
"P26","Para nada seguro",0.105,0.092,0.116,0.033,0.528
"P27","Tiene Decidido que va a ir a votar.",0.864,0.893,0.717,0.906,0.836
"P27","Tiene dudas sobre si va a ir a  votar",0.115,0.094,0.216,0.094,0.131
"P27","Tiene Decidido que no va a ir a votar",0.021,0.013,0.067,0,0.033
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.336,0.646,0.542,0.196,0.479
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.119,0.248,0.197,0.119,0.397
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.308,0.054,0.089,0.362,0.045
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.06,0.003,0.115,0,0.079
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.088,0,0.052,0.323,0
"P28","No sabe",0.089,0.049,0.005,0,0
"P29","No estaba enterado del tema",0.061,0.098,0.059,0,0
"P29","Un tema de la vida privada de él",0.118,0.026,0.144,0,0
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.423,0.083,0.214,0.274,0.459
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.162,0.342,0.134,0.336,0.012
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.185,0.436,0.449,0.118,0.053
"P29","No sabe",0.051,0.015,0,0.272,0.476
"P30","Si",0.715,0.901,0.878,0.792,0.864
"P30","No",0.285,0.099,0.122,0.208,0.136
"P31","Sergio Massa",0.395,0.112,0.093,0.411,0.014
"P31","Patria Bullrich",0.064,0.308,0.033,0,0.023
"P31","Javier Milei",0.124,0.36,0.788,0.274,0.385
"P31","Myriam Bregman",0.326,0.125,0.061,0.284,0.536
"P31","Juan Schiaretti",0.091,0.095,0.025,0.031,0.042
"P32","Ha aumentado significativamente",0.101,0.067,0.083,0,0.01
"P32","Ha aumentado ligeramente",0.297,0.038,0.228,0.337,0
"P32","Se mantiene igual",0.352,0.481,0.337,0.225,0.374
"P32","Ha disminuido ligeramente",0.086,0.218,0.162,0.088,0.061
"P32","Ha disminuido significativamente",0.164,0.196,0.19,0.35,0.555
"P33","No, ninguna dificultad",0.315,0.191,0.049,0.359,0.411
"P33","Alguna dificultad ocasional",0.427,0.371,0.57,0.489,0.544
"P33","Sí, dificultades frecuentes",0.258,0.438,0.381,0.152,0.045
"P34","Sí, absolutamente",0.711,0.346,0.185,0.636,0.53
"P34","Sí, en cierta medida",0.274,0.386,0.522,0.364,0.47
"P34","No, en absoluto",0.015,0.268,0.293,0,0
"P35","Reducir la inflación",0.315,0.357,0.309,0.329,0.416
"P35","Implementar reformas fiscales",0.103,0.06,0.128,0.168,0.029
"P35","Establecer políticas de control de precios",0.247,0.096,0.004,0.31,0.092
"P35","Reducir el gasto público",0.166,0.46,0.537,0.193,0.45
"P35","Estimular la inversión extranjera",0.093,0.027,0.022,0,0.013
"P35","Aumentar los subsidios a los servicios públicos",0.076,0,0,0,0
"P36","Muy positiva",0.173,0.053,0.033,0.247,0
"P36","Positiva",0.2,0.117,0.242,0.286,0
"P36","Neutral",0.241,0.433,0.155,0.467,0.45
"P36","Algo negativa",0.009,0.137,0.283,0,0.049
"P36","Negativa",0.118,0.059,0.13,0,0
"P36","No sabe",0.259,0.201,0.157,0,0.501
"P37","Muy positiva",0.492,0.446,0.271,0.101,0.03
