"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.912,0.805,0.785,0.791,0.866,0.895
"P05","Tiene dudas sobre si va a ir a  votar",0.061,0.163,0.18,0.143,0.122,0.105
"P05","Tiene Decidido que no va a ir a votar",0.027,0.032,0.035,0.066,0.012,0
"P06","Mucho",0.591,0.435,0.426,0.543,0.374,0.632
"P06","Bastante",0.26,0.358,0.391,0.338,0.394,0.234
"P06","Poco",0.082,0.17,0.14,0.08,0.091,0.073
"P06","Nada",0.061,0.028,0.008,0.039,0.141,0
"P06","No sabe",0.006,0.009,0.035,0,0,0.061
"P07","Siempre",0.279,0.189,0.224,0.133,0.34,0.403
"P07","Casi siempre",0.338,0.378,0.356,0.243,0.223,0.372
"P07","Casi nunca",0.282,0.275,0.337,0.432,0.146,0.123
"P07","Nunca, pero esta es una excepción",0.101,0.158,0.083,0.192,0.291,0.102
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.633,0.308,0.094,0.052,0.137,0.282
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.071,0.186,0.266,0.419,0.316,0.336
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.17,0.329,0.444,0.446,0.419,0.077
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.008,0.022,0.008,0,0,0.095
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.021,0.093,0.156,0.036,0.08,0.105
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.032,0.004,0.019,0.014,0.027,0
"P11","En blanco",0.004,0.035,0,0,0.006,0.061
"P11","No sabe",0.061,0.023,0.013,0.033,0.015,0.044
"P14","Totalmente seguro.",0.806,0.716,0.637,0.727,0.873,0.686
