"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P05","Tiene Decidido que va a ir a votar.",0.839,0.898,0.879,0.862,0.803
"P05","Tiene dudas sobre si va a ir a  votar",0.118,0.091,0.098,0.116,0.145
"P05","Tiene Decidido que no va a ir a votar",0.043,0.011,0.023,0.022,0.052
"P06","Mucho",0.487,0.504,0.495,0.525,0.501
"P06","Bastante",0.385,0.375,0.278,0.284,0.247
"P06","Poco",0.07,0.07,0.158,0.153,0.111
"P06","Nada",0.045,0.025,0.042,0.038,0.097
"P06","No sabe",0.013,0.026,0.027,0,0.044
"P07","Siempre",0.349,0.217,0.26,0.233,0.289
"P07","Casi siempre",0.333,0.446,0.289,0.32,0.245
"P07","Casi nunca",0.18,0.232,0.347,0.305,0.265
"P07","Nunca, pero esta es una excepción",0.138,0.105,0.104,0.142,0.201
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.571,0.423,0.397,0.248,0.087
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.087,0.202,0.162,0.265,0.244
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.259,0.217,0.283,0.312,0.426
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.017,0.011,0.008,0.002,0.046
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.009,0.085,0.097,0.118,0.097
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.009,0.021,0.011,0.041,0.02
"P11","En blanco",0,0.005,0.018,0.004,0.037
"P11","No sabe",0.048,0.036,0.024,0.01,0.043
"P14","Totalmente seguro.",0.924,0.678,0.716,0.722,0.728
"P14","Bastante seguro",0.019,0.164,0.11,0.162,0.043
"P14","Algo seguro",0.041,0.112,0.146,0.054,0.079
"P14","Para nada seguro",0.016,0.046,0.028,0.062,0.15
"P18","Si",0.521,0.429,0.425,0.466,0.491
"P18","No",0.479,0.571,0.575,0.534,0.509
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",0.246,0.14,0.148,0.26,0.082
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.162,0.111,0.107,0.171,0.254
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.136,0.16,0.204,0.151,0.14
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.357,0.27,0.2,0.21,0.182
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.032,0.158,0.106,0.086,0.101
"P19","En blanco",0.067,0.092,0.032,0.048,0.127
"P19","No sabe",0,0.069,0.203,0.074,0.114
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.433,0.301,0.307,0.586,0.523
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.138,0.234,0.194,0.159,0.172
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.325,0.288,0.257,0.168,0.144
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.06,0.073,0.066,0.03,0.039
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.031,0.059,0.042,0.007,0.075
"P22","No sabe",0.013,0.045,0.134,0.05,0.047
"P23","No estaba enterado del tema",0.295,0.143,0.164,0.128,0.169
"P23","Un tema de la vida privada de él",0.321,0.309,0.11,0.168,0.06
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.315,0.33,0.4,0.303,0.145
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.018,0.098,0.087,0.105,0.145
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.025,0.103,0.174,0.258,0.471
"P23","No sabe",0.026,0.017,0.065,0.038,0.01
"P25","No, ninguna dificultad",0.806,0.503,0.344,0.182,0.208
"P25","Alguna dificultad ocasional",0.141,0.433,0.399,0.339,0.181
"P25","Sí, dificultades frecuentes",0.053,0.064,0.257,0.479,0.611
"P26","Sí, absolutamente",0.691,0.519,0.528,0.626,0.348
"P26","Sí, en cierta medida",0.127,0.361,0.327,0.205,0.273
"P26","No, en absoluto",0.182,0.12,0.145,0.169,0.379
"P27","Reducir la inflación",0.625,0.454,0.437,0.507,0.378
"P27","Implementar reformas fiscales",0.063,0.197,0.101,0.096,0.084
"P27","Establecer políticas de control de precios",0.204,0.149,0.205,0.035,0.09
"P27","Reducir el gasto público",0.079,0.162,0.181,0.3,0.391
"P27","Estimular la inversión extranjera",0.027,0.026,0.063,0.051,0.05
"P27","Aumentar los subsidios a los servicios públicos",0.002,0.012,0.013,0.011,0.007
"P28","Muy positiva",0.501,0.265,0.246,0.249,0.13
"P28","Positiva",0.074,0.363,0.297,0.133,0.164
"P28","Neutral",0.322,0.21,0.269,0.248,0.299
"P28","Algo negativa",0.04,0.049,0.064,0.086,0.079
"P28","Negativa",0.054,0.034,0.044,0.13,0.235
"P28","No sabe",0.009,0.079,0.08,0.154,0.093
"P29","Muy positiva",0.613,0.501,0.42,0.267,0.148
"P29","Positiva",0.205,0.275,0.26,0.136,0.172
"P29","Neutral",0.102,0.111,0.219,0.238,0.284
"P29","Algo negativa",0.008,0.03,0.014,0.173,0.119
"P29","Negativa",0.072,0.066,0.061,0.139,0.227
"P29","No sabe",0,0.017,0.026,0.047,0.05
"P30","Muy positiva",0.527,0.339,0.279,0.156,0.141
"P30","Positiva",0.271,0.333,0.222,0.182,0.128
"P30","Neutral",0.13,0.18,0.299,0.224,0.241
"P30","Algo negativa",0.008,0.034,0.046,0.216,0.15
"P30","Negativa",0.056,0.079,0.095,0.161,0.217
"P30","No sabe",0.008,0.035,0.059,0.061,0.123
"P31","Muy positiva",0.855,0.584,0.443,0.457,0.271
"P31","Positiva",0.045,0.208,0.192,0.184,0.161
"P31","Neutral",0.048,0.124,0.189,0.092,0.179
"P31","Algo negativa",0.006,0.045,0.086,0.151,0.163
"P31","Negativa",0.046,0.033,0.065,0.096,0.185
"P31","No sabe",0,0.006,0.025,0.02,0.041
"P32","Muy positiva",0.728,0.591,0.454,0.371,0.215
"P32","Positiva",0.094,0.22,0.231,0.279,0.152
"P32","Neutral",0.052,0.057,0.175,0.175,0.24
"P32","Algo negativa",0,0.076,0.049,0.08,0.125
"P32","Negativa",0.088,0.038,0.036,0.07,0.147
"P32","No sabe",0.038,0.018,0.055,0.025,0.121
"P33","Muy buena",0.212,0.175,0.191,0.25,0.099
"P33","Buena",0.333,0.273,0.263,0.241,0.099
"P33","Ni buena ni mala",0.295,0.387,0.401,0.346,0.425
"P33","Mala",0.068,0.072,0.084,0.106,0.197
"P33","Muy mala",0.09,0.056,0.037,0.051,0.156
"P33","No sabe",0.002,0.037,0.024,0.006,0.024
"P34","Muy buena",0.159,0.186,0.132,0.083,0.052
"P34","Buena",0.235,0.327,0.209,0.239,0.174
"P34","Ni buena ni mala",0.36,0.27,0.358,0.266,0.277
"P34","Mala",0.148,0.12,0.172,0.189,0.207
"P34","Muy mala",0.096,0.08,0.11,0.213,0.274
"P34","No sabe",0.002,0.017,0.019,0.01,0.016
"P35","Muy buena",0.109,0.075,0.074,0.068,0.064
"P35","Buena",0.188,0.224,0.095,0.087,0.084
"P35","Ni buena ni mala",0.364,0.238,0.352,0.283,0.185
"P35","Mala",0.16,0.277,0.248,0.259,0.349
"P35","Muy mala",0.179,0.174,0.217,0.303,0.296
"P35","No sabe",0,0.012,0.014,0,0.022
"P36","Muy buena",0.21,0.16,0.08,0.08,0.049
"P36","Buena",0.135,0.267,0.18,0.153,0.141
"P36","Ni buena ni mala",0.28,0.289,0.376,0.273,0.403
"P36","Mala",0.177,0.129,0.214,0.23,0.158
"P36","Muy mala",0.195,0.109,0.111,0.252,0.229
"P36","No sabe",0.003,0.046,0.039,0.012,0.02
"P37","Muy buena",0.076,0.1,0.03,0.012,0.039
"P37","Buena",0.177,0.13,0.046,0.029,0.005
"P37","Ni buena ni mala",0.383,0.35,0.4,0.237,0.178
"P37","Mala",0.208,0.218,0.245,0.29,0.293
"P37","Muy mala",0.149,0.161,0.223,0.359,0.45
"P37","No sabe",0.007,0.041,0.056,0.073,0.035
"P38","Muy buena",0.2,0.072,0.039,0.068,0.023
"P38","Buena",0.07,0.148,0.042,0.05,0.021
"P38","Ni buena ni mala",0.386,0.328,0.472,0.273,0.237
"P38","Mala",0.21,0.22,0.166,0.19,0.28
"P38","Muy mala",0.132,0.18,0.215,0.286,0.402
"P38","No sabe",0.002,0.052,0.066,0.133,0.037
"P39","Si",0.328,0.367,0.297,0.324,0.407
"P39","No",0.672,0.633,0.703,0.676,0.593
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.577,0.427,0.399,0.249,0.089
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.087,0.202,0.163,0.265,0.277
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.259,0.217,0.284,0.312,0.437
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.085,0.097,0.118,0.097
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.009,0.021,0.011,0.042,0.02
"PRESIDENTE","En blanco",0.011,0.009,0.018,0.004,0.037
"PRESIDENTE","No sabe",0.048,0.039,0.028,0.01,0.043
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.398,0.302,0.286,0.246,0.096
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.154,0.151,0.141,0.229,0.235
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.2,0.208,0.262,0.238,0.284
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.205,0.124,0.106,0.083,0.122
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.019,0.104,0.092,0.109,0.123
"DIPUTADOS","En blanco",0.019,0.046,0.015,0.057,0.089
"DIPUTADOS","No sabe",0.005,0.065,0.098,0.038,0.051
"CORTA_DIPUTADOS","Si",0.443,0.311,0.284,0.244,0.325
"CORTA_DIPUTADOS","No",0.557,0.689,0.716,0.756,0.675
"P11_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.571,0.426,0.415,0.253,0.109
"P11_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.135,0.202,0.161,0.265,0.244
"P11_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.259,0.217,0.29,0.317,0.441
"P11_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.017,0.011,0.008,0.002,0.046
"P11_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.009,0.118,0.097,0.118,0.097
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.009,0.021,0.011,0.041,0.02
"P11_imputada","En blanco",0,0.005,0.018,0.004,0.043
"P19_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.246,0.143,0.227,0.266,0.092
"P19_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.162,0.119,0.149,0.179,0.271
"P19_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.136,0.165,0.275,0.162,0.204
"P19_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.357,0.28,0.211,0.259,0.2
"P19_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.032,0.183,0.106,0.086,0.106
"P19_imputada","En blanco",0.067,0.11,0.032,0.048,0.127
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.577,0.43,0.42,0.253,0.111
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.135,0.202,0.163,0.265,0.277
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.259,0.217,0.291,0.318,0.452
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.118,0.097,0.118,0.097
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.009,0.024,0.011,0.042,0.02
"PRESIDENTE_imputada","En blanco",0.011,0.009,0.018,0.004,0.043
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.398,0.304,0.325,0.249,0.104
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.159,0.154,0.154,0.235,0.247
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.2,0.21,0.303,0.242,0.313
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.205,0.129,0.11,0.108,0.122
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.019,0.146,0.092,0.109,0.125
"DIPUTADOS_imputada","En blanco",0.019,0.057,0.016,0.057,0.089
